Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.84188,0.98077,0.07407,0.8,0.50495,0.0101
PERM_ADIPOQ,TIMP-2_ADIPOQ,0.81963,1.0,0.07407,1.0,0.5,0.0101
MMP9_ADIPOQ,TIMP-2_ADIPOQ,0.81054,1.0,0.01852,1.0,0.49524,0.0101
TIMP-2_ADIPOQ,KPYM_ADIPOQ,0.80719,1.0,0.05556,1.0,0.5,0.0101
HSPB1_ADIPOQ,AGRIN_ADIPOQ,0.72944,1.0,0.03774,1.0,0.50962,0.29293
HSPB1_ADIPOQ,TIMP-2_ADIPOQ,0.72678,0.98077,0.03774,0.66667,0.5,0.0404
AGRIN_ADIPOQ,,0.71174,0.98113,0.03704,0.66667,0.5,0.51515
AGRIN_ADIPOQ,KPYM_ADIPOQ,0.70869,0.98077,0.07407,0.8,0.50495,0.51515
MMP9_ADIPOQ,AGRIN_ADIPOQ,0.7072,1.0,0.05556,1.0,0.50962,0.51515
MMP9_ADIPOQ,KPYM_ADIPOQ,0.70442,1.0,0.01852,1.0,0.49524,0.50505
PERM_ADIPOQ,AGRIN_ADIPOQ,0.69826,0.98039,0.07407,0.8,0.5,0.51515
MMP9_ADIPOQ,HSPB1_ADIPOQ,0.69384,1.0,0.01887,1.0,0.50476,0.36364
PERM_ADIPOQ,KPYM_ADIPOQ,0.69037,0.98,0.11111,0.85714,0.50515,0.51515
MMP9_ADIPOQ,,0.68658,1.0,0.12963,1.0,0.53,0.50505
TIMP-2_ADIPOQ,,0.68376,0.98077,0.01852,0.5,0.49038,0.20202
KPYM_ADIPOQ,,0.68127,1.0,0.07407,1.0,0.5098,0.50505
MMP9_ADIPOQ,PERM_ADIPOQ,0.66703,1.0,0.01852,1.0,0.49038,0.42424
HSPB1_ADIPOQ,KPYM_ADIPOQ,0.66292,0.98077,0.01887,0.5,0.49515,0.25253
PERM_ADIPOQ,,0.66267,0.98039,0.05556,0.75,0.49505,0.50505
HSPB1_ADIPOQ,PERM_ADIPOQ,0.66186,0.98039,0.0566,0.75,0.5,0.38384
HSPB1_ADIPOQ,,0.57351,1.0,0.07547,1.0,0.51961,0.50505
