Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
KPYM,PERM,ADIPOQ,0.6863,1.0,0.01852,1.0,0.48544,0.16162
HSPB1,KPYM,ADIPOQ,0.68541,1.0,0.01887,1.0,0.5,0.05051
HSPB1,KPYM,PIGR,0.6849,1.0,0.02083,1.0,0.50526,0.08081
AGRIN,PERM,,0.6842,1.0,0.01667,1.0,0.49573,0.45455
MMP9,AGRIN,,0.68417,1.0,0.01667,1.0,0.5042,0.27273
MMP9,AGRIN,PERM,0.68276,1.0,0.01667,1.0,0.49573,0.05051
HSPB1,ADIPOQ,,0.68209,0.96226,0.01887,0.33333,0.49515,0.51515
HSPB1,PERM,TIMP-2,0.68182,1.0,0.01818,1.0,0.5,0.24242
MMP9,KPYM,PERM,0.67836,1.0,0.01667,1.0,0.49138,0.0404
MMP9,AGRIN,KPYM,0.67655,1.0,0.01667,1.0,0.5,0.27273
MMP9,PERM,,0.67557,1.0,0.01667,1.0,0.49573,0.05051
KPYM,PIGR,,0.67304,1.0,0.04082,1.0,0.50526,0.15152
MMP9,KPYM,,0.67232,1.0,0.01667,1.0,0.5,0.35354
KPYM,ADIPOQ,,0.6713,1.0,0.01852,1.0,0.49524,0.11111
HSPB1,PERM,,0.66394,1.0,0.01695,1.0,0.5,0.37374
PERM,TIMP-2,,0.66336,1.0,0.01786,1.0,0.49541,0.25253
HSPB1,KPYM,PERM,0.6631,1.0,0.01695,1.0,0.49565,0.12121
AGRIN,KPYM,PERM,0.66228,1.0,0.01667,1.0,0.49138,0.45455
PERM,ADIPOQ,,0.65723,1.0,0.01852,1.0,0.49038,0.30303
PIGR,,,0.6516,0,0,0,0,0.5
KPYM,PERM,,0.64883,1.0,0.03333,1.0,0.49565,0.45455
TIMP-2,,,0.64844,0.98214,0.03571,0.66667,0.50459,0.51515
HSPB1,KPYM,,0.64752,1.0,0.01695,1.0,0.50427,0.11111
HSPB1,TIMP-2,ADIPOQ,0.61865,1.0,0.03774,1.0,0.50485,0.35354
TIMP-2,ADIPOQ,,0.61503,1.0,0.03704,1.0,0.5,0.35354
TIMP-2,PIGR,,0.61014,0.95652,0.02222,0.33333,0.5,0.42424
