Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN,HSPB1,TIMP2,0.8351,1.0,0.01695,1.0,0.50427,0.0202
HSPB1,TIMP2,CLIC1,0.83338,1.0,0.05085,1.0,0.51304,0.0101
MMP9,TIMP2,CLIC1,0.82907,1.0,0.0339,1.0,0.50862,0.0101
CLIC1,,,0.82389,1.0,0.03333,1.0,0.50847,0.51515
AGRIN,PERM,TIMP2,0.82278,1.0,0.01695,1.0,0.49565,0.0101
MMP9,AGRIN,TIMP2,0.82189,1.0,0.01695,1.0,0.50427,0.0101
AGRIN,HSPB1,CLIC1,0.82139,1.0,0.01667,1.0,0.5042,0.0404
AGRIN,PIGR,TIMP2,0.82017,1.0,0.01695,1.0,0.50427,0.0303
PERM,TIMP2,CLIC1,0.81386,1.0,0.0339,1.0,0.5,0.0101
AGRIN,TIMP2,,0.81069,1.0,0.01695,1.0,0.50427,0.0202
AGRIN,TIMP2,CLIC1,0.81011,1.0,0.01695,1.0,0.50427,0.0101
KPYM,AGRIN,TIMP2,0.80859,1.0,0.01724,1.0,0.50862,0.0202
PIGR,TIMP2,CLIC1,0.79776,1.0,0.0339,1.0,0.50862,0.0101
MMP9,KPYM,TIMP2,0.79427,1.0,0.01724,1.0,0.50862,0.0202
MMP9,HSPB1,TIMP2,0.78799,1.0,0.01695,1.0,0.50427,0.0303
MMP9,HSPB1,CLIC1,0.7875,1.0,0.01667,1.0,0.5042,0.0303
MMP9,PERM,TIMP2,0.7865,1.0,0.01695,1.0,0.49565,0.0404
AGRIN,,,0.78611,1.0,0.01667,1.0,0.5042,0.51515
TIMP2,CLIC1,,0.78282,1.0,0.01695,1.0,0.50427,0.0101
KPYM,TIMP2,CLIC1,0.78258,1.0,0.03448,1.0,0.51304,0.0101
HSPB1,PIGR,CLIC1,0.78222,1.0,0.01667,1.0,0.5042,0.0101
KPYM,PERM,TIMP2,0.781,1.0,0.01724,1.0,0.5,0.0303
MMP9,CLIC1,,0.77583,1.0,0.03333,1.0,0.50847,0.52525
KPYM,HSPB1,CLIC1,0.77542,1.0,0.01695,1.0,0.50847,0.0101
AGRIN,HSPB1,PIGR,0.77444,1.0,0.01667,1.0,0.5042,0.09091
MMP9,TIMP2,,0.77363,1.0,0.01695,1.0,0.50427,0.05051
PERM,PIGR,TIMP2,0.77282,1.0,0.01695,1.0,0.49565,0.07071
HSPB1,PERM,TIMP2,0.77252,1.0,0.01695,1.0,0.49565,0.05051
HSPB1,PERM,CLIC1,0.77069,1.0,0.01667,1.0,0.49573,0.0202
MMP9,PIGR,TIMP2,0.76903,1.0,0.01695,1.0,0.50427,0.05051
PERM,TIMP2,,0.76747,1.0,0.01695,1.0,0.49565,0.06061
HSPB1,CLIC1,,0.765,1.0,0.01667,1.0,0.5042,0.0202
