Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.509090909090909,0
0.8326779716285125,0.0,0.9821428571428571,0.5045871559633027,0.0
0.7825231637395285,0.07407407407407407,0.9821428571428571,0.5238095238095238,0.8
0.7682687359439065,0.07407407407407407,0.9642857142857143,0.5192307692307693,0.6666666666666666
0.7078905584465627,0.24074074074074073,0.9642857142857143,0.5684210526315789,0.8666666666666667
0.702492786668715,0.24074074074074073,0.9464285714285714,0.5638297872340425,0.8125
0.7023779602018684,0.25925925925925924,0.9464285714285714,0.5698924731182796,0.8235294117647058
0.6896396797703829,0.25925925925925924,0.9285714285714286,0.5652173913043478,0.7777777777777778
0.680262348100484,0.2962962962962963,0.9285714285714286,0.5777777777777777,0.8
0.6797017418011501,0.2962962962962963,0.9107142857142857,0.5730337078651685,0.7619047619047619
0.6431810656071776,0.3888888888888889,0.9107142857142857,0.6071428571428571,0.8076923076923077
0.6430390338214301,0.3888888888888889,0.8928571428571429,0.6024096385542169,0.7777777777777778
0.6257873472253761,0.46296296296296297,0.8928571428571429,0.6329113924050633,0.8064516129032258
0.6241280236348457,0.46296296296296297,0.875,0.6282051282051282,0.78125
0.6125312133961077,0.5,0.875,0.6447368421052632,0.7941176470588235
0.5858591335790542,0.5,0.7857142857142857,0.6197183098591549,0.6923076923076923
0.571943994188278,0.5740740740740741,0.7857142857142857,0.6567164179104478,0.7209302325581395
0.544798874845148,0.5740740740740741,0.7321428571428571,0.640625,0.6739130434782609
0.5431057246148474,0.5925925925925926,0.7321428571428571,0.6507936507936508,0.6808510638297872
0.5388242506690218,0.5925925925925926,0.6964285714285714,0.639344262295082,0.6530612244897959
0.5243921610336088,0.6296296296296297,0.6964285714285714,0.6610169491525424,0.6666666666666666
0.5107252615698284,0.6296296296296297,0.6785714285714286,0.6551724137931034,0.6538461538461539
0.5083313574234983,0.6481481481481481,0.6785714285714286,0.6666666666666666,0.660377358490566
0.5074205579654231,0.6481481481481481,0.6607142857142857,0.6607142857142857,0.6481481481481481
0.49723473383190997,0.6851851851851852,0.6607142857142857,0.6851851851851852,0.6607142857142857
0.4878155398201252,0.6851851851851852,0.625,0.6730769230769231,0.6379310344827587
0.481821441859713,0.7222222222222222,0.625,0.7,0.65
0.4724860698765214,0.7222222222222222,0.5892857142857143,0.6875,0.6290322580645161
0.44047439705816577,0.8148148148148148,0.5892857142857143,0.7674418604651163,0.6567164179104478
0.43912303688493626,0.8148148148148148,0.5714285714285714,0.7619047619047619,0.6470588235294118
0.4227291822304647,0.8333333333333334,0.5714285714285714,0.7804878048780488,0.6521739130434783
0.3950424365393893,0.8333333333333334,0.5,0.7567567567567568,0.6164383561643836
0.38382977870430995,0.8518518518518519,0.5,0.7777777777777778,0.6216216216216216
0.3824284684229331,0.8518518518518519,0.48214285714285715,0.7714285714285715,0.6133333333333333
0.3824025468671894,0.8703703703703703,0.48214285714285715,0.7941176470588235,0.618421052631579
0.37391499468868106,0.8703703703703703,0.39285714285714285,0.7586206896551724,0.5802469135802469
0.3656538023517427,0.8888888888888888,0.39285714285714285,0.7857142857142857,0.5853658536585366
0.36042911776269604,0.8888888888888888,0.375,0.7777777777777778,0.5783132530120482
0.3532169881543988,0.9074074074074074,0.375,0.8076923076923077,0.5833333333333334
0.3485118543410476,0.9074074074074074,0.3392857142857143,0.7916666666666666,0.5697674418604651
0.3447653851947497,0.9259259259259259,0.3392857142857143,0.8260869565217391,0.5747126436781609
0.30100514311486287,0.9259259259259259,0.25,0.7777777777777778,0.5434782608695652
0.2978580854576342,0.9444444444444444,0.25,0.8235294117647058,0.5483870967741935
0.19783045131884977,0.9444444444444444,0.16071428571428573,0.75,0.5204081632653061
0.19225255521052534,0.9629629629629629,0.16071428571428573,0.8181818181818182,0.5252525252525253
0.1455322669153055,0.9629629629629629,0.08928571428571429,0.7142857142857143,0.5048543689320388
0.13045738311104502,0.9814814814814815,0.08928571428571429,0.8333333333333334,0.5096153846153846
0.1085843118830813,0.9814814814814815,0.07142857142857142,0.8,0.5047619047619047
0.10747776547768419,1.0,0.07142857142857142,1.0,0.5094339622641509
0.018880529380101624,1.0,0.0,0,0.4909090909090909
