preferredName_A	preferredName_B	score
DLL4	NOTCH1	0.999
DLL4	NOTCH2	0.999
DLL4	NOTCH4	0.998
DLL4	NOTCH3	0.998
DLL4	DLL1	0.942
DLL4	DLL3	0.919
DLL4	RBPJ	0.905
