preferredName_A	preferredName_B	score
COL17A1	DST	0.999
COL17A1	PLEC	0.998
COL17A1	ITGB4	0.996
COL17A1	CD151	0.992
COL17A1	LAMA3	0.972
COL17A1	LAMB3	0.959
COL17A1	ITGA6	0.945
COL17A1	LAMC2	0.944
