Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_PERM,CLIC1_PERM,0.87809,1.0,0.22034,1.0,0.5534,0.0101
PIGR_PERM,TIMP2_CLIC1,0.8763,1.0,0.08475,1.0,0.51351,0.0101
TIMP2_PERM,CLIC1_TIMP2,0.865,1.0,0.10169,1.0,0.51818,0.0101
PIGR_PERM,TIMP2_AGRIN,0.85935,1.0,0.05085,1.0,0.50442,0.0101
HSPB1_AGRIN,CLIC1_TIMP2,0.8578,0.9661,0.05085,0.6,0.50442,0.41414
AGRIN_TIMP2,TIMP2_CLIC1,0.8555,1.0,0.0678,1.0,0.51754,0.0101
AGRIN_CLIC1,TIMP2_CLIC1,0.85234,1.0,0.08475,1.0,0.52212,0.0101
HSPB1_MMP9,CLIC1_TIMP2,0.85148,1.0,0.01695,1.0,0.50427,0.42424
PIGR_PERM,CLIC1_TIMP2,0.85073,1.0,0.0678,1.0,0.50893,0.0101
PERM_PIGR,CLIC1_TIMP2,0.84984,1.0,0.10169,1.0,0.51818,0.50505
AGRIN_HSPB1,TIMP2_CLIC1,0.84774,1.0,0.0678,1.0,0.51754,0.0101
AGRIN_MMP9,CLIC1_TIMP2,0.84746,1.0,0.13559,1.0,0.53636,0.50505
KPYM_TIMP2,CLIC1_TIMP2,0.84687,1.0,0.03448,1.0,0.51304,0.0101
PERM_HSPB1,TIMP2_CLIC1,0.84597,1.0,0.0678,1.0,0.50893,0.0101
PERM_MMP9,TIMP2_CLIC1,0.84567,1.0,0.0678,1.0,0.50893,0.0101
MMP9_TIMP2,CLIC1_TIMP2,0.84516,1.0,0.11864,1.0,0.53153,0.50505
MMP9_PERM,TIMP2_CLIC1,0.84508,1.0,0.0678,1.0,0.50893,0.0101
PERM_AGRIN,TIMP2_CLIC1,0.84508,1.0,0.0678,1.0,0.50893,0.0101
AGRIN_PIGR,TIMP2_CLIC1,0.84487,1.0,0.11864,1.0,0.53153,0.0101
TIMP2_CLIC1,,0.8443,1.0,0.0678,1.0,0.51754,0.0101
CLIC1_TIMP2,,0.8443,1.0,0.11864,1.0,0.53153,0.50505
TIMP2_CLIC1,CLIC1_TIMP2,0.8443,1.0,0.08475,1.0,0.52212,0.0101
AGRIN_PERM,TIMP2_PERM,0.84389,1.0,0.13559,1.0,0.52778,0.0101
MMP9_HSPB1,TIMP2_CLIC1,0.84372,1.0,0.0678,1.0,0.51754,0.0101
PIGR_MMP9,CLIC1_TIMP2,0.84372,0.98305,0.01695,0.5,0.5,0.35354
TIMP2_AGRIN,CLIC1_TIMP2,0.84372,1.0,0.0678,1.0,0.51754,0.0101
KPYM_PERM,TIMP2_CLIC1,0.84362,1.0,0.06897,1.0,0.51351,0.0101
KPYM_CLIC1,TIMP2_KPYM,0.84249,1.0,0.05172,1.0,0.51754,0.0101
TIMP2_PIGR,CLIC1_PIGR,0.84229,0.98305,0.05085,0.75,0.50877,0.0101
KPYM_MMP9,CLIC1_TIMP2,0.8422,1.0,0.01724,1.0,0.50862,0.42424
KPYM_CLIC1,TIMP2_CLIC1,0.8422,1.0,0.08621,1.0,0.52679,0.0101
AGRIN_KPYM,TIMP2_CLIC1,0.84161,1.0,0.06897,1.0,0.52212,0.0101
PIGR_KPYM,TIMP2_CLIC1,0.84161,1.0,0.06897,1.0,0.52212,0.0101
AGRIN_KPYM,CLIC1_TIMP2,0.84074,1.0,0.08621,1.0,0.52679,0.50505
HSPB1_KPYM,CLIC1_TIMP2,0.84044,0.98305,0.01724,0.5,0.50435,0.37374
PERM_TIMP2,TIMP2_CLIC1,0.84032,1.0,0.08475,1.0,0.51351,0.0101
AGRIN_CLIC1,TIMP2_AGRIN,0.83999,1.0,0.0339,1.0,0.50862,0.0101
PERM_CLIC1,TIMP2_CLIC1,0.83973,1.0,0.0678,1.0,0.50893,0.0101
HSPB1_PERM,CLIC1_TIMP2,0.83913,1.0,0.01695,1.0,0.49565,0.09091
PIGR_AGRIN,TIMP2_CLIC1,0.83884,1.0,0.0678,1.0,0.51754,0.0101
AGRIN_PIGR,CLIC1_TIMP2,0.83855,1.0,0.0678,1.0,0.51754,0.50505
PERM_PIGR,TIMP2_CLIC1,0.83735,1.0,0.10169,1.0,0.51818,0.0101
TIMP2_AGRIN,CLIC1_AGRIN,0.83712,1.0,0.08475,1.0,0.52212,0.0101
KPYM_PERM,CLIC1_TIMP2,0.83636,1.0,0.03448,1.0,0.50442,0.0101
MMP9_PIGR,CLIC1_TIMP2,0.83597,1.0,0.08475,1.0,0.52212,0.50505
KPYM_PERM,TIMP2_AGRIN,0.83545,1.0,0.05172,1.0,0.50893,0.0101
KPYM_CLIC1,TIMP2_AGRIN,0.83489,1.0,0.06897,1.0,0.52212,0.0101
PIGR_HSPB1,TIMP2_CLIC1,0.83453,1.0,0.08475,1.0,0.52212,0.0101
MMP9_HSPB1,TIMP2_AGRIN,0.83396,1.0,0.0339,1.0,0.50862,0.0101
AGRIN_MMP9,TIMP2_CLIC1,0.83396,1.0,0.08475,1.0,0.52212,0.0101
TIMP2_PERM,CLIC1_PIGR,0.83348,1.0,0.13559,1.0,0.52778,0.0101
TIMP2_AGRIN,CLIC1_HSPB1,0.83338,1.0,0.08475,1.0,0.52212,0.0101
AGRIN_HSPB1,CLIC1_TIMP2,0.83309,1.0,0.01695,1.0,0.50427,0.09091
KPYM_HSPB1,TIMP2_CLIC1,0.83226,1.0,0.08621,1.0,0.52679,0.0101
MMP9_PERM,TIMP2_AGRIN,0.8317,1.0,0.0339,1.0,0.5,0.0101
PERM_CLIC1,TIMP2_AGRIN,0.83081,1.0,0.0339,1.0,0.5,0.0101
HSPB1_KPYM,TIMP2_CLIC1,0.8308,1.0,0.06897,1.0,0.52212,0.0101
AGRIN_HSPB1,TIMP2_AGRIN,0.83022,1.0,0.0339,1.0,0.50862,0.0101
HSPB1_CLIC1,TIMP2_AGRIN,0.82993,1.0,0.05085,1.0,0.51304,0.0101
PIGR_MMP9,TIMP2_CLIC1,0.82993,1.0,0.08475,1.0,0.52212,0.0101
PERM_AGRIN,TIMP2_AGRIN,0.82991,1.0,0.0339,1.0,0.5,0.0101
TIMP2_CLIC1,CLIC1_MMP9,0.82965,1.0,0.08475,1.0,0.52212,0.0101
MMP9_HSPB1,CLIC1_TIMP2,0.82878,1.0,0.01695,1.0,0.50427,0.05051
PERM_MMP9,TIMP2_AGRIN,0.82872,1.0,0.0339,1.0,0.5,0.0101
KPYM_PIGR,CLIC1_TIMP2,0.82846,1.0,0.06897,1.0,0.52212,0.50505
KPYM_TIMP2,TIMP2_CLIC1,0.82846,1.0,0.08621,1.0,0.52679,0.0101
TIMP2_KPYM,CLIC1_KPYM,0.82759,1.0,0.17241,1.0,0.5514,0.0101
PERM_TIMP2,TIMP2_AGRIN,0.82724,1.0,0.05085,1.0,0.50442,0.0101
MMP9_CLIC1,AGRIN_TIMP2,0.82677,1.0,0.0339,1.0,0.50862,0.0101
PIGR_CLIC1,TIMP2_CLIC1,0.82677,1.0,0.08475,1.0,0.52212,0.0101
PERM_HSPB1,TIMP2_AGRIN,0.82664,1.0,0.0339,1.0,0.5,0.0101
KPYM_CLIC1,CLIC1_TIMP2,0.82642,1.0,0.05172,1.0,0.51754,0.0101
PERM_TIMP2,CLIC1_TIMP2,0.82605,1.0,0.01695,1.0,0.49565,0.46465
PERM_MMP9,CLIC1_TIMP2,0.82575,1.0,0.01695,1.0,0.49565,0.36364
KPYM_TIMP2,TIMP2_AGRIN,0.82554,1.0,0.03448,1.0,0.51304,0.0101
AGRIN_TIMP2,PERM_MMP9,0.82486,0,0,0,0,0.5
PERM_HSPB1,CLIC1_TIMP2,0.82486,1.0,0.01695,1.0,0.49565,0.07071
MMP9_HSPB1,AGRIN_TIMP2,0.82476,1.0,0.01695,1.0,0.50427,0.05051
PIGR_TIMP2,TIMP2_CLIC1,0.82419,1.0,0.0678,1.0,0.51754,0.0101
KPYM_AGRIN,TIMP2_AGRIN,0.82379,1.0,0.05172,1.0,0.51754,0.0101
KPYM_AGRIN,TIMP2_CLIC1,0.82379,1.0,0.06897,1.0,0.52212,0.0101
MMP9_KPYM,TIMP2_CLIC1,0.8232,1.0,0.06897,1.0,0.52212,0.0101
KPYM_HSPB1,TIMP2_AGRIN,0.82262,1.0,0.03448,1.0,0.51304,0.0101
PERM_KPYM,TIMP2_CLIC1,0.82244,1.0,0.12069,1.0,0.52778,0.0101
MMP9_CLIC1,TIMP2_AGRIN,0.82189,1.0,0.0339,1.0,0.50862,0.0101
HSPB1_PIGR,CLIC1_TIMP2,0.82189,1.0,0.0678,1.0,0.51754,0.50505
PIGR_CLIC1,TIMP2_AGRIN,0.8216,1.0,0.05085,1.0,0.51304,0.0101
MMP9_CLIC1,TIMP2_CLIC1,0.82045,1.0,0.0678,1.0,0.51754,0.0101
KPYM_MMP9,TIMP2_CLIC1,0.82028,1.0,0.08621,1.0,0.52679,0.0101
PERM_KPYM,CLIC1_TIMP2,0.81972,0.98246,0.01724,0.5,0.49558,0.46465
AGRIN_TIMP2,HSPB1_AGRIN,0.81959,0,0,0,0,0.5
PIGR_HSPB1,TIMP2_AGRIN,0.81959,1.0,0.0339,1.0,0.50862,0.0101
PIGR_KPYM,TIMP2_AGRIN,0.8194,1.0,0.03448,1.0,0.51304,0.0101
TIMP2_MMP9,CLIC1_TIMP2,0.8193,1.0,0.01695,1.0,0.50427,0.0404
PIGR_AGRIN,TIMP2_AGRIN,0.81902,1.0,0.0339,1.0,0.50862,0.0101
HSPB1_TIMP2,TIMP2_AGRIN,0.81873,1.0,0.05085,1.0,0.51304,0.0101
AGRIN_TIMP2,,0.81844,0,0,0,0,0.5
TIMP2_AGRIN,,0.81844,1.0,0.0339,1.0,0.50862,0.0101
AGRIN_TIMP2,TIMP2_AGRIN,0.81844,1.0,0.0339,1.0,0.50862,0.0101
TIMP2_KPYM,CLIC1_TIMP2,0.81794,1.0,0.05172,1.0,0.51754,0.0101
