Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_TIMP-2,KPYM_TIMP-2,0.84545,1.0,0.04545,1.0,0.54348,0.53535
TIMP-2_MMP9,KPYM_TIMP-2,0.84,1.0,0.04762,1.0,0.55556,0.0101
TIMP-2_KPYM,AGRIN_KPYM,0.83704,1.0,0.05,1.0,0.58696,0.06061
TIMP-2_MMP9,KPYM_MMP9,0.82857,1.0,0.04762,1.0,0.55556,0.0101
TIMP-2_MMP9,AGRIN_MMP9,0.82601,1.0,0.09524,1.0,0.57778,0.0101
AGRIN_KPYM,KPYM_TIMP-2,0.82037,0.96296,0.05,0.5,0.57778,0.58586
TIMP-2_MMP9,KPYM_PERM,0.81333,1.0,0.09524,1.0,0.56818,0.0202
TIMP-2_AGRIN,KPYM_TIMP-2,0.80976,1.0,0.04545,1.0,0.5625,0.0404
TIMP-2_MMP9,AGRIN_TIMP-2,0.80769,1.0,0.04762,1.0,0.56522,0.0101
PERM_TIMP-2,TIMP-2_AGRIN,0.80519,1.0,0.04545,1.0,0.57143,0.0101
MMP9_KPYM,TIMP-2_KPYM,0.804,1.0,0.05,1.0,0.56818,0.0101
AGRIN_TIMP-2,KPYM_TIMP-2,0.80303,1.0,0.04545,1.0,0.5625,0.56566
TIMP-2_PERM,AGRIN_TIMP-2,0.80195,1.0,0.04545,1.0,0.57143,0.0303
MMP9_TIMP-2,TIMP-2_KPYM,0.794,1.0,0.05,1.0,0.56818,0.0404
TIMP-2_AGRIN,,0.79058,1.0,0.04545,1.0,0.57143,0.25253
AGRIN_TIMP-2,,0.79058,1.0,0.04545,1.0,0.57143,0.55556
TIMP-2_AGRIN,AGRIN_TIMP-2,0.79058,1.0,0.04545,1.0,0.57143,0.0303
MMP9_TIMP-2,TIMP-2_AGRIN,0.78322,1.0,0.04545,1.0,0.55319,0.0202
TIMP-2_AGRIN,KPYM_AGRIN,0.77778,1.0,0.04545,1.0,0.5625,0.09091
PERM_TIMP-2,AGRIN_TIMP-2,0.76623,0,0,0,0,0.5
TIMP-2_PERM,KPYM_TIMP-2,0.76263,1.0,0.04545,1.0,0.5625,0.0404
PERM_KPYM,AGRIN_TIMP-2,0.76111,0.96296,0.05,0.5,0.57778,0.48485
MMP9_TIMP-2,TIMP-2_PERM,0.76049,1.0,0.04545,1.0,0.55319,0.0101
TIMP-2_KPYM,AGRIN_TIMP-2,0.75926,1.0,0.05,1.0,0.58696,0.21212
PERM_MMP9,KPYM_TIMP-2,0.75429,1.0,0.04762,1.0,0.55556,0.13131
PERM_MMP9,TIMP-2_MMP9,0.75275,1.0,0.04762,1.0,0.56522,0.0101
MMP9_AGRIN,AGRIN_TIMP-2,0.75,0,0,0,0,0.5
PERM_TIMP-2,TIMP-2_MMP9,0.74725,1.0,0.04762,1.0,0.56522,0.0101
TIMP-2_MMP9,AGRIN_PERM,0.74542,1.0,0.09524,1.0,0.57778,0.0303
TIMP-2_PERM,AGRIN_PERM,0.74351,1.0,0.09091,1.0,0.58333,0.0101
MMP9_TIMP-2,PERM_KPYM,0.74,1.0,0.05,1.0,0.56818,0.33333
MMP9_KPYM,AGRIN_TIMP-2,0.74,0.96,0.05,0.5,0.55814,0.51515
MMP9_AGRIN,TIMP-2_AGRIN,0.73601,1.0,0.04545,1.0,0.55319,0.0202
TIMP-2_MMP9,KPYM_AGRIN,0.73524,1.0,0.04762,1.0,0.55556,0.0202
PERM_AGRIN,AGRIN_TIMP-2,0.73377,0.96429,0.04545,0.5,0.5625,0.42424
MMP9_KPYM,KPYM_TIMP-2,0.732,0,0,0,0,0.5
PERM_TIMP-2,AGRIN_KPYM,0.73148,1.0,0.05,1.0,0.58696,0.52525
PERM_TIMP-2,TIMP-2_KPYM,0.72963,0.96296,0.05,0.5,0.57778,0.23232
MMP9_TIMP-2,,0.72902,1.0,0.04545,1.0,0.55319,0.50505
TIMP-2_PERM,KPYM_PERM,0.72896,1.0,0.04545,1.0,0.5625,0.05051
PERM_TIMP-2,,0.7224,1.0,0.09091,1.0,0.58333,0.52525
TIMP-2_PERM,,0.7224,1.0,0.04545,1.0,0.57143,0.17172
PERM_TIMP-2,TIMP-2_PERM,0.7224,1.0,0.04545,1.0,0.57143,0.08081
KPYM_TIMP-2,,0.71717,1.0,0.09091,1.0,0.57447,0.50505
AGRIN_MMP9,KPYM_TIMP-2,0.71619,1.0,0.04762,1.0,0.55556,0.20202
TIMP-2_MMP9,,0.71612,1.0,0.04762,1.0,0.56522,0.11111
MMP9_TIMP-2,TIMP-2_MMP9,0.71612,1.0,0.04762,1.0,0.56522,0.0202
MMP9_KPYM,PERM_TIMP-2,0.716,0.96,0.05,0.5,0.55814,0.46465
PERM_AGRIN,TIMP-2_AGRIN,0.71591,1.0,0.04545,1.0,0.57143,0.0202
PERM_TIMP-2,KPYM_TIMP-2,0.71549,1.0,0.04545,1.0,0.5625,0.49495
MMP9_AGRIN,PERM_TIMP-2,0.71503,0,0,0,0,0.5
MMP9_TIMP-2,AGRIN_KPYM,0.712,1.0,0.05,1.0,0.56818,0.46465
TIMP-2_AGRIN,KPYM_MMP9,0.71048,0.96,0.04762,0.5,0.54545,0.15152
