Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
PERM,BCAM,0.87216,1.0,0.01449,1.0,0.58282,0.56566
NGAL,PIGR,0.86513,1.0,0.01389,1.0,0.53896,0.0303
MVP,,0.84314,1.0,0.00909,1.0,0.50228,0.51515
MMP9,PIGR,0.83026,1.0,0.01042,1.0,0.525,0.0404
PERM,,0.82906,1.0,0.00855,1.0,0.50215,0.52525
MDK,MVP,0.82273,0.99091,0.00926,0.5,0.50463,0.52525
MMP9,,0.81994,1.0,0.00833,1.0,0.52209,0.52525
FABP5,,0.8189,1.0,0.01887,1.0,0.52941,0.53535
MMP9,BCAM,0.8168,0.99048,0.02778,0.66667,0.5977,0.54545
PERM,PIGR,0.8153,1.0,0.01064,1.0,0.50267,0.0404
MMP9,OSTP,0.81076,1.0,0.02752,1.0,0.5431,0.52525
NGAL,,0.79562,1.0,0.0125,1.0,0.55866,0.53535
AGRIN,NGAL,0.78329,1.0,0.0137,1.0,0.5814,0.54545
MMP9,AGRIN,0.77903,0.97674,0.0101,0.25,0.5625,0.41414
OSTP,PIGR,0.77821,0.99029,0.01111,0.5,0.53403,0.10101
OSTP,BCAM,0.77602,0.98058,0.04225,0.6,0.59763,0.48485
PIGR,BCAM,0.77512,0.98864,0.07018,0.8,0.62143,0.22222
NGAL,MIF,0.77233,1.0,0.01351,1.0,0.55758,0.52525
AGRIN,FABP5,0.76912,0.99138,0.01087,0.5,0.55825,0.52525
OSTP,,0.763,0,0,0,0,0.5
FABP5,PIGR,0.76206,1.0,0.01099,1.0,0.51351,0.0404
MMP9,NGAL,0.75375,0.99,0.0375,0.75,0.5625,0.24242
MVP,PIGR,0.7509,1.0,0.01075,1.0,0.49451,0.0404
OSTP,PERM,0.75017,0,0,0,0,0.5
PERM,AGRIN,0.74946,0.98276,0.01042,0.33333,0.54545,0.46465
HSPB1,PERM,0.74832,1.0,0.00885,1.0,0.4717,0.13131
HSPB1,MMP9,0.74792,1.0,0.00862,1.0,0.49339,0.15152
OSTP,NGAL,0.7403,0.9697,0.01316,0.25,0.5614,0.32323
BCAM,,0.73704,0.99048,0.04167,0.75,0.60116,0.56566
OSTP,AGRIN,0.73343,0.99206,0.01031,0.5,0.56561,0.34343
PERM,MIF,0.73279,1.0,0.01905,1.0,0.50718,0.48485
MMP9,PERM,0.73249,1.0,0.00855,1.0,0.50215,0.44444
AGRIN,MVP,0.72804,0.99091,0.01053,0.5,0.53695,0.47475
HSPB1,FABP5,0.72708,1.0,0.00952,1.0,0.49515,0.05051
HSPB1,OSTP,0.72356,0.99083,0.00943,0.5,0.50704,0.17172
MMP9,MIF,0.72309,1.0,0.00926,1.0,0.52444,0.45455
MMP9,FABP5,0.72166,1.0,0.01887,1.0,0.52941,0.22222
PERM,NGAL,0.72124,0.98901,0.01266,0.5,0.53571,0.25253
OSTP,MIF,0.72016,0.97391,0.0202,0.4,0.53589,0.40404
AGRIN,BCAM,0.7192,1.0,0.01562,1.0,0.62275,0.37374
NGAL,BCAM,0.71353,0.9881,0.04255,0.66667,0.64844,0.57576
OSTP,FABP5,0.71035,0.95614,0.02,0.28571,0.52657,0.31313
HSPB1,NGAL,0.70781,1.0,0.01282,1.0,0.52761,0.17172
PIGR,MIF,0.70367,1.0,0.01111,1.0,0.5291,0.14141
MDK,OSTP,0.70116,0.992,0.00935,0.5,0.53913,0.29293
BCAM,MIF,0.69928,0.99,0.04348,0.75,0.6,0.53535
MDK,MMP9,0.69439,1.0,0.00847,1.0,0.52439,0.32323
MDK,,0.69334,0.99225,0.00847,0.5,0.52245,0.50505
PERM,FABP5,0.69186,1.0,0.00971,1.0,0.51196,0.28283
MIF,,0.69091,0.99153,0.03704,0.8,0.52941,0.50505
NGAL,FABP5,0.69029,1.0,0.03947,1.0,0.56024,0.48485
MMP9,MVP,0.69025,1.0,0.00909,1.0,0.50228,0.24242
OSTP,MVP,0.6895,0,0,0,0,0.5
AGRIN,MIF,0.68648,0.99145,0.02198,0.66667,0.56585,0.48485
HSPB1,MVP,0.68443,1.0,0.00935,1.0,0.47,0.14141
MDK,PIGR,0.68146,1.0,0.01064,1.0,0.52792,0.15152
FABP5,BCAM,0.68013,0.9697,0.05797,0.57143,0.59627,0.53535
MDK,PERM,0.6799,1.0,0.0087,1.0,0.50649,0.34343
PERM,MVP,0.67752,0.99029,0.00935,0.5,0.49038,0.27273
FABP5,MIF,0.67722,1.0,0.0303,1.0,0.53623,0.50505
MVP,BCAM,0.67538,0.98936,0.02941,0.66667,0.58491,0.47475
MDK,FABP5,0.67003,0.99138,0.00952,0.5,0.52511,0.48485
HSPB1,BCAM,0.66823,1.0,0.01389,1.0,0.55625,0.26263
MDK,BCAM,0.66386,1.0,0.01389,1.0,0.59429,0.45455
MDK,AGRIN,0.66044,1.0,0.01031,1.0,0.57143,0.48485
MDK,NGAL,0.65449,1.0,0.01282,1.0,0.5625,0.35354
HSPB1,MIF,0.6469,1.0,0.00962,1.0,0.4951,0.19192
NGAL,MVP,0.64208,1.0,0.01282,1.0,0.52469,0.35354
MDK,MIF,0.63506,1.0,0.00943,1.0,0.52703,0.39394
MVP,FABP5,0.63373,0.9902,0.00971,0.5,0.49754,0.46465
HSPB1,MDK,0.6322,0.99099,0.0087,0.5,0.49107,0.23232
MVP,MIF,0.6287,0.97059,0.03922,0.57143,0.50254,0.44444
HSPB1,,0.61184,0.97321,0.07759,0.75,0.50463,0.50505
