Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MVP,0.84314,1.0,0.00909,1.0,0.50228,0.51515
PERM,0.82906,1.0,0.00855,1.0,0.50215,0.52525
MMP9,0.81994,1.0,0.00833,1.0,0.52209,0.52525
FABP5,0.8189,1.0,0.01887,1.0,0.52941,0.53535
NGAL,0.79562,1.0,0.0125,1.0,0.55866,0.53535
OSTP,0.763,0,0,0,0,0.5
BCAM,0.73704,0.99048,0.04167,0.75,0.60116,0.56566
MDK,0.69334,0.99225,0.00847,0.5,0.52245,0.50505
MIF,0.69091,0.99153,0.03704,0.8,0.52941,0.50505
HSPB1,0.61184,0.97321,0.07759,0.75,0.50463,0.50505
AGRIN,0.57012,0.95349,0.05051,0.45455,0.56682,0.50505
PIGR,0.48204,0,0,0,0,0.5
