Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
HSPB1_MMP9,ADIPOQ_KPYM,TIMP-2_HSPB1,KPYM_TIMP-2,0.99479,1.0,0.66667,1.0,0.75,0.0101
PERM_TIMP-2,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99199,1.0,0.73077,1.0,0.77419,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.99199,1.0,0.69231,1.0,0.75,0.0101
MMP9_HSPB1,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99132,1.0,0.66667,1.0,0.75,0.0101
PERM_HSPB1,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99132,1.0,0.66667,1.0,0.75,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.99132,1.0,0.66667,1.0,0.75,0.0101
MMP9_PERM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99038,1.0,0.69231,1.0,0.75,0.0101
PERM_MMP9,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99038,1.0,0.76923,1.0,0.8,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.99038,1.0,0.69231,1.0,0.75,0.0101
HSPB1_MMP9,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99,1.0,0.72,1.0,0.77419,0.0101
HSPB1_TIMP-2,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99,1.0,0.72,1.0,0.77419,0.0101
HSPB1_KPYM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.99,1.0,0.72,1.0,0.77419,0.0101
MMP9_ADIPOQ,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98951,1.0,0.69231,1.0,0.73333,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98951,1.0,0.69231,1.0,0.73333,0.0101
MMP9_TIMP-2,PERM_AGRIN,ADIPOQ_HSPB1,TIMP-2_PERM,0.98923,1.0,0.61538,1.0,0.71429,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,,0.98878,1.0,0.69231,1.0,0.75,0.0101
MMP9_TIMP-2,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98878,1.0,0.69231,1.0,0.75,0.0101
MMP9_AGRIN,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98878,1.0,0.69231,1.0,0.75,0.0101
MMP9_KPYM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98878,1.0,0.69231,1.0,0.75,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_PERM,KPYM_MMP9,0.98878,1.0,0.69231,1.0,0.75,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.98878,1.0,0.69231,1.0,0.75,0.0101
HSPB1_PERM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98833,1.0,0.72,1.0,0.77419,0.0101
HSPB1_AGRIN,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98833,1.0,0.72,1.0,0.77419,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.98833,1.0,0.72,1.0,0.77419,0.0101
HSPB1_MMP9,ADIPOQ_AGRIN,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98829,1.0,0.5,1.0,0.63889,0.0101
PERM_ADIPOQ,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98776,1.0,0.73077,1.0,0.75862,0.0101
MMP9_TIMP-2,PERM_AGRIN,ADIPOQ_HSPB1,AGRIN_PERM,0.98769,1.0,0.61538,1.0,0.71429,0.0101
MMP9_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.98765,1.0,0.74074,1.0,0.77419,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.98765,1.0,0.7037,1.0,0.75,0.0101
HSPB1_ADIPOQ,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98727,1.0,0.76,1.0,0.78571,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98727,1.0,0.72,1.0,0.75862,0.0101
PERM_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9872,1.0,0.56,1.0,0.69444,0.0101
MMP9_KPYM,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.61538,1.0,0.70588,0.0101
MMP9_KPYM,ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.65385,1.0,0.72727,0.0101
MMP9_KPYM,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.61538,1.0,0.70588,0.0101
MMP9_KPYM,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.69231,1.0,0.75,0.0101
HSPB1_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.98718,1.0,0.69231,1.0,0.75,0.0101
PERM_AGRIN,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.76923,1.0,0.8,0.0101
PERM_KPYM,ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98718,1.0,0.73077,1.0,0.77419,0.0101
MMP9_TIMP-2,PERM_AGRIN,ADIPOQ_AGRIN,TIMP-2_PERM,0.98714,1.0,0.78571,1.0,0.80645,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.98667,1.0,0.72,1.0,0.77419,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.98667,1.0,0.68,1.0,0.75,0.0101
PERM_MMP9,ADIPOQ_TIMP-2,TIMP-2_PERM,KPYM_ADIPOQ,0.98653,1.0,0.74074,1.0,0.75862,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98653,1.0,0.74074,1.0,0.75862,0.0101
MMP9_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98611,1.0,0.70833,1.0,0.77419,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98601,1.0,0.65385,1.0,0.70968,0.0101
MMP9_HSPB1,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9856,1.0,0.56,1.0,0.69444,0.0101
MMP9_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9856,1.0,0.6,1.0,0.71429,0.0101
HSPB1_MMP9,ADIPOQ_AGRIN,TIMP-2_HSPB1,AGRIN_TIMP-2,0.9856,1.0,0.56,1.0,0.69444,0.0101
PERM_HSPB1,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.9856,1.0,0.56,1.0,0.69444,0.0101
HSPB1_AGRIN,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_TIMP-2,0.98558,1.0,0.57692,1.0,0.68571,0.0101
PERM_MMP9,ADIPOQ_KPYM,TIMP-2_PERM,KPYM_TIMP-2,0.98558,1.0,0.69231,1.0,0.75,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.98558,1.0,0.57692,1.0,0.68571,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.98558,1.0,0.69231,1.0,0.75,0.0101
MMP9_TIMP-2,HSPB1_ADIPOQ,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98551,1.0,0.55556,1.0,0.65714,0.0101
MMP9_TIMP-2,HSPB1_TIMP-2,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98551,1.0,0.51852,1.0,0.63889,0.0101
MMP9_AGRIN,HSPB1_TIMP-2,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98551,1.0,0.44444,1.0,0.60526,0.0101
MMP9_KPYM,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.98545,1.0,0.68,1.0,0.73333,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.98545,1.0,0.6,1.0,0.6875,0.0101
MMP9_TIMP-2,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_TIMP-2,0.98519,1.0,0.62963,1.0,0.71429,0.0101
MMP9_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_TIMP-2,0.98519,1.0,0.62963,1.0,0.71429,0.0101
PERM_MMP9,ADIPOQ_AGRIN,TIMP-2_PERM,AGRIN_TIMP-2,0.98519,1.0,0.66667,1.0,0.73529,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.985,1.0,0.68,1.0,0.75,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.985,1.0,0.72,1.0,0.77419,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.985,1.0,0.56,1.0,0.68571,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_HSPB1,0.985,1.0,0.56,1.0,0.68571,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.985,1.0,0.64,1.0,0.72727,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.985,1.0,0.56,1.0,0.68571,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_HSPB1,0.985,1.0,0.56,1.0,0.68571,0.0101
MMP9_AGRIN,HSPB1_MMP9,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98495,1.0,0.5,1.0,0.63889,0.0101
MMP9_TIMP-2,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98485,1.0,0.59259,1.0,0.66667,0.0101
MMP9_AGRIN,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98485,1.0,0.59259,1.0,0.66667,0.0101
MMP9_TIMP-2,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.98457,1.0,0.62963,1.0,0.70588,0.0101
PERM_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.98457,1.0,0.66667,1.0,0.72727,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.98457,1.0,0.62963,1.0,0.70588,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.98457,1.0,0.7037,1.0,0.75,0.0101
HSPB1_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.98438,1.0,0.58333,1.0,0.70588,0.0101
PERM_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.98438,1.0,0.58333,1.0,0.70588,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.98438,1.0,0.70833,1.0,0.77419,0.0101
MMP9_ADIPOQ,ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_HSPB1,0.98435,1.0,0.6,1.0,0.69697,0.0101
HSPB1_MMP9,ADIPOQ_TIMP-2,TIMP-2_HSPB1,AGRIN_ADIPOQ,0.98435,1.0,0.52,1.0,0.65714,0.0101
HSPB1_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.98435,1.0,0.6,1.0,0.69697,0.0101
PERM_HSPB1,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98435,1.0,0.56,1.0,0.67647,0.0101
MMP9_TIMP-2,PERM_AGRIN,ADIPOQ_TIMP-2,TIMP-2_PERM,0.98429,1.0,0.53571,1.0,0.65789,0.0101
MMP9_TIMP-2,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.98427,1.0,0.61538,1.0,0.6875,0.0101
MMP9_TIMP-2,PERM_ADIPOQ,TIMP-2_PERM,KPYM_HSPB1,0.98427,1.0,0.65385,1.0,0.70968,0.0101
MMP9_PERM,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.984,1.0,0.56,1.0,0.69444,0.0101
MMP9_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.984,1.0,0.6,1.0,0.71429,0.0101
MMP9_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.984,1.0,0.6,1.0,0.71429,0.0101
HSPB1_MMP9,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_HSPB1,0.984,1.0,0.56,1.0,0.69444,0.0101
PERM_MMP9,ADIPOQ_HSPB1,TIMP-2_PERM,AGRIN_TIMP-2,0.984,1.0,0.6,1.0,0.71429,0.0101
PERM_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.984,1.0,0.6,1.0,0.71429,0.0101
HSPB1_TIMP-2,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.98397,1.0,0.65385,1.0,0.72727,0.0101
MMP9_AGRIN,HSPB1_AGRIN,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.9839,1.0,0.44444,1.0,0.60526,0.0101
MMP9_AGRIN,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_ADIPOQ,0.9839,1.0,0.62963,1.0,0.69697,0.0101
MMP9_TIMP-2,PERM_ADIPOQ,TIMP-2_PERM,KPYM_ADIPOQ,0.98377,1.0,0.78571,1.0,0.78571,0.0101
MMP9_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98364,1.0,0.72,1.0,0.75862,0.0101
HSPB1_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98364,1.0,0.72,1.0,0.75862,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.98364,1.0,0.6,1.0,0.6875,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_HSPB1,0.98364,1.0,0.56,1.0,0.66667,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_PERM,0.98364,1.0,0.56,1.0,0.66667,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_ADIPOQ,0.98364,1.0,0.56,1.0,0.66667,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_ADIPOQ,0.98364,1.0,0.56,1.0,0.66667,0.0101
MMP9_TIMP-2,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98333,1.0,0.72,1.0,0.77419,0.0101
HSPB1_KPYM,ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.98333,1.0,0.64,1.0,0.72727,0.0101
HSPB1_KPYM,ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.98333,1.0,0.64,1.0,0.72727,0.0101
HSPB1_KPYM,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_TIMP-2,0.98333,1.0,0.56,1.0,0.68571,0.0101
PERM_MMP9,ADIPOQ_PERM,AGRIN_HSPB1,KPYM_TIMP-2,0.98333,1.0,0.36,1.0,0.6,0.0101
PERM_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.98333,1.0,0.68,1.0,0.75,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_PERM,KPYM_MMP9,0.98333,1.0,0.76,1.0,0.8,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_PERM,0.98333,1.0,0.56,1.0,0.68571,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_TIMP-2,0.98333,1.0,0.56,1.0,0.68571,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,KPYM_HSPB1,0.98333,1.0,0.64,1.0,0.72727,0.0101
MMP9_ADIPOQ,HSPB1_MMP9,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98328,1.0,0.38462,1.0,0.58974,0.0101
MMP9_TIMP-2,HSPB1_MMP9,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98328,1.0,0.5,1.0,0.63889,0.0101
HSPB1_MMP9,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98328,1.0,0.61538,1.0,0.69697,0.0101
HSPB1_ADIPOQ,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98328,1.0,0.61538,1.0,0.69697,0.0101
MMP9_TIMP-2,PERM_KPYM,TIMP-2_PERM,AGRIN_ADIPOQ,0.98316,1.0,0.51852,1.0,0.62857,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98316,1.0,0.62963,1.0,0.6875,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.98316,1.0,0.62963,1.0,0.6875,0.0101
HSPB1_PERM,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.98308,1.0,0.61538,1.0,0.71429,0.0101
MMP9_TIMP-2,ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.98302,1.0,0.59259,1.0,0.68571,0.0101
MMP9_TIMP-2,ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.98302,1.0,0.62963,1.0,0.70588,0.0101
MMP9_TIMP-2,ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.98302,1.0,0.66667,1.0,0.72727,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.98302,1.0,0.59259,1.0,0.68571,0.0101
MMP9_AGRIN,ADIPOQ_TIMP-2,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98292,1.0,0.42857,1.0,0.58974,0.0101
HSPB1_MMP9,ADIPOQ_KPYM,AGRIN_HSPB1,KPYM_TIMP-2,0.98264,1.0,0.33333,1.0,0.6,0.0101
HSPB1_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98264,1.0,0.70833,1.0,0.77419,0.0101
PERM_KPYM,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.98264,1.0,0.70833,1.0,0.77419,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_HSPB1,0.98264,1.0,0.58333,1.0,0.70588,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.98264,1.0,0.54167,1.0,0.68571,0.0101
MMP9_HSPB1,PERM_MMP9,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98261,1.0,0.4,1.0,0.60526,0.0101
MMP9_HSPB1,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98261,1.0,0.56,1.0,0.67647,0.0101
MMP9_AGRIN,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_ADIPOQ,0.98261,1.0,0.56,1.0,0.67647,0.0101
MMP9_PERM,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.98252,1.0,0.65385,1.0,0.70968,0.0101
MMP9_ADIPOQ,HSPB1_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.98252,1.0,0.61538,1.0,0.6875,0.0101
MMP9_ADIPOQ,PERM_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98252,1.0,0.57692,1.0,0.66667,0.0101
MMP9_AGRIN,HSPB1_KPYM,TIMP-2_ADIPOQ,AGRIN_ADIPOQ,0.98252,1.0,0.5,1.0,0.62857,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.98252,1.0,0.57692,1.0,0.66667,0.0101
