Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_TIMP-2,0.92006,1.0,0.08824,1.0,0.55714,0.50505
TIMP-2_MMP9,0.91506,1.0,0.03125,1.0,0.55714,0.0101
ADIPOQ_MMP9,0.8659,1.0,0.03448,1.0,0.49091,0.0303
MMP9_ADIPOQ,0.86,1.0,0.06667,1.0,0.4717,0.50505
TIMP-2_AGRIN,0.8552,1.0,0.05882,1.0,0.5493,0.0101
AGRIN_TIMP-2,0.8552,1.0,0.05882,1.0,0.5493,0.52525
ADIPOQ_AGRIN,0.81852,0.96296,0.03333,0.5,0.47273,0.22222
PERM_TIMP-2,0.81579,1.0,0.02941,1.0,0.53521,0.51515
TIMP-2_PERM,0.81579,1.0,0.05882,1.0,0.54286,0.0101
KPYM_TIMP-2,0.81037,1.0,0.08824,1.0,0.55072,0.50505
AGRIN_ADIPOQ,0.804,0.96,0.03333,0.5,0.45283,0.52525
ADIPOQ_PERM,0.8,1.0,0.03333,1.0,0.47273,0.05051
TIMP-2_KPYM,0.79202,1.0,0.03226,1.0,0.55882,0.0101
PERM_ADIPOQ,0.78333,1.0,0.2,1.0,0.5,0.51515
TIMP-2_ADIPOQ,0.75932,1.0,0.03571,1.0,0.46,0.10101
ADIPOQ_KPYM,0.74934,1.0,0.03448,1.0,0.48148,0.13131
KPYM_ADIPOQ,0.7375,1.0,0.03333,1.0,0.45283,0.50505
HSPB1_TIMP-2,0.70396,1.0,0.0303,1.0,0.5493,0.50505
ADIPOQ_TIMP-2,0.69857,0,0,0,0,0.5
TIMP-2_HSPB1,0.69471,1.0,0.03125,1.0,0.55714,0.0101
AGRIN_HSPB1,0.65029,0,0,0,0,0.5
HSPB1_AGRIN,0.62825,0,0,0,0,0.5
ADIPOQ_HSPB1,0.62698,0,0,0,0,0.5
