Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_HSPB1,HSPB1_MMP9,AGRIN_TIMP-2,0.90616,1.0,0.09804,1.0,0.54902,0.0101
HSPB1_MMP9,TIMP-2_KPYM,AGRIN_TIMP-2,0.89418,1.0,0.1,1.0,0.55,0.0101
HSPB1_MMP9,TIMP-2_HSPB1,AGRIN_TIMP-2,0.89076,1.0,0.07843,1.0,0.54369,0.0101
ADIPOQ_MMP9,TIMP-2_KPYM,AGRIN_TIMP-2,0.88996,1.0,0.06122,1.0,0.52577,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.88979,0.98077,0.13462,0.875,0.53125,0.0101
HSPB1_MMP9,ADIPOQ_HSPB1,AGRIN_TIMP-2,0.88932,1.0,0.04082,1.0,0.52525,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.8865,1.0,0.13462,1.0,0.53125,0.0101
MMP9_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88581,1.0,0.11765,1.0,0.53125,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.8854,0.98077,0.12245,0.85714,0.54255,0.0101
PERM_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88494,0.98113,0.13725,0.875,0.54167,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88414,0.98182,0.13725,0.875,0.55102,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_TIMP-2,0.88355,1.0,0.08163,1.0,0.53125,0.0101
TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.8835,0.98182,0.12963,0.875,0.53465,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,0.88314,0.98077,0.15385,0.88889,0.53684,0.0101
MMP9_HSPB1,TIMP-2_MMP9,AGRIN_TIMP-2,0.88305,0.98214,0.11765,0.85714,0.55,0.0101
HSPB1_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,0.88208,0.98214,0.13208,0.875,0.54455,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,0.88203,0.98077,0.13462,0.875,0.53125,0.0101
