Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_KPYM,TIMP-2_MMP9,KPYM_TIMP-2,0.87001,1.0,0.04082,1.0,0.49462,0.0101
MMP9_KPYM,TIMP-2_MMP9,AGRIN_TIMP-2,0.86602,1.0,0.04082,1.0,0.49462,0.0101
PERM_KPYM,TIMP-2_MMP9,KPYM_TIMP-2,0.86557,1.0,0.04082,1.0,0.49462,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,KPYM_TIMP-2,0.86469,1.0,0.06122,1.0,0.5,0.0101
MMP9_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.86424,1.0,0.06122,1.0,0.5,0.0101
MMP9_KPYM,PERM_TIMP-2,TIMP-2_MMP9,0.86424,1.0,0.04082,1.0,0.49462,0.0101
TIMP-2_MMP9,AGRIN_MMP9,KPYM_AGRIN,0.86247,0.97826,0.10204,0.83333,0.50562,0.0101
PERM_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.86202,1.0,0.04082,1.0,0.49462,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,KPYM_ADIPOQ,0.86114,1.0,0.06122,1.0,0.5,0.0101
MMP9_TIMP-2,TIMP-2_MMP9,KPYM_TIMP-2,0.86025,1.0,0.10204,1.0,0.51111,0.0101
PERM_TIMP-2,TIMP-2_MMP9,KPYM_TIMP-2,0.85936,1.0,0.06122,1.0,0.5,0.0101
PERM_KPYM,TIMP-2_MMP9,AGRIN_TIMP-2,0.85892,1.0,0.04082,1.0,0.49462,0.0101
MMP9_KPYM,HSPB1_TIMP-2,TIMP-2_MMP9,0.85809,1.0,0.08163,1.0,0.48864,0.0101
PERM_ADIPOQ,TIMP-2_MMP9,KPYM_TIMP-2,0.85759,1.0,0.04082,1.0,0.49462,0.0101
TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.8567,1.0,0.08163,1.0,0.50549,0.0101
MMP9_KPYM,TIMP-2_MMP9,KPYM_ADIPOQ,0.85581,1.0,0.04082,1.0,0.49462,0.0101
MMP9_TIMP-2,PERM_KPYM,TIMP-2_PERM,0.85537,1.0,0.06122,1.0,0.5,0.0101
TIMP-2_AGRIN,AGRIN_MMP9,KPYM_TIMP-2,0.85537,1.0,0.06122,1.0,0.5,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_TIMP-2,0.85448,1.0,0.06122,1.0,0.5,0.0101
MMP9_PERM,TIMP-2_MMP9,KPYM_TIMP-2,0.85404,1.0,0.04082,1.0,0.49462,0.0101
MMP9_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.85359,1.0,0.10204,1.0,0.51111,0.0101
PERM_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.85359,1.0,0.10204,1.0,0.51111,0.0101
MMP9_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.85287,1.0,0.04082,1.0,0.47778,0.0101
TIMP-2_MMP9,AGRIN_HSPB1,KPYM_TIMP-2,0.85287,1.0,0.04082,1.0,0.47778,0.0101
PERM_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.8524,1.0,0.04082,1.0,0.47778,0.0101
PERM_MMP9,TIMP-2_MMP9,KPYM_TIMP-2,0.85226,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.85226,1.0,0.04082,1.0,0.49462,0.0101
TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.85226,1.0,0.10204,1.0,0.51111,0.0101
TIMP-2_MMP9,AGRIN_PERM,KPYM_TIMP-2,0.85226,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.85192,1.0,0.04082,1.0,0.47778,0.0101
TIMP-2_MMP9,KPYM_TIMP-2,,0.85182,1.0,0.04082,1.0,0.49462,0.0101
MMP9_TIMP-2,PERM_KPYM,ADIPOQ_PERM,0.85182,1.0,0.02041,1.0,0.48936,0.0303
ADIPOQ_PERM,TIMP-2_MMP9,KPYM_TIMP-2,0.85182,1.0,0.04082,1.0,0.49462,0.0101
PERM_MMP9,TIMP-2_PERM,KPYM_TIMP-2,0.85138,1.0,0.10204,1.0,0.51111,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.85138,1.0,0.10204,1.0,0.51111,0.0101
MMP9_TIMP-2,HSPB1_PERM,PERM_KPYM,0.85097,1.0,0.02041,1.0,0.47253,0.06061
MMP9_TIMP-2,TIMP-2_KPYM,AGRIN_ADIPOQ,0.85093,1.0,0.10204,1.0,0.51111,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.85093,1.0,0.10204,1.0,0.51111,0.0101
TIMP-2_MMP9,AGRIN_KPYM,KPYM_TIMP-2,0.85093,1.0,0.06122,1.0,0.5,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_TIMP-2,0.85049,1.0,0.04082,1.0,0.49462,0.0101
TIMP-2_MMP9,AGRIN_KPYM,KPYM_MMP9,0.85049,1.0,0.10204,1.0,0.51111,0.0101
TIMP-2_MMP9,KPYM_MMP9,,0.85004,1.0,0.10204,1.0,0.51111,0.0101
PERM_KPYM,TIMP-2_MMP9,KPYM_ADIPOQ,0.85004,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_MMP9,TIMP-2_ADIPOQ,KPYM_TIMP-2,0.85004,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.85004,1.0,0.10204,1.0,0.51111,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_TIMP-2,0.85004,1.0,0.04082,1.0,0.49462,0.0101
PERM_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.8496,1.0,0.10204,1.0,0.51111,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_TIMP-2,0.8496,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_MMP9,TIMP-2_KPYM,KPYM_TIMP-2,0.8496,1.0,0.06122,1.0,0.5,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.8496,1.0,0.10204,1.0,0.51111,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_TIMP-2,0.84955,1.0,0.04082,1.0,0.47778,0.0101
HSPB1_AGRIN,TIMP-2_MMP9,KPYM_TIMP-2,0.84955,1.0,0.04082,1.0,0.47778,0.0101
MMP9_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.84916,1.0,0.10204,1.0,0.51111,0.0101
HSPB1_MMP9,TIMP-2_MMP9,KPYM_TIMP-2,0.84907,1.0,0.04082,1.0,0.47778,0.0101
MMP9_PERM,TIMP-2_MMP9,KPYM_MMP9,0.84871,1.0,0.10204,1.0,0.51111,0.0101
MMP9_TIMP-2,PERM_KPYM,TIMP-2_KPYM,0.84871,1.0,0.10204,1.0,0.51111,0.0101
