Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_MMP9,KPYM_TIMP-2,0.85182,1.0,0.04082,1.0,0.49462,0.0101
TIMP-2_MMP9,KPYM_MMP9,0.85004,1.0,0.10204,1.0,0.51111,0.0101
MMP9_TIMP-2,TIMP-2_KPYM,0.84694,1.0,0.10204,1.0,0.51111,0.0101
PERM_TIMP-2,TIMP-2_KPYM,0.8394,1.0,0.14286,1.0,0.52273,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,0.83886,1.0,0.04082,1.0,0.50526,0.0101
TIMP-2_MMP9,KPYM_ADIPOQ,0.83718,1.0,0.06122,1.0,0.5,0.0101
MMP9_KPYM,TIMP-2_MMP9,0.83452,1.0,0.04082,1.0,0.49462,0.0303
MMP9_ADIPOQ,TIMP-2_KPYM,0.83407,1.0,0.08163,1.0,0.50549,0.0101
HSPB1_MMP9,TIMP-2_MMP9,0.83117,1.0,0.10204,1.0,0.5,0.0101
PERM_AGRIN,TIMP-2_AGRIN,0.82757,1.0,0.08163,1.0,0.52128,0.0101
TIMP-2_PERM,KPYM_TIMP-2,0.82609,1.0,0.10204,1.0,0.51111,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,0.82476,1.0,0.02041,1.0,0.48936,0.0303
TIMP-2_KPYM,AGRIN_HSPB1,0.82439,1.0,0.08163,1.0,0.48864,0.0101
TIMP-2_MMP9,AGRIN_MMP9,0.82355,1.0,0.10204,1.0,0.52174,0.0101
TIMP-2_KPYM,,0.82343,1.0,0.02041,1.0,0.48936,0.0101
KPYM_TIMP-2,,0.82343,1.0,0.02041,1.0,0.48936,0.50505
TIMP-2_KPYM,KPYM_TIMP-2,0.82343,1.0,0.06122,1.0,0.5,0.0101
ADIPOQ_MMP9,KPYM_TIMP-2,0.82254,1.0,0.02041,1.0,0.48936,0.0303
TIMP-2_PERM,KPYM_PERM,0.82254,1.0,0.10204,1.0,0.51111,0.0101
HSPB1_TIMP-2,TIMP-2_MMP9,0.82143,1.0,0.06122,1.0,0.48889,0.0101
TIMP-2_PERM,AGRIN_TIMP-2,0.82132,1.0,0.10204,1.0,0.52688,0.0101
ADIPOQ_TIMP-2,TIMP-2_KPYM,0.82032,1.0,0.10204,1.0,0.51111,0.0101
MMP9_TIMP-2,KPYM_ADIPOQ,0.81854,1.0,0.04082,1.0,0.49462,0.51515
TIMP-2_KPYM,AGRIN_TIMP-2,0.81854,1.0,0.06122,1.0,0.5,0.0101
MMP9_TIMP-2,TIMP-2_AGRIN,0.8176,1.0,0.04082,1.0,0.50526,0.0101
MMP9_HSPB1,TIMP-2_KPYM,0.81728,1.0,0.04082,1.0,0.47778,0.0101
TIMP-2_KPYM,KPYM_HSPB1,0.8168,1.0,0.04082,1.0,0.47778,0.0101
MMP9_TIMP-2,ADIPOQ_KPYM,0.81633,1.0,0.02041,1.0,0.48936,0.0202
PERM_HSPB1,TIMP-2_KPYM,0.81443,1.0,0.04082,1.0,0.47778,0.0101
PERM_KPYM,TIMP-2_KPYM,0.81411,1.0,0.10204,1.0,0.51111,0.0101
ADIPOQ_KPYM,TIMP-2_PERM,0.81366,1.0,0.06122,1.0,0.5,0.0101
MMP9_KPYM,TIMP-2_KPYM,0.81278,1.0,0.08163,1.0,0.50549,0.0101
PERM_AGRIN,TIMP-2_KPYM,0.81233,1.0,0.12245,1.0,0.51685,0.0101
HSPB1_TIMP-2,TIMP-2_PERM,0.81224,1.0,0.10204,1.0,0.50562,0.0101
AGRIN_ADIPOQ,KPYM_TIMP-2,0.81189,1.0,0.02041,1.0,0.48936,0.49495
TIMP-2_ADIPOQ,KPYM_ADIPOQ,0.81145,1.0,0.04082,1.0,0.49462,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,0.81076,1.0,0.06122,1.0,0.48889,0.0101
PERM_ADIPOQ,TIMP-2_KPYM,0.81056,1.0,0.10204,1.0,0.51111,0.0101
MMP9_HSPB1,TIMP-2_MMP9,0.8103,1.0,0.02041,1.0,0.47826,0.0202
TIMP-2_MMP9,AGRIN_ADIPOQ,0.80995,1.0,0.04082,1.0,0.50526,0.0101
MMP9_ADIPOQ,KPYM_TIMP-2,0.80923,1.0,0.04082,1.0,0.49462,0.51515
TIMP-2_PERM,KPYM_ADIPOQ,0.80878,1.0,0.10204,1.0,0.51111,0.0101
PERM_ADIPOQ,KPYM_TIMP-2,0.80834,1.0,0.02041,1.0,0.48936,0.50505
HSPB1_MMP9,KPYM_TIMP-2,0.80778,1.0,0.02041,1.0,0.47253,0.07071
TIMP-2_AGRIN,KPYM_AGRIN,0.80745,1.0,0.06122,1.0,0.5,0.0101
MMP9_TIMP-2,PERM_KPYM,0.80701,1.0,0.02041,1.0,0.48936,0.05051
MMP9_AGRIN,TIMP-2_AGRIN,0.80697,1.0,0.06122,1.0,0.51064,0.0101
HSPB1_PERM,TIMP-2_PERM,0.8068,1.0,0.10204,1.0,0.50562,0.0101
MMP9_AGRIN,TIMP-2_KPYM,0.80612,1.0,0.10204,1.0,0.51111,0.0101
MMP9_PERM,TIMP-2_KPYM,0.80568,1.0,0.10204,1.0,0.51111,0.0101
PERM_TIMP-2,AGRIN_TIMP-2,0.8055,1.0,0.02041,1.0,0.50515,0.50505
TIMP-2_HSPB1,KPYM_HSPB1,0.80541,1.0,0.06122,1.0,0.48315,0.0101
HSPB1_PERM,TIMP-2_MMP9,0.80473,1.0,0.08163,1.0,0.49438,0.0101
TIMP-2_KPYM,KPYM_AGRIN,0.80257,1.0,0.12245,1.0,0.51685,0.0101
TIMP-2_MMP9,AGRIN_PERM,0.80187,1.0,0.04082,1.0,0.50526,0.0101
TIMP-2_MMP9,KPYM_PERM,0.80169,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,0.80145,1.0,0.04082,1.0,0.50526,0.0101
TIMP-2_KPYM,KPYM_ADIPOQ,0.80124,1.0,0.06122,1.0,0.5,0.0101
ADIPOQ_HSPB1,TIMP-2_KPYM,0.80114,1.0,0.04082,1.0,0.47778,0.0101
ADIPOQ_MMP9,AGRIN_TIMP-2,0.80017,1.0,0.02041,1.0,0.5,0.08081
PERM_TIMP-2,TIMP-2_AGRIN,0.79925,1.0,0.06122,1.0,0.51579,0.0101
HSPB1_TIMP-2,TIMP-2_KPYM,0.79924,1.0,0.12245,1.0,0.5,0.0101
HSPB1_KPYM,KPYM_TIMP-2,0.79877,1.0,0.04082,1.0,0.47778,0.09091
ADIPOQ_KPYM,TIMP-2_KPYM,0.79858,1.0,0.06122,1.0,0.5,0.0101
ADIPOQ_AGRIN,TIMP-2_KPYM,0.79814,1.0,0.12245,1.0,0.51685,0.0101
HSPB1_ADIPOQ,TIMP-2_PERM,0.79773,1.0,0.10204,1.0,0.50562,0.0101
PERM_TIMP-2,TIMP-2_HSPB1,0.79773,1.0,0.04082,1.0,0.48913,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,0.79731,1.0,0.04082,1.0,0.48352,0.0303
ADIPOQ_KPYM,TIMP-2_ADIPOQ,0.79725,1.0,0.02041,1.0,0.48936,0.14141
TIMP-2_MMP9,KPYM_AGRIN,0.79725,1.0,0.04082,1.0,0.49462,0.0101
PERM_TIMP-2,TIMP-2_MMP9,0.79677,1.0,0.04082,1.0,0.50526,0.0101
ADIPOQ_MMP9,TIMP-2_ADIPOQ,0.79634,1.0,0.02041,1.0,0.5,0.17172
PERM_HSPB1,TIMP-2_MMP9,0.79499,1.0,0.02041,1.0,0.47826,0.0202
ADIPOQ_PERM,TIMP-2_KPYM,0.79459,1.0,0.02041,1.0,0.48936,0.0101
ADIPOQ_HSPB1,TIMP-2_PERM,0.79365,1.0,0.06122,1.0,0.49451,0.0101
TIMP-2_AGRIN,AGRIN_KPYM,0.79326,1.0,0.02041,1.0,0.48936,0.0101
MMP9_TIMP-2,PERM_HSPB1,0.79267,1.0,0.02041,1.0,0.47826,0.13131
HSPB1_MMP9,TIMP-2_PERM,0.79221,1.0,0.10204,1.0,0.5,0.0101
MMP9_KPYM,TIMP-2_PERM,0.79193,1.0,0.06122,1.0,0.5,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,0.79193,1.0,0.04082,1.0,0.49462,0.0101
ADIPOQ_PERM,TIMP-2_AGRIN,0.79092,1.0,0.02041,1.0,0.50515,0.0101
MMP9_TIMP-2,,0.79082,1.0,0.04082,1.0,0.50526,0.50505
TIMP-2_MMP9,,0.79082,1.0,0.04082,1.0,0.50526,0.0303
MMP9_TIMP-2,TIMP-2_MMP9,0.79082,1.0,0.04082,1.0,0.50526,0.0101
PERM_TIMP-2,ADIPOQ_KPYM,0.79059,1.0,0.02041,1.0,0.48936,0.0202
TIMP-2_PERM,AGRIN_PERM,0.7905,1.0,0.10204,1.0,0.52688,0.0101
MMP9_PERM,TIMP-2_PERM,0.79039,1.0,0.10204,1.0,0.52174,0.0101
MMP9_TIMP-2,TIMP-2_HSPB1,0.78989,1.0,0.04082,1.0,0.48352,0.0101
TIMP-2_MMP9,KPYM_HSPB1,0.78785,1.0,0.04082,1.0,0.47778,0.0101
PERM_HSPB1,TIMP-2_PERM,0.78776,1.0,0.06122,1.0,0.49451,0.0101
MMP9_HSPB1,TIMP-2_PERM,0.78664,1.0,0.06122,1.0,0.48889,0.0101
HSPB1_TIMP-2,KPYM_TIMP-2,0.78643,1.0,0.02041,1.0,0.47253,0.12121
TIMP-2_PERM,AGRIN_ADIPOQ,0.78634,1.0,0.10204,1.0,0.52688,0.0101
PERM_TIMP-2,AGRIN_ADIPOQ,0.78592,1.0,0.02041,1.0,0.50515,0.51515
MMP9_TIMP-2,KPYM_TIMP-2,0.78571,1.0,0.04082,1.0,0.49462,0.50505
ADIPOQ_PERM,KPYM_TIMP-2,0.78571,1.0,0.02041,1.0,0.48936,0.0101
MMP9_TIMP-2,TIMP-2_PERM,0.78529,1.0,0.06122,1.0,0.51064,0.0101
HSPB1_AGRIN,TIMP-2_MMP9,0.78525,1.0,0.04082,1.0,0.48352,0.0101
ADIPOQ_MMP9,TIMP-2_AGRIN,0.78486,1.0,0.02041,1.0,0.5,0.0101
MMP9_TIMP-2,KPYM_HSPB1,0.78405,1.0,0.02041,1.0,0.47253,0.50505
AGRIN_MMP9,KPYM_TIMP-2,0.78305,1.0,0.02041,1.0,0.48936,0.05051
