Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_CLIC1,0.89218,1.0,0.10714,1.0,0.51456,0.0101
CLIC1_TIMP2,0.89218,1.0,0.01786,1.0,0.49074,0.50505
AGRIN_TIMP2,0.88241,1.0,0.03571,1.0,0.49533,0.51515
TIMP2_AGRIN,0.88241,1.0,0.03571,1.0,0.49533,0.0101
MMP9_TIMP2,0.78302,1.0,0.03571,1.0,0.49533,0.50505
TIMP2_MMP9,0.78302,1.0,0.01786,1.0,0.49074,0.0101
KPYM_TIMP2,0.77358,1.0,0.07273,1.0,0.50962,0.51515
TIMP2_KPYM,0.77358,1.0,0.01818,1.0,0.49533,0.0101
PERM_TIMP2,0.76331,1.0,0.08929,1.0,0.5,0.51515
TIMP2_PERM,0.76331,1.0,0.05357,1.0,0.49038,0.0101
HSPB1_TIMP2,0.76146,1.0,0.05357,1.0,0.5,0.51515
TIMP2_HSPB1,0.76146,1.0,0.03571,1.0,0.49533,0.0101
PIGR_CLIC1,0.70175,1.0,0.01754,1.0,0.49091,0.12121
CLIC1_PIGR,0.70175,0,0,0,0,0.5
HSPB1_CLIC1,0.68746,1.0,0.01754,1.0,0.49091,0.29293
CLIC1_HSPB1,0.68746,0.98148,0.05263,0.75,0.49533,0.50505
MMP9_PIGR,0.68291,0,0,0,0,0.5
PIGR_MMP9,0.68291,1.0,0.01754,1.0,0.49091,0.26263
AGRIN_PIGR,0.67966,0,0,0,0,0.5
PIGR_AGRIN,0.67966,0.98148,0.03509,0.66667,0.49074,0.28283
PERM_PIGR,0.65283,0,0,0,0,0.5
PIGR_PERM,0.65283,1.0,0.01754,1.0,0.48148,0.20202
AGRIN_HSPB1,0.62183,0,0,0,0,0.5
HSPB1_AGRIN,0.62183,0,0,0,0,0.5
HSPB1_PIGR,0.61274,0,0,0,0,0.5
PIGR_HSPB1,0.61274,1.0,0.01754,1.0,0.49091,0.23232
KPYM_PIGR,0.60913,0,0,0,0,0.5
PIGR_KPYM,0.60913,1.0,0.01786,1.0,0.49541,0.32323
MMP9_HSPB1,0.60786,0,0,0,0,0.5
HSPB1_MMP9,0.60786,1.0,0.03509,1.0,0.49541,0.43434
KPYM_CLIC1,0.60185,1.0,0.03571,1.0,0.5,0.0101
CLIC1_KPYM,0.60185,0.98148,0.125,0.875,0.51961,0.50505
MMP9_PERM,0.59649,0,0,0,0,0.5
PERM_MMP9,0.59649,0.98077,0.05263,0.75,0.48571,0.38384
PERM_CLIC1,0.57895,1.0,0.01754,1.0,0.48148,0.14141
CLIC1_PERM,0.57895,0,0,0,0,0.5
AGRIN_CLIC1,0.56563,1.0,0.01754,1.0,0.49091,0.29293
CLIC1_AGRIN,0.56563,0,0,0,0,0.5
MMP9_KPYM,0.55589,0,0,0,0,0.5
KPYM_MMP9,0.55589,1.0,0.01786,1.0,0.49541,0.34343
AGRIN_PERM,0.55229,0,0,0,0,0.5
PERM_AGRIN,0.55229,1.0,0.01754,1.0,0.48148,0.32323
KPYM_AGRIN,0.5506,1.0,0.01786,1.0,0.49541,0.22222
AGRIN_KPYM,0.5506,0,0,0,0,0.5
HSPB1_PERM,0.54285,0.98077,0.01754,0.5,0.47664,0.44444
PERM_HSPB1,0.54285,0,0,0,0,0.5
PIGR_TIMP2,0.54043,0,0,0,0,0.5
TIMP2_PIGR,0.54043,0.98113,0.01786,0.5,0.48598,0.35354
