Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_AGRIN,KPYM_TIMP-2,AGRIN_PERM,0.89444,1.0,0.14545,1.0,0.43373,0.0101
TIMP-2_AGRIN,MMP9_PERM,KPYM_TIMP-2,0.89141,1.0,0.14545,1.0,0.43373,0.0101
TIMP-2_AGRIN,KPYM_PERM,PERM_TIMP-2,0.88535,1.0,0.14545,1.0,0.43373,0.0101
TIMP-2_AGRIN,KPYM_PERM,AGRIN_TIMP-2,0.88333,1.0,0.14545,1.0,0.43373,0.0101
TIMP-2_AGRIN,MMP9_PERM,AGRIN_TIMP-2,0.88232,1.0,0.12727,1.0,0.42857,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,PERM_TIMP-2,0.88176,1.0,0.10714,1.0,0.42529,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,PERM_TIMP-2,0.88127,1.0,0.10714,1.0,0.42529,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,PERM_AGRIN,0.87983,1.0,0.10714,1.0,0.42529,0.0101
TIMP-2_AGRIN,MMP9_PERM,PERM_TIMP-2,0.87929,1.0,0.09091,1.0,0.4186,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,PERM_MMP9,0.87886,1.0,0.14286,1.0,0.43529,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,KPYM_PERM,0.87828,1.0,0.10909,1.0,0.42353,0.0101
TIMP-2_KPYM,KPYM_AGRIN,AGRIN_TIMP-2,0.87624,1.0,0.10526,1.0,0.42045,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,PERM_KPYM,0.87597,1.0,0.125,1.0,0.43023,0.0101
TIMP-2_AGRIN,AGRIN_PERM,PERM_TIMP-2,0.87475,1.0,0.09091,1.0,0.4186,0.0101
TIMP-2_AGRIN,KPYM_MMP9,PERM_TIMP-2,0.87355,1.0,0.10714,1.0,0.42529,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,PERM_TIMP-2,0.87307,1.0,0.05357,1.0,0.41111,0.0101
TIMP-2_AGRIN,KPYM_PERM,PERM_AGRIN,0.87252,1.0,0.10714,1.0,0.4186,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,KPYM_MMP9,0.87198,1.0,0.07018,1.0,0.41111,0.0101
TIMP-2_KPYM,AGRIN_KPYM,PERM_TIMP-2,0.87171,1.0,0.14286,1.0,0.44186,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,PERM_KPYM,0.87162,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,PERM_MMP9,0.87066,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_AGRIN,MMP9_KPYM,KPYM_TIMP-2,0.87055,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,PERM_MMP9,0.86969,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,PERM_TIMP-2,0.86921,1.0,0.07143,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,AGRIN_PERM,0.86919,1.0,0.05455,1.0,0.40909,0.0101
TIMP-2_AGRIN,AGRIN_KPYM,PERM_TIMP-2,0.86873,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,PERM_KPYM,0.86818,1.0,0.10526,1.0,0.42045,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,AGRIN_MMP9,0.86771,1.0,0.07018,1.0,0.41111,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,PERM_AGRIN,0.86728,1.0,0.05357,1.0,0.41111,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,KPYM_TIMP-2,0.86724,1.0,0.05263,1.0,0.40659,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,AGRIN_TIMP-2,0.86724,1.0,0.07018,1.0,0.41111,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,AGRIN_MMP9,0.86724,1.0,0.05263,1.0,0.40659,0.0101
TIMP-2_AGRIN,MMP9_AGRIN,KPYM_TIMP-2,0.86724,1.0,0.07018,1.0,0.41111,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,AGRIN_TIMP-2,0.86676,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_KPYM,PERM_TIMP-2,0.86631,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_AGRIN,MMP9_AGRIN,AGRIN_TIMP-2,0.86629,1.0,0.05263,1.0,0.40659,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,PERM_MMP9,0.86629,1.0,0.12281,1.0,0.42529,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,,0.86581,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_KPYM,MMP9_TIMP-2,AGRIN_KPYM,0.86565,1.0,0.12281,1.0,0.43182,0.0101
TIMP-2_AGRIN,MMP9_AGRIN,PERM_TIMP-2,0.86535,1.0,0.05357,1.0,0.41111,0.0101
TIMP-2_AGRIN,PERM_TIMP-2,,0.86486,1.0,0.07143,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_PERM,KPYM_AGRIN,0.86458,1.0,0.10714,1.0,0.4186,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,,0.86439,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,KPYM_MMP9,AGRIN_TIMP-2,0.86439,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,AGRIN_PERM,0.86409,1.0,0.125,1.0,0.42353,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,KPYM_AGRIN,0.86392,1.0,0.05263,1.0,0.40659,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,AGRIN_TIMP-2,0.86392,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,AGRIN_KPYM,0.86344,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_KPYM,AGRIN_TIMP-2,0.86297,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_PERM,PERM_MMP9,0.8626,1.0,0.125,1.0,0.42353,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,PERM_AGRIN,0.86249,1.0,0.10526,1.0,0.42045,0.0101
TIMP-2_AGRIN,AGRIN_MMP9,PERM_TIMP-2,0.86245,1.0,0.08929,1.0,0.42045,0.0101
TIMP-2_PERM,AGRIN_TIMP-2,PERM_AGRIN,0.86162,0.97222,0.07273,0.8,0.40698,0.0101
TIMP-2_AGRIN,KPYM_PERM,AGRIN_PERM,0.86161,1.0,0.01786,1.0,0.3956,0.0101
TIMP-2_AGRIN,MMP9_AGRIN,PERM_MMP9,0.86107,0.97297,0.08772,0.83333,0.40909,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,PERM_KPYM,0.86052,1.0,0.03571,1.0,0.40659,0.0101
TIMP-2_KPYM,MMP9_PERM,AGRIN_KPYM,0.86004,1.0,0.14286,1.0,0.43529,0.0101
TIMP-2_KPYM,KPYM_PERM,AGRIN_TIMP-2,0.85995,1.0,0.10909,1.0,0.43023,0.0101
TIMP-2_KPYM,KPYM_TIMP-2,AGRIN_KPYM,0.85965,1.0,0.14035,1.0,0.43678,0.0101
TIMP-2_AGRIN,KPYM_PERM,PERM_MMP9,0.85962,1.0,0.16071,1.0,0.43373,0.0101
TIMP-2_KPYM,KPYM_PERM,AGRIN_KPYM,0.85859,1.0,0.14286,1.0,0.43529,0.0101
TIMP-2_KPYM,MMP9_KPYM,AGRIN_KPYM,0.85844,1.0,0.12069,1.0,0.42697,0.0101
TIMP-2_AGRIN,KPYM_MMP9,PERM_AGRIN,0.85728,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_KPYM,MMP9_PERM,AGRIN_TIMP-2,0.857,1.0,0.10909,1.0,0.43023,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,PERM_AGRIN,0.85666,1.0,0.03571,1.0,0.40659,0.0101
TIMP-2_KPYM,MMP9_AGRIN,AGRIN_KPYM,0.85648,1.0,0.12069,1.0,0.42045,0.0101
TIMP-2_KPYM,KPYM_TIMP-2,AGRIN_TIMP-2,0.85596,1.0,0.08772,1.0,0.42222,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,,0.85586,1.0,0.03509,1.0,0.40217,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,AGRIN_KPYM,0.85491,1.0,0.03509,1.0,0.40217,0.0101
TIMP-2_KPYM,KPYM_AGRIN,AGRIN_KPYM,0.85461,1.0,0.13793,1.0,0.42529,0.0101
TIMP-2_AGRIN,AGRIN_PERM,PERM_MMP9,0.85417,1.0,0.08929,1.0,0.41379,0.0101
TIMP-2_AGRIN,MMP9_KPYM,KPYM_AGRIN,0.85368,1.0,0.06897,1.0,0.40659,0.0101
TIMP-2_KPYM,AGRIN_KPYM,PERM_AGRIN,0.85254,1.0,0.14035,1.0,0.43023,0.0101
TIMP-2_KPYM,MMP9_KPYM,PERM_TIMP-2,0.85197,1.0,0.125,1.0,0.43678,0.0101
