Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_MMK,,,0.76928,0.9569,0.4382,0.88636,0.68944,0.57576
KPYM_MMK,HSPB1_MMK,MMP9_MMK,0.76789,0.9505,0.32955,0.85294,0.61935,0.31313
AGRIN_MMK,HSPB1_MMK,MMP9_MMK,0.75456,0.95098,0.28736,0.83333,0.61006,0.32323
KPYM_MMK,HSPB1_MMK,PERM_MMK,0.7529,0.96078,0.27273,0.85714,0.60494,0.31313
HSPB1_MMK,MMP9_MMK,,0.74913,0.95192,0.375,0.86842,0.64286,0.35354
HSPB1_MMK,PERM_MMK,MMP9_MMK,0.74661,0.96154,0.38636,0.89474,0.64935,0.35354
PERM_MMK,,,0.73687,0.97436,0.23596,0.875,0.62637,0.57576
AGRIN_MMK,HSPB1_MMK,PERM_MMK,0.72659,0.95146,0.27586,0.82759,0.6087,0.37374
KPYM_MMK,,,0.72038,0.95614,0.1573,0.73684,0.59239,0.56566
AGRIN_MMK,PERM_MMK,MMP9_MMK,0.71711,0.95614,0.21591,0.79167,0.61236,0.42424
HSPB1_MMK,PERM_MMK,,0.71699,0.9619,0.34091,0.88235,0.63522,0.40404
AGRIN_MMK,MMP9_MMK,,0.71431,0.96491,0.29545,0.86667,0.63953,0.45455
AGRIN_MMK,KPYM_MMK,HSPB1_MMK,0.71163,0.95098,0.14943,0.72222,0.56725,0.30303
AGRIN_MMK,KPYM_MMK,MMP9_MMK,0.70946,0.95495,0.25,0.81481,0.61628,0.44444
KPYM_MMK,MMP9_MMK,,0.70897,0.95536,0.23596,0.80769,0.61143,0.45455
KPYM_MMK,PERM_MMK,MMP9_MMK,0.70897,0.96429,0.13483,0.75,0.58378,0.42424
KPYM_MMK,HSPB1_MMK,,0.70808,0.95146,0.125,0.6875,0.56,0.30303
PERM_MMK,MMP9_MMK,,0.70573,0.9569,0.1573,0.73684,0.59677,0.46465
AGRIN_MMK,,,0.67359,0.96552,0.07955,0.63636,0.58031,0.54545
KPYM_MMK,PERM_MMK,,0.67187,0.9823,0.23596,0.91304,0.62011,0.54545
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.66335,0.97321,0.20455,0.85714,0.60894,0.49495
AGRIN_MMK,PERM_MMK,,0.66166,0.95652,0.22727,0.8,0.61798,0.52525
AGRIN_MMK,KPYM_MMK,,0.65879,0.9823,0.07955,0.77778,0.57812,0.50505
AGRIN_MMK,HSPB1_MMK,,0.64545,0.97115,0.04598,0.57143,0.54891,0.35354
