Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_MMK,,,0.80361,1.0,0.03333,1.0,0.50847,0.53535
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.75169,0.96667,0.35593,0.91304,0.60417,0.42424
MMP9_RUO,HSPB1_MMK,AGRIN_MMK,0.73958,0.98333,0.23214,0.92857,0.57843,0.43434
HSPB1_MMK,AGRIN_MMK,,0.73898,0.96667,0.20339,0.85714,0.55238,0.40404
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.73842,0.96667,0.15254,0.81818,0.53704,0.39394
MMP9_RUO,AGRIN_MMK,,0.73743,0.98333,0.03509,0.66667,0.51754,0.53535
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.72764,0.96552,0.15254,0.81818,0.5283,0.39394
PERM_RUO,AGRIN_MMK,,0.72587,1.0,0.03636,1.0,0.49524,0.51515
PERM_RUO,HSPB1_MMK,AGRIN_MMK,0.72472,0.96154,0.22222,0.85714,0.54348,0.40404
MMP9_RUO,,,0.71111,0.98333,0.17544,0.90909,0.5566,0.53535
MMP9_MMK,,,0.705,0.96667,0.15,0.81818,0.53211,0.52525
PERM_MMK,,,0.68908,1.0,0.08333,1.0,0.51327,0.51515
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.68898,0.96667,0.35593,0.91304,0.60417,0.45455
PERM_RUO,,,0.68392,0.98077,0.09091,0.83333,0.50495,0.51515
KPYM_MMK,,,0.68361,0,0,0,0,0.5
HSPB1_RUO,MMP9_MMK,,0.67455,0.96667,0.12727,0.77778,0.54717,0.41414
MMP9_RUO,HSPB1_RUO,PERM_MMK,0.6744,0.98276,0.17308,0.9,0.57,0.40404
HSPB1_RUO,MMP9_MMK,AGRIN_MMK,0.67424,0.96667,0.12727,0.77778,0.54717,0.41414
HSPB1_MMK,,,0.67373,1.0,0.0678,1.0,0.52174,0.51515
HSPB1_RUO,MMP9_MMK,KPYM_MMK,0.67364,0.96667,0.14545,0.8,0.55238,0.41414
HSPB1_RUO,KPYM_MMK,,0.67182,0,0,0,0,0.5
HSPB1_RUO,MMP9_MMK,PERM_MMK,0.67116,0.96552,0.21818,0.85714,0.56566,0.40404
MMP9_MMK,HSPB1_MMK,,0.66836,0.96667,0.22034,0.86667,0.55769,0.43434
MMP9_RUO,HSPB1_MMK,KPYM_MMK,0.66548,0.96667,0.33929,0.90476,0.61053,0.47475
MMP9_MMK,AGRIN_MMK,,0.66083,0.96667,0.16667,0.83333,0.53704,0.50505
MMP9_RUO,HSPB1_RUO,AGRIN_MMK,0.65801,0.98333,0.07692,0.8,0.5514,0.43434
MMP9_RUO,HSPB1_RUO,KPYM_MMK,0.65641,0.98333,0.09615,0.83333,0.5566,0.43434
MMP9_RUO,HSPB1_RUO,,0.65577,0.98333,0.09615,0.83333,0.5566,0.43434
PERM_RUO,MMP9_MMK,HSPB1_MMK,0.65527,0.98077,0.18519,0.90909,0.53684,0.43434
HSPB1_RUO,PERM_RUO,MMP9_MMK,0.65462,0.96154,0.18,0.81818,0.54945,0.42424
MMP9_RUO,PERM_RUO,AGRIN_MMK,0.65457,1.0,0.01887,1.0,0.5,0.48485
MMP9_RUO,HSPB1_MMK,,0.65238,0.96667,0.19643,0.84615,0.56311,0.45455
MMP9_RUO,AGRIN_MMK,PERM_MMK,0.65154,0.96552,0.10526,0.75,0.52336,0.42424
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.64348,0.96552,0.27119,0.88889,0.56566,0.43434
MMP9_RUO,KPYM_MMK,PERM_MMK,0.64096,0.96552,0.08772,0.71429,0.51852,0.41414
MMP9_RUO,PERM_MMK,,0.64065,0.96552,0.08772,0.71429,0.51852,0.41414
MMP9_RUO,AGRIN_MMK,KPYM_MMK,0.64035,0.98333,0.03509,0.66667,0.51754,0.50505
PERM_RUO,HSPB1_MMK,KPYM_MMK,0.63996,0.96154,0.11111,0.75,0.5102,0.43434
PERM_RUO,HSPB1_MMK,,0.63782,0.96154,0.11111,0.75,0.5102,0.43434
HSPB1_MMK,KPYM_MMK,,0.63672,0,0,0,0,0.5
MMP9_RUO,HSPB1_RUO,PERM_RUO,0.63582,1.0,0.08333,1.0,0.54167,0.43434
HSPB1_RUO,PERM_RUO,KPYM_MMK,0.63385,1.0,0.02,1.0,0.51485,0.39394
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.63384,0.98276,0.16949,0.90909,0.53774,0.46465
MMP9_RUO,PERM_RUO,,0.63316,0,0,0,0,0.5
MMP9_RUO,HSPB1_MMK,PERM_MMK,0.633,0.98276,0.10714,0.85714,0.53271,0.40404
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.63161,0.96552,0.18333,0.84615,0.53333,0.42424
MMP9_RUO,KPYM_MMK,,0.63158,0.96667,0.12281,0.77778,0.53704,0.50505
AGRIN_MMK,KPYM_MMK,,0.63139,0.98333,0.06667,0.8,0.51304,0.49495
MMP9_RUO,PERM_RUO,HSPB1_MMK,0.63129,0.96154,0.17308,0.81818,0.53763,0.45455
HSPB1_MMK,PERM_MMK,,0.62887,0.96552,0.18644,0.84615,0.53846,0.46465
AGRIN_MMK,PERM_MMK,,0.62787,0.96552,0.06667,0.66667,0.5,0.49495
HSPB1_RUO,PERM_RUO,,0.62615,0.98077,0.08,0.8,0.52577,0.44444
HSPB1_RUO,,,0.62455,1.0,0.01818,1.0,0.52632,0.50505
HSPB1_RUO,PERM_RUO,AGRIN_MMK,0.62423,0.98077,0.1,0.83333,0.53125,0.45455
HSPB1_RUO,AGRIN_MMK,PERM_MMK,0.62288,0.96552,0.01818,0.33333,0.50909,0.44444
KPYM_MMK,PERM_MMK,,0.6227,0.98276,0.08333,0.83333,0.50893,0.50505
HSPB1_RUO,AGRIN_MMK,,0.62212,0.96667,0.01818,0.33333,0.51786,0.45455
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.61889,0.96667,0.13333,0.8,0.52727,0.47475
MMP9_MMK,KPYM_MMK,,0.61861,0.98333,0.11667,0.875,0.52679,0.46465
HSPB1_RUO,AGRIN_MMK,KPYM_MMK,0.61697,0.98333,0.01818,0.5,0.52212,0.44444
HSPB1_RUO,KPYM_MMK,PERM_MMK,0.61693,0.96552,0.01818,0.33333,0.50909,0.44444
HSPB1_RUO,PERM_MMK,,0.61661,1.0,0.01818,1.0,0.51786,0.43434
MMP9_MMK,KPYM_MMK,PERM_MMK,0.6158,0.96552,0.2,0.85714,0.53846,0.42424
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.61322,0.96552,0.08333,0.71429,0.5045,0.47475
MMP9_MMK,PERM_MMK,,0.61264,0.96552,0.2,0.85714,0.53846,0.43434
PERM_RUO,AGRIN_MMK,KPYM_MMK,0.60175,0.96154,0.07273,0.66667,0.49505,0.47475
PERM_RUO,MMP9_MMK,,0.59406,0.96154,0.16364,0.81818,0.52083,0.47475
PERM_RUO,MMP9_MMK,AGRIN_MMK,0.59336,0.96154,0.10909,0.75,0.50505,0.46465
PERM_RUO,MMP9_MMK,KPYM_MMK,0.59161,0.96154,0.14545,0.8,0.51546,0.45455
MMP9_RUO,PERM_RUO,KPYM_MMK,0.58708,0.98077,0.03774,0.66667,0.5,0.47475
PERM_RUO,KPYM_MMK,,0.58322,0.96154,0.05455,0.6,0.4902,0.47475
