Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
PERM_MMK,,,0.84624,0.97183,0.41667,0.9375,0.62162,0.56566
AGRIN_MMK,KPYM_MMK,,0.84298,0.95833,0.25,0.85714,0.56098,0.55556
KPYM_MMK,,,0.83603,0.97222,0.25,0.9,0.56452,0.55556
AGRIN_MMK,,,0.83181,0.9589,0.33333,0.88889,0.59322,0.55556
AGRIN_MMK,PERM_MMK,,0.82688,0.95775,0.36111,0.89655,0.59649,0.55556
MMP9_MMK,,,0.82154,0.9589,0.43056,0.91176,0.63063,0.57576
HSPB1_MMK,,,0.81129,0.96552,0.41818,0.92,0.63636,0.56566
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.80357,0.97143,0.25,0.9,0.55738,0.54545
KPYM_MMK,PERM_MMK,,0.7996,0.95714,0.22222,0.84211,0.54472,0.54545
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.79028,0.96552,0.29091,0.88889,0.58947,0.27273
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.78149,0.98214,0.21818,0.92308,0.56122,0.28283
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.77735,0.96491,0.25455,0.875,0.57292,0.28283
HSPB1_MMK,AGRIN_MMK,,0.77712,0.96552,0.25455,0.875,0.57732,0.30303
MMP9_MMK,KPYM_MMK,,0.77238,0.95833,0.23611,0.85,0.55645,0.52525
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.76459,0.96491,0.36364,0.90909,0.61111,0.36364
MMP9_MMK,AGRIN_MMK,,0.75875,0.9589,0.23611,0.85,0.56,0.52525
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.75559,0.95833,0.26389,0.86364,0.56557,0.52525
MMP9_MMK,HSPB1_MMK,,0.74859,0.96552,0.29091,0.88889,0.58947,0.35354
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.74675,0.96429,0.30909,0.89474,0.58696,0.35354
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.73689,0.97183,0.13889,0.83333,0.52672,0.44444
MMP9_MMK,KPYM_MMK,PERM_MMK,0.73512,0.95714,0.19444,0.82353,0.536,0.46465
MMP9_MMK,PERM_MMK,,0.72848,0.95775,0.20833,0.83333,0.544,0.46465
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.72661,0.96364,0.30909,0.89474,0.58242,0.39394
HSPB1_MMK,PERM_MMK,,0.71656,0.96429,0.23636,0.86667,0.5625,0.43434
HSPB1_MMK,KPYM_MMK,,0.70112,0.96491,0.27273,0.88235,0.57895,0.38384
