Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_MMP9,AGRIN_PIGR,0.8746,1.0,0.31429,1.0,0.42857,0.0101
TIMP-2_MMP9,KPYM_PIGR,0.86988,1.0,0.27273,1.0,0.41463,0.0101
TIMP-2_MMP9,AGRIN_MMP9,0.86825,1.0,0.28571,1.0,0.4186,0.0101
TIMP-2_MMP9,KPYM_MMP9,0.86096,1.0,0.27273,1.0,0.41463,0.0101
TIMP-2_AGRIN,PIGR_MMP9,0.84603,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_MMP9,PIGR_KPYM,0.83957,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,0.83651,1.0,0.2,1.0,0.3913,0.0101
AGRIN_TIMP-2,PIGR_MMP9,0.83651,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_MMP9,KPYM_TIMP-2,0.83601,1.0,0.18182,1.0,0.38636,0.0101
TIMP-2_AGRIN,AGRIN_KPYM,0.83601,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_AGRIN,PIGR_KPYM,0.83601,1.0,0.0303,1.0,0.34694,0.0101
MMP9_TIMP-2,TIMP-2_AGRIN,0.83492,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_AGRIN,AGRIN_MMP9,0.83492,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_MMP9,PIGR_AGRIN,0.83016,1.0,0.02857,1.0,0.34615,0.0101
MMP9_KPYM,TIMP-2_MMP9,0.82888,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_AGRIN,,0.82857,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,0.82857,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_KPYM,AGRIN_KPYM,0.82531,1.0,0.09091,1.0,0.3617,0.0101
MMP9_TIMP-2,TIMP-2_KPYM,0.82353,1.0,0.09091,1.0,0.3617,0.0101
MMP9_KPYM,TIMP-2_AGRIN,0.82353,1.0,0.0303,1.0,0.34694,0.0101
MMP9_AGRIN,TIMP-2_AGRIN,0.82222,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_AGRIN,KPYM_MMP9,0.82175,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,0.82175,1.0,0.0303,1.0,0.34694,0.0101
MMP9_PIGR,TIMP-2_AGRIN,0.82063,1.0,0.05714,1.0,0.35294,0.0101
MMP9_KPYM,TIMP-2_KPYM,0.81818,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_MMP9,AGRIN_KPYM,0.81818,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_AGRIN,PIGR_AGRIN,0.81746,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_PIGR,AGRIN_PIGR,0.81746,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_AGRIN,AGRIN_PIGR,0.81587,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_MMP9,,0.8127,1.0,0.02857,1.0,0.34615,0.0101
MMP9_TIMP-2,TIMP-2_MMP9,0.8127,1.0,0.08571,1.0,0.36,0.0101
MMP9_AGRIN,TIMP-2_MMP9,0.8127,1.0,0.02857,1.0,0.34615,0.0101
MMP9_TIMP-2,PIGR_AGRIN,0.81111,1.0,0.05714,1.0,0.35294,0.0303
TIMP-2_KPYM,AGRIN_TIMP-2,0.81105,1.0,0.09091,1.0,0.3617,0.0101
KPYM_TIMP-2,PIGR_MMP9,0.81105,1.0,0.0303,1.0,0.34694,0.0202
MMP9_PIGR,TIMP-2_KPYM,0.80927,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_MMP9,KPYM_AGRIN,0.80927,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_KPYM,AGRIN_PIGR,0.80749,1.0,0.09091,1.0,0.3617,0.0101
MMP9_TIMP-2,PIGR_MMP9,0.80476,1.0,0.02857,1.0,0.34615,0.0101
MMP9_PIGR,TIMP-2_MMP9,0.80476,1.0,0.08571,1.0,0.36,0.0101
TIMP-2_MMP9,PIGR_MMP9,0.80476,1.0,0.02857,1.0,0.34615,0.0101
TIMP-2_AGRIN,KPYM_PIGR,0.80392,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_KPYM,KPYM_MMP9,0.80214,1.0,0.06061,1.0,0.35417,0.0101
TIMP-2_AGRIN,PIGR_TIMP-2,0.8,1.0,0.05714,1.0,0.35294,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,0.79857,1.0,0.0303,1.0,0.34694,0.0101
MMP9_PIGR,TIMP-2_PIGR,0.79365,0,0,0,0,0.5
TIMP-2_KPYM,PIGR_MMP9,0.79323,1.0,0.06061,1.0,0.35417,0.0101
TIMP-2_MMP9,PIGR_TIMP-2,0.79206,1.0,0.08571,1.0,0.36,0.0101
MMP9_TIMP-2,PIGR_TIMP-2,0.79048,1.0,0.05714,1.0,0.35294,0.06061
TIMP-2_KPYM,KPYM_AGRIN,0.7861,1.0,0.06061,1.0,0.35417,0.0101
TIMP-2_KPYM,PIGR_AGRIN,0.7861,1.0,0.06061,1.0,0.35417,0.0101
TIMP-2_KPYM,AGRIN_MMP9,0.78075,1.0,0.06061,1.0,0.35417,0.0101
AGRIN_TIMP-2,PIGR_AGRIN,0.77937,1.0,0.05714,1.0,0.35294,0.05051
MMP9_AGRIN,TIMP-2_KPYM,0.77897,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_KPYM,,0.77718,1.0,0.06061,1.0,0.35417,0.0101
MMP9_TIMP-2,PIGR_KPYM,0.77718,1.0,0.0303,1.0,0.34694,0.0101
TIMP-2_KPYM,KPYM_TIMP-2,0.77718,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_KPYM,KPYM_PIGR,0.7754,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_KPYM,PIGR_TIMP-2,0.77362,1.0,0.09091,1.0,0.3617,0.0101
TIMP-2_KPYM,PIGR_KPYM,0.77362,1.0,0.06061,1.0,0.35417,0.0101
KPYM_PIGR,PIGR_MMP9,0.76827,1.0,0.0303,1.0,0.34694,0.05051
AGRIN_PIGR,PIGR_MMP9,0.7619,1.0,0.02857,1.0,0.34615,0.05051
KPYM_TIMP-2,PIGR_AGRIN,0.75936,1.0,0.0303,1.0,0.34694,0.05051
MMP9_PIGR,,0.75238,0,0,0,0,0.5
PIGR_MMP9,,0.75238,1.0,0.02857,1.0,0.34615,0.08081
MMP9_PIGR,PIGR_MMP9,0.75238,1.0,0.02857,1.0,0.34615,0.06061
AGRIN_MMP9,KPYM_PIGR,0.75223,1.0,0.0303,1.0,0.34694,0.0202
