Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_TIMP2,PERM_PIGR,0.94994,1.0,0.02381,1.0,0.4875,0.51515
AGRIN_CLIC1,TIMP2_CLIC1,0.945,1.0,0.46154,1.0,0.64103,0.0101
PERM_TIMP2,TIMP2_AGRIN,0.94261,1.0,0.30189,1.0,0.56471,0.0101
AGRIN_HSPB1,TIMP2_CLIC1,0.94099,0.97826,0.2449,0.92308,0.54878,0.0101
TIMP2_AGRIN,CLIC1_HSPB1,0.93966,1.0,0.2449,1.0,0.55422,0.0101
TIMP2_AGRIN,CLIC1_TIMP2,0.93923,1.0,0.23077,1.0,0.55556,0.0101
AGRIN_KPYM,TIMP2_KPYM,0.93411,1.0,0.27907,1.0,0.60759,0.0101
HSPB1_AGRIN,CLIC1_TIMP2,0.93212,0.97826,0.06122,0.75,0.49451,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,0.9299,0.97826,0.08163,0.8,0.5,0.0101
AGRIN_TIMP2,TIMP2_CLIC1,0.92808,0.98,0.21154,0.91667,0.54444,0.0101
PERM_TIMP2,TIMP2_CLIC1,0.92571,0.97917,0.24528,0.92857,0.54023,0.0101
AGRIN_PERM,TIMP2_PERM,0.92453,1.0,0.30189,1.0,0.56471,0.0101
TIMP2_AGRIN,CLIC1_AGRIN,0.92385,1.0,0.25,1.0,0.5618,0.0101
AGRIN_TIMP2,,0.92377,1.0,0.01887,1.0,0.4902,0.51515
TIMP2_AGRIN,,0.92377,1.0,0.0566,1.0,0.5,0.0101
AGRIN_TIMP2,TIMP2_AGRIN,0.92377,1.0,0.18868,1.0,0.53763,0.0101
MMP9_TIMP2,AGRIN_TIMP2,0.92333,1.0,0.02381,1.0,0.54945,0.52525
TIMP2_MMP9,CLIC1_MMP9,0.92,0.98,0.09756,0.8,0.56977,0.0101
MMP9_TIMP2,TIMP2_CLIC1,0.91756,0.98,0.21951,0.9,0.60494,0.0101
KPYM_TIMP2,TIMP2_AGRIN,0.91521,1.0,0.2093,1.0,0.58537,0.0101
TIMP2_AGRIN,CLIC1_KPYM,0.91521,1.0,0.18605,1.0,0.57831,0.0101
AGRIN_MMP9,TIMP2_MMP9,0.91429,0.98,0.09524,0.8,0.56322,0.0101
TIMP2_PERM,CLIC1_PERM,0.91274,1.0,0.30189,1.0,0.56471,0.0101
PERM_PIGR,TIMP2_AGRIN,0.9127,1.0,0.04762,1.0,0.49367,0.0101
PERM_HSPB1,TIMP2_AGRIN,0.91141,1.0,0.06122,1.0,0.48889,0.0101
AGRIN_HSPB1,TIMP2_HSPB1,0.90816,0.97826,0.14286,0.875,0.51724,0.0101
PERM_CLIC1,TIMP2_AGRIN,0.90785,1.0,0.07692,1.0,0.5,0.0101
AGRIN_HSPB1,CLIC1_TIMP2,0.90683,1.0,0.02041,1.0,0.48936,0.50505
HSPB1_TIMP2,TIMP2_AGRIN,0.90594,1.0,0.14286,1.0,0.52273,0.0101
TIMP2_CLIC1,,0.90453,1.0,0.11321,1.0,0.51546,0.0101
CLIC1_TIMP2,,0.90453,1.0,0.01887,1.0,0.4902,0.50505
TIMP2_CLIC1,CLIC1_TIMP2,0.90453,0.98,0.18868,0.90909,0.53261,0.0101
AGRIN_PIGR,TIMP2_PIGR,0.90418,1.0,0.07143,1.0,0.5125,0.0101
AGRIN_HSPB1,TIMP2_AGRIN,0.90417,1.0,0.04082,1.0,0.49462,0.0101
MMP9_TIMP2,CLIC1_TIMP2,0.90146,1.0,0.02439,1.0,0.55556,0.53535
PIGR_CLIC1,TIMP2_AGRIN,0.90125,1.0,0.02439,1.0,0.50617,0.0101
MMP9_TIMP2,TIMP2_AGRIN,0.89952,1.0,0.16667,1.0,0.58824,0.0101
TIMP2_KPYM,CLIC1_KPYM,0.89922,0.97917,0.16279,0.875,0.56627,0.0101
PERM_HSPB1,TIMP2_CLIC1,0.89864,1.0,0.14,1.0,0.50575,0.0101
PERM_AGRIN,TIMP2_AGRIN,0.89858,1.0,0.16981,1.0,0.52174,0.0101
MMP9_CLIC1,TIMP2_CLIC1,0.89561,1.0,0.09756,1.0,0.57471,0.0101
TIMP2_MMP9,CLIC1_TIMP2,0.89561,0.98,0.07317,0.75,0.56322,0.0101
