Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_MMP9,AGRIN_MMP9,0.875,0.98214,0.12963,0.875,0.53922,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,0.86508,0.98214,0.07407,0.8,0.52381,0.0101
TIMP-2_PERM,AGRIN_PERM,0.86409,1.0,0.28571,1.0,0.57447,0.0101
PERM_TIMP-2,TIMP-2_AGRIN,0.86376,1.0,0.08929,1.0,0.51429,0.0101
MMP9_TIMP-2,TIMP-2_AGRIN,0.85682,1.0,0.08929,1.0,0.52336,0.0101
TIMP-2_KPYM,AGRIN_KPYM,0.85592,1.0,0.11321,1.0,0.53922,0.0101
TIMP-2_MMP9,KPYM_MMP9,0.85084,1.0,0.11111,1.0,0.53398,0.0101
TIMP-2_PERM,AGRIN_TIMP-2,0.84425,1.0,0.14286,1.0,0.52941,0.0101
TIMP-2_MMP9,KPYM_TIMP-2,0.84377,1.0,0.07407,1.0,0.52381,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,0.84058,1.0,0.08929,1.0,0.51887,0.0101
TIMP-2_AGRIN,,0.83865,1.0,0.03571,1.0,0.50909,0.0101
AGRIN_TIMP-2,,0.83865,1.0,0.03571,1.0,0.50909,0.51515
TIMP-2_AGRIN,AGRIN_TIMP-2,0.83865,1.0,0.08929,1.0,0.52336,0.0101
MMP9_KPYM,TIMP-2_KPYM,0.83774,1.0,0.09434,1.0,0.53398,0.0101
AGRIN_TIMP-2,KPYM_TIMP-2,0.83669,1.0,0.03571,1.0,0.50459,0.51515
TIMP-2_KPYM,AGRIN_TIMP-2,0.83533,1.0,0.0566,1.0,0.52381,0.0101
MMP9_TIMP-2,TIMP-2_KPYM,0.82607,1.0,0.0566,1.0,0.52381,0.0101
TIMP-2_MMP9,KPYM_PERM,0.82565,1.0,0.07407,1.0,0.51456,0.0101
PERM_AGRIN,TIMP-2_AGRIN,0.8254,1.0,0.08929,1.0,0.51429,0.0101
TIMP-2_PERM,KPYM_PERM,0.8221,1.0,0.17857,1.0,0.53535,0.0101
MMP9_AGRIN,TIMP-2_AGRIN,0.82143,1.0,0.08929,1.0,0.52336,0.0101
TIMP-2_MMP9,AGRIN_PERM,0.81413,0.98148,0.07407,0.8,0.51456,0.0101
TIMP-2_PERM,KPYM_TIMP-2,0.81132,1.0,0.125,1.0,0.51961,0.0101
MMP9_KPYM,TIMP-2_AGRIN,0.80823,1.0,0.0566,1.0,0.52381,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,0.80552,1.0,0.07143,1.0,0.51402,0.0101
PERM_TIMP-2,TIMP-2_KPYM,0.80028,1.0,0.0566,1.0,0.51456,0.0101
PERM_MMP9,TIMP-2_AGRIN,0.79664,1.0,0.09259,1.0,0.52427,0.0101
MMP9_TIMP-2,TIMP-2_PERM,0.79464,1.0,0.08929,1.0,0.51429,0.0101
PERM_TIMP-2,TIMP-2_MMP9,0.79252,1.0,0.05556,1.0,0.51429,0.0101
MMP9_PERM,TIMP-2_AGRIN,0.79134,1.0,0.05357,1.0,0.50467,0.0101
PERM_KPYM,TIMP-2_AGRIN,0.78782,1.0,0.0566,1.0,0.51456,0.0101
TIMP-2_AGRIN,KPYM_PERM,0.78639,1.0,0.03571,1.0,0.49533,0.0101
PERM_KPYM,TIMP-2_KPYM,0.78604,1.0,0.0566,1.0,0.51456,0.0101
KPYM_TIMP-2,,0.78344,1.0,0.05357,1.0,0.50926,0.50505
PERM_MMP9,AGRIN_TIMP-2,0.78052,1.0,0.01852,1.0,0.50467,0.0303
MMP9_TIMP-2,,0.78029,1.0,0.05357,1.0,0.51376,0.50505
