Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_MMK,PERM_MMK,,0.89961,0.78947,0.81481,0.73333,0.85714,0.66667
PERM_MMK,,,0.86452,0.92105,0.7037,0.86364,0.81395,0.64646
KPYM_MMK,PERM_MMK,,0.86186,0.81081,0.85185,0.76667,0.88235,0.65657
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.86186,0.72973,0.85185,0.69697,0.87097,0.66667
MMP9_MMK,AGRIN_MMK,,0.83333,0.7,0.88889,0.66667,0.90323,0.68687
AGRIN_MMK,,,0.82685,0.725,0.77778,0.65625,0.82857,0.67677
AGRIN_MMK,KPYM_MMK,,0.82241,0.69231,0.81481,0.64706,0.84375,0.67677
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.80722,0.74359,0.85185,0.69697,0.87879,0.66667
MMP9_MMK,KPYM_MMK,,0.80627,0.69231,0.85185,0.65714,0.87097,0.67677
MMP9_MMK,,,0.80556,0.675,0.88889,0.64865,0.9,0.68687
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.80019,0.73684,0.85185,0.69697,0.875,0.66667
MMP9_MMK,PERM_MMK,,0.78947,0.68421,0.88889,0.66667,0.89655,0.67677
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.78752,0.65789,0.88889,0.64865,0.89286,0.68687
MMP9_MMK,KPYM_MMK,PERM_MMK,0.78679,0.7027,0.81481,0.66667,0.83871,0.66667
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.77873,0.69231,0.77778,0.63636,0.81818,0.64646
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.77778,0.7,0.81481,0.64706,0.84848,0.65657
KPYM_MMK,,,0.77588,0.82051,0.59259,0.69565,0.74419,0.63636
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.77578,0.89189,0.59259,0.8,0.75,0.55556
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.77493,0.66667,0.81481,0.62857,0.83871,0.66667
HSPB1_MMK,AGRIN_MMK,,0.7713,0.7,0.85185,0.65714,0.875,0.65657
HSPB1_MMK,PERM_MMK,,0.77096,0.86842,0.66667,0.78261,0.78571,0.60606
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.75828,0.81579,0.66667,0.72,0.775,0.62626
HSPB1_MMK,,,0.7537,0.9,0.44444,0.75,0.70588,0.62626
MMP9_MMK,HSPB1_MMK,,0.73889,0.75,0.7037,0.65517,0.78947,0.64646
HSPB1_MMK,KPYM_MMK,,0.71795,0.69231,0.66667,0.6,0.75,0.62626
