,24h 4ºC +PBS,24h 4ºC -PBS,72h 4ºC +PBS,72h 4ºC -PBS,Reference
24h 4ºC +PBS,1.0,1.0,1.0,1.0,0.545882374765516
24h 4ºC -PBS,1.0,1.0,1.0,1.0,0.030146822874457736
72h 4ºC +PBS,1.0,1.0,1.0,1.0,0.6155307110520218
72h 4ºC -PBS,1.0,1.0,1.0,1.0,0.20018841170481882
Reference,0.545882374765516,0.030146822874457736,0.6155307110520218,0.20018841170481882,1.0
