Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_MMK,0.78623,0.95726,0.41304,0.88372,0.6747,0.57576
PERM_MMK,0.76142,0.95798,0.32609,0.85714,0.64773,0.58586
KPYM_MMK,0.75088,0.96396,0.21739,0.83333,0.59777,0.56566
AGRIN_MMK,0.71429,0.95798,0.16304,0.75,0.59686,0.56566
HSPB1_MMK,0.59851,0.96429,0.0989,0.69231,0.56842,0.54545
