Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
DCN_1,FASN,AGRN_0,0.90802,0.95392,0.34959,0.81132,0.72125,0.32323
DCN_1,ENO1_0,GSTP1_1,0.90134,0.96226,0.28788,0.82609,0.68456,0.20202
FASN,DCN_0,AGRN_0,0.90122,0.95673,0.4188,0.84483,0.74532,0.36364
DCN_1,CACYBP_1,AGRN_0,0.90046,0.95045,0.34586,0.80702,0.70805,0.33333
FASN,LDHA_0,DCN_0,0.89933,0.95215,0.264,0.76744,0.68385,0.30303
FASN,LDHA_1,DCN_0,0.89844,0.95215,0.27419,0.77273,0.68858,0.31313
DCN_1,VPS35_0,LDHA_0,0.8979,0.95305,0.30597,0.80392,0.68581,0.37374
DCN_1,FASN,MVP_0,0.89769,0.95455,0.31818,0.80769,0.7,0.32323
DCN_1,FASN,LDHA_0,0.89747,0.96364,0.2782,0.82222,0.68831,0.31313
DCN_1,ENO1_0,FASN,0.89728,0.95455,0.28788,0.79167,0.69079,0.33333
ENO1_0,FASN,DCN_0,0.89678,0.95694,0.32258,0.81633,0.70423,0.35354
DCN_1,FASN,LDHA_1,0.89669,0.95455,0.27273,0.78261,0.68627,0.32323
DCN_1,GSTP1_1,LDHA_0,0.89623,0.95283,0.33835,0.81818,0.69655,0.24242
DCN_1,GSTP1_1,FASN,0.89581,0.95169,0.39167,0.82456,0.72963,0.34343
DCN_1,FASN,GMDS_2,0.89571,0.95434,0.24615,0.7619,0.68078,0.25253
GSTP1_1,FASN,DCN_0,0.89515,0.9596,0.30973,0.81395,0.70896,0.32323
FASN,DCN_0,MVP_0,0.89497,0.95694,0.31452,0.8125,0.70175,0.33333
DCN_1,GSTP1_1,CLIC1_1,0.89459,0.95283,0.33835,0.81818,0.69655,0.27273
ENO1_0,GSTP1_1,DCN_0,0.89423,0.95169,0.38211,0.82456,0.72161,0.25253
DCN_1,FASN,PKM_0,0.89414,0.95434,0.26718,0.77778,0.68525,0.30303
DCN_1,VPS35_0,CACYBP_1,0.89407,0.95305,0.25564,0.77273,0.67219,0.29293
DCN_1,FASN,CACYBP_1,0.8939,0.96364,0.28788,0.82609,0.69281,0.28283
DCN_1,FASN,CAPG_1,0.89388,0.95455,0.26316,0.77778,0.68182,0.31313
