Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9,0.76212,1.0,0.00833,1.0,0.52209,0.50505
PERM,0.76156,1.0,0.00855,1.0,0.50215,0.50505
FABP5,0.73907,1.0,0.01887,1.0,0.52941,0.51515
OSTP,0.7389,0,0,0,0,0.5
NGAL,0.73488,1.0,0.05,1.0,0.56818,0.51515
MVP,0.72818,0.99091,0.05455,0.85714,0.51174,0.51515
BCAM,0.68108,0.99048,0.02778,0.66667,0.5977,0.51515
MDK,0.6151,0.97674,0.04237,0.625,0.5272,0.50505
MIF,0.59856,0.95763,0.10185,0.6875,0.5381,0.50505
AGRIN,0.54248,0,0,0,0,0.5
HSPB1,0.52178,0,0,0,0,0.5
PIGR,0.44454,0,0,0,0,0.5
