Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
NGAL,PIGR,0.84923,1.0,0.01389,1.0,0.53896,0.06061
MMP9,BCAM,0.82831,1.0,0.08333,1.0,0.61404,0.52525
MMP9,OSTP,0.82423,1.0,0.02752,1.0,0.5431,0.51515
MMP9,PIGR,0.80913,1.0,0.01042,1.0,0.525,0.10101
PERM,BCAM,0.80717,1.0,0.01449,1.0,0.58282,0.51515
OSTP,PERM,0.80222,1.0,0.00943,1.0,0.52055,0.51515
PERM,PIGR,0.79866,1.0,0.01064,1.0,0.50267,0.09091
MMP9,AGRIN,0.79038,1.0,0.0101,1.0,0.56828,0.41414
PERM,AGRIN,0.78134,1.0,0.01042,1.0,0.54976,0.47475
MMP9,NGAL,0.78012,0.99,0.025,0.66667,0.55932,0.28283
OSTP,BCAM,0.77684,0.99029,0.11268,0.88889,0.61818,0.51515
AGRIN,FABP5,0.77399,0.99138,0.01087,0.5,0.55825,0.50505
OSTP,PIGR,0.77368,1.0,0.01111,1.0,0.53646,0.17172
AGRIN,NGAL,0.76863,1.0,0.0137,1.0,0.5814,0.51515
PERM,NGAL,0.76241,0.98901,0.01266,0.5,0.53571,0.31313
MMP9,,0.76212,1.0,0.00833,1.0,0.52209,0.50505
PERM,,0.76156,1.0,0.00855,1.0,0.50215,0.50505
NGAL,BCAM,0.7576,1.0,0.02128,1.0,0.64615,0.53535
OSTP,NGAL,0.75279,0.9697,0.01316,0.25,0.5614,0.45455
OSTP,AGRIN,0.75274,0.99206,0.01031,0.5,0.56561,0.40404
FABP5,PIGR,0.75142,1.0,0.02198,1.0,0.5163,0.06061
NGAL,MIF,0.75015,1.0,0.01351,1.0,0.55758,0.48485
HSPB1,MMP9,0.74954,1.0,0.00862,1.0,0.49339,0.18182
MMP9,PERM,0.74578,0.99145,0.02564,0.75,0.50435,0.49495
HSPB1,PERM,0.74575,1.0,0.00885,1.0,0.4717,0.11111
AGRIN,MVP,0.74287,1.0,0.02105,1.0,0.54187,0.45455
MMP9,MIF,0.74168,1.0,0.00926,1.0,0.52444,0.29293
OSTP,MIF,0.74115,0.9913,0.0101,0.5,0.53774,0.33333
MVP,FABP5,0.74072,0.9902,0.03883,0.8,0.505,0.51515
FABP5,,0.73907,1.0,0.01887,1.0,0.52941,0.51515
OSTP,,0.7389,0,0,0,0,0.5
HSPB1,FABP5,0.73716,1.0,0.00952,1.0,0.49515,0.0404
MVP,PIGR,0.73716,1.0,0.01075,1.0,0.49451,0.05051
PIGR,BCAM,0.73684,1.0,0.01754,1.0,0.61111,0.33333
MMP9,FABP5,0.73585,0.99145,0.01887,0.66667,0.52727,0.31313
NGAL,,0.73488,1.0,0.05,1.0,0.56818,0.51515
PERM,MIF,0.73261,1.0,0.00952,1.0,0.50476,0.28283
HSPB1,OSTP,0.73221,1.0,0.00943,1.0,0.50935,0.19192
FABP5,BCAM,0.72874,1.0,0.01449,1.0,0.59281,0.52525
MVP,,0.72818,0.99091,0.05455,0.85714,0.51174,0.51515
NGAL,FABP5,0.72552,1.0,0.05263,1.0,0.56364,0.50505
MVP,BCAM,0.72403,1.0,0.01471,1.0,0.58385,0.52525
MDK,OSTP,0.72254,0.992,0.00935,0.5,0.53913,0.35354
OSTP,FABP5,0.71895,0,0,0,0,0.5
MDK,MMP9,0.71384,1.0,0.01695,1.0,0.52653,0.34343
PERM,FABP5,0.71282,1.0,0.01942,1.0,0.51442,0.35354
HSPB1,NGAL,0.7099,1.0,0.02564,1.0,0.53086,0.20202
AGRIN,BCAM,0.70928,1.0,0.01562,1.0,0.62275,0.39394
MMP9,MVP,0.70917,1.0,0.00909,1.0,0.50228,0.32323
OSTP,MVP,0.70388,0,0,0,0,0.5
FABP5,MIF,0.70161,1.0,0.0101,1.0,0.5311,0.31313
PERM,MVP,0.69885,1.0,0.01869,1.0,0.49519,0.34343
MDK,BCAM,0.69858,1.0,0.01389,1.0,0.59429,0.51515
MDK,PERM,0.69833,1.0,0.0087,1.0,0.50649,0.34343
HSPB1,MVP,0.69368,1.0,0.00935,1.0,0.47,0.07071
MDK,FABP5,0.69179,0.99138,0.00952,0.5,0.52511,0.46465
BCAM,,0.68108,0.99048,0.02778,0.66667,0.5977,0.51515
MDK,NGAL,0.68104,1.0,0.02564,1.0,0.56571,0.38384
MDK,MVP,0.68089,0.96364,0.00926,0.2,0.49765,0.48485
NGAL,MVP,0.68009,1.0,0.01282,1.0,0.52469,0.42424
MVP,MIF,0.67974,1.0,0.0098,1.0,0.50246,0.42424
AGRIN,MIF,0.66197,0.95726,0.06593,0.54545,0.56853,0.50505
BCAM,MIF,0.66174,1.0,0.01449,1.0,0.59524,0.46465
MDK,PIGR,0.65681,1.0,0.01064,1.0,0.52792,0.24242
MDK,AGRIN,0.65657,1.0,0.02062,1.0,0.57399,0.49495
HSPB1,BCAM,0.64747,1.0,0.01389,1.0,0.55625,0.38384
MDK,MIF,0.62433,0.97436,0.03774,0.57143,0.52778,0.50505
HSPB1,MDK,0.62342,0.99099,0.0087,0.5,0.49107,0.26263
PIGR,MIF,0.62189,1.0,0.01111,1.0,0.5291,0.36364
MDK,,0.6151,0.97674,0.04237,0.625,0.5272,0.50505
