Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4594594594594595,0
0.7646044703233507,0.05,1.0,0.4722222222222222,1.0
0.7305490479568079,0.05,0.9411764705882353,0.45714285714285713,0.5
0.6523612692203047,0.45,0.9411764705882353,0.5925925925925926,0.9
0.6034104382122526,0.45,0.5882352941176471,0.47619047619047616,0.5625
0.5923622063446146,0.5,0.5882352941176471,0.5,0.5882352941176471
0.5849973771717402,0.5,0.47058823529411764,0.4444444444444444,0.5263157894736842
0.5817000778305348,0.65,0.47058823529411764,0.5333333333333333,0.5909090909090909
0.5748814239346519,0.65,0.35294117647058826,0.46153846153846156,0.5416666666666666
0.5643595567418378,0.75,0.35294117647058826,0.5454545454545454,0.5769230769230769
0.5503694058579596,0.75,0.29411764705882354,0.5,0.5555555555555556
0.5284421398072581,0.85,0.29411764705882354,0.625,0.5862068965517241
0.5199594966026178,0.85,0.23529411764705882,0.5714285714285714,0.5666666666666667
0.48844383248238366,0.95,0.23529411764705882,0.8,0.59375
0.4649281487563027,0.95,0.11764705882352941,0.6666666666666666,0.5588235294117647
0.4287497414363272,1.0,0.11764705882352941,1.0,0.5714285714285714
0.37839180215477003,1.0,0.0,0,0.5405405405405406
