Biomarker_1,Biomarker_2,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,AGRIN_TIMP2_norm,0.9392,0.13131,0.98276,0.54386,0.96875,0.68675,0.25253,0.94828,0.77193,0.93617,0.80882,0.38384,0.87931,0.89474,0.87931,0.89474
Endometrial_thickness,TIMP2_AGRIN_norm,0.9392,0.13131,0.98276,0.54386,0.96875,0.68675,0.25253,0.94828,0.77193,0.93617,0.80882,0.38384,0.87931,0.89474,0.87931,0.89474
Endometrial_thickness,MMP9_TIMP2_norm,0.93799,0.13131,0.98276,0.56140,0.96970,0.69512,0.19192,0.94828,0.63158,0.92308,0.72368,0.48485,0.86207,0.92982,0.86885,0.92593
Endometrial_thickness,TIMP2_MMP9_norm,0.93799,0.13131,0.98276,0.56140,0.96970,0.69512,0.19192,0.94828,0.63158,0.92308,0.72368,0.48485,0.86207,0.92982,0.86885,0.92593
Endometrial_thickness,TIMP2_PERM_norm,0.92919,0.16162,0.98276,0.53571,0.96774,0.68675,0.22222,0.94828,0.69643,0.92857,0.76389,0.51515,0.86207,0.91071,0.86441,0.90909
Endometrial_thickness,PERM_TIMP2_norm,0.92919,0.16162,0.98276,0.53571,0.96774,0.68675,0.22222,0.94828,0.69643,0.92857,0.76389,0.51515,0.86207,0.91071,0.86441,0.90909
Endometrial_thickness,KPYM_TIMP2_norm,0.92364,0.0101,0.98182,0.01818,0.50000,0.50000,0.17172,0.94545,0.56364,0.91176,0.68421,0.46465,0.85455,0.92727,0.86441,0.92157
Endometrial_thickness,TIMP2_KPYM_norm,0.92364,0.0101,0.98182,0.01818,0.50000,0.50000,0.17172,0.94545,0.56364,0.91176,0.68421,0.46465,0.85455,0.92727,0.86441,0.92157
Endometrial_thickness,MVP_CLIC1_norm,0.91874,0.10101,0.98246,0.35088,0.95238,0.60215,0.24242,0.94737,0.66667,0.92683,0.73973,0.42424,0.85965,0.87719,0.86207,0.87500
Endometrial_thickness,CLIC1_MVP_norm,0.91874,0.10101,0.98246,0.35088,0.95238,0.60215,0.24242,0.94737,0.66667,0.92683,0.73973,0.42424,0.85965,0.87719,0.86207,0.87500
MMP9_MVP_norm,TIMP2_CLIC1_norm,0.91322,0.14141,0.98214,0.42105,0.96000,0.62500,0.16162,0.96429,0.45614,0.92857,0.63529,0.65657,0.76786,0.92982,0.80303,0.91489
MMP9_MVP_norm,CLIC1_TIMP2_norm,0.91322,0.14141,0.98214,0.42105,0.96000,0.62500,0.16162,0.96429,0.45614,0.92857,0.63529,0.65657,0.76786,0.92982,0.80303,0.91489
TIMP2_CLIC1_norm,MVP_MMP9_norm,0.91322,0.14141,0.98214,0.42105,0.96000,0.62500,0.16162,0.96429,0.45614,0.92857,0.63529,0.65657,0.76786,0.92982,0.80303,0.91489
MVP_MMP9_norm,CLIC1_TIMP2_norm,0.91322,0.14141,0.98214,0.42105,0.96000,0.62500,0.16162,0.96429,0.45614,0.92857,0.63529,0.65657,0.76786,0.92982,0.80303,0.91489
Endometrial_thickness,TIMP2_CLIC1_norm,0.91197,0.05051,0.98246,0.15789,0.90000,0.53846,0.08081,0.96491,0.24561,0.87500,0.56122,0.64646,0.78947,0.96491,0.82090,0.95745
Endometrial_thickness,CLIC1_TIMP2_norm,0.91197,0.05051,0.98246,0.15789,0.90000,0.53846,0.08081,0.96491,0.24561,0.87500,0.56122,0.64646,0.78947,0.96491,0.82090,0.95745
