Biomarker_1,Biomarker_2,Biomarker_3,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,MMP9_TIMP2_norm,CLIC1_TIMP2_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,MMP9_CLIC1_norm,TIMP2_MMP9_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,MMP9_CLIC1_norm,TIMP2_CLIC1_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,MMP9_CLIC1_norm,CLIC1_TIMP2_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,TIMP2_MMP9_norm,CLIC1_MMP9_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,TIMP2_MMP9_norm,CLIC1_TIMP2_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,TIMP2_CLIC1_norm,CLIC1_MMP9_norm,0.96245,0.12121,0.98246,0.64912,0.97368,0.73684,0.24242,0.94737,0.78947,0.93750,0.81818,0.31313,0.92982,0.87719,0.92593,0.88333
Endometrial_thickness,MMP9_KPYM_norm,KPYM_TIMP2_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,MMP9_KPYM_norm,TIMP2_MMP9_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,MMP9_KPYM_norm,TIMP2_KPYM_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,MMP9_TIMP2_norm,KPYM_MMP9_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,MMP9_TIMP2_norm,KPYM_TIMP2_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,MMP9_TIMP2_norm,TIMP2_KPYM_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,KPYM_MMP9_norm,TIMP2_MMP9_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,KPYM_MMP9_norm,TIMP2_KPYM_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,KPYM_TIMP2_norm,TIMP2_MMP9_norm,0.95901,0.11111,0.98182,0.56364,0.96875,0.69231,0.21212,0.94545,0.78182,0.93478,0.81250,0.32323,0.92727,0.89091,0.92453,0.89474
Endometrial_thickness,TIMP2_PERM_norm,MVP_CLIC1_norm,0.95823,0.11111,1.00000,0.71429,1.00000,0.77778,0.32323,0.94643,0.83929,0.94000,0.85484,0.50505,0.89286,0.94643,0.89831,0.94340
Endometrial_thickness,TIMP2_PERM_norm,CLIC1_MVP_norm,0.95823,0.11111,1.00000,0.71429,1.00000,0.77778,0.32323,0.94643,0.83929,0.94000,0.85484,0.50505,0.89286,0.94643,0.89831,0.94340
Endometrial_thickness,MVP_CLIC1_norm,PERM_TIMP2_norm,0.95823,0.11111,1.00000,0.71429,1.00000,0.77778,0.32323,0.94643,0.83929,0.94000,0.85484,0.50505,0.89286,0.94643,0.89831,0.94340
Endometrial_thickness,PERM_TIMP2_norm,CLIC1_MVP_norm,0.95823,0.11111,1.00000,0.71429,1.00000,0.77778,0.32323,0.94643,0.83929,0.94000,0.85484,0.50505,0.89286,0.94643,0.89831,0.94340
Endometrial_thickness,MMP9_AGRIN_norm,AGRIN_TIMP2_norm,0.95735,0.06061,0.98276,0.40351,0.95833,0.62637,0.21212,0.94828,0.80702,0.93878,0.83333,0.52525,0.87931,0.96491,0.88710,0.96226
