Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
LDHA_VTLTSEEEAR,0.90688,1.0,0.02128,1.0,0.6,0.51515
LDHA_LVIITAGAR,0.90318,1.0,0.02128,1.0,0.6,0.51515
KPYM_NTGIICTIGPASR,0.89701,1.0,0.02128,1.0,0.6,0.51515
MMP9_AFALWSAVTPLTFTR,0.89023,0.97101,0.21277,0.83333,0.64423,0.50505
MMP9_SLGPALLLLQK,0.88853,0.95652,0.21277,0.76923,0.64078,0.50505
NAMPT_YDGHLPIEIK,0.88282,1.0,0.21277,1.0,0.65094,0.51515
SPIT1_SFVYGGCLGNK,0.88128,0.97101,0.12766,0.75,0.62037,0.50505
CADH1_NLVQIK,0.87912,1.0,0.02128,1.0,0.6,0.52525
SPIT1_WYYDPTEQICK,0.87327,0.97101,0.2766,0.86667,0.66337,0.52525
ENOA_YISPDQLADLYK,0.87203,1.0,0.02128,1.0,0.6,0.51515
ENOA_TIAPALVSK,0.86957,1.0,0.02128,1.0,0.6,0.51515
NAMPT_YLLETSGNLDGLEYK,0.86401,0,0,0,0,0.5
PERM_VVLEGGIDPILR,0.86093,0.97101,0.21277,0.83333,0.64423,0.50505
CADH1_VFYSITGQGADTPPVGVFIIER,0.86001,1.0,0.08511,1.0,0.61607,0.52525
PERM_IANVFTNAFR,0.85769,0.95652,0.17021,0.72727,0.62857,0.50505
CAPG_YQEGGVESAFHK,0.85168,0.98551,0.14894,0.875,0.62963,0.51515
CH10_VLLPEYGGTK,0.84644,0.98551,0.04255,0.66667,0.60177,0.50505
CTNB1_LVQLLVR,0.84413,0.97101,0.21277,0.83333,0.64423,0.51515
CAPG.1_EGNPEEDLTADK,0.84397,1.0,0.06383,1.0,0.61062,0.51515
K2C8_LSELEAALQR,0.84258,0.98551,0.17021,0.88889,0.63551,0.51515
CH10_FLPLFDR,0.83827,1.0,0.02128,1.0,0.6,0.50505
CLIC1_LAALNPESNTAGLDIFAK,0.83626,1.0,0.02128,1.0,0.6,0.51515
CLIC1_NSNPALNDNLEK,0.83472,1.0,0.02128,1.0,0.6,0.51515
K2C8_WSLLQQQK,0.83472,1.0,0.02128,1.0,0.6,0.50505
PDIA1_ALAPEYAK,0.83349,1.0,0.02128,1.0,0.6,0.50505
PRDX1_ADEGISFR,0.83318,1.0,0.02128,1.0,0.6,0.50505
PRDX1_LVQAFQFTDK,0.83195,1.0,0.02128,1.0,0.6,0.52525
CD44_TEAADLCK,0.8304,1.0,0.02128,1.0,0.6,0.54545
MIF_LLCGLLAER,0.82578,1.0,0.02128,1.0,0.6,0.51515
FABP5_LVVECVMNNVTCTR,0.82146,1.0,0.02128,1.0,0.6,0.51515
XPO2_ANIVHLMLSSPEQIQK,0.81344,0,0,0,0,0.5
PDIA1_ILEFFGLK,0.81267,1.0,0.02128,1.0,0.6,0.51515
FABP5_ELGVGIALR,0.80944,1.0,0.02128,1.0,0.6,0.51515
TPIS_SNVSDAVAQSTR,0.80481,1.0,0.02128,1.0,0.6,0.52525
TPIS_VVLAYEPVWAIGTGK,0.80111,1.0,0.02128,1.0,0.6,0.51515
CASP3_SGTDVDAANLR,0.79849,0,0,0,0,0.5
CTNB1_LLNDEDQVVVNK,0.78585,0,0,0,0,0.5
GSTP1_ASCLYGQLPK,0.78538,1.0,0.02128,1.0,0.6,0.51515
ANXA1_DITSDTSGDFR,0.78076,1.0,0.04255,1.0,0.60526,0.50505
ANXA1_GGPGSAVSPYPTFNPSSDVAALHK,0.76719,1.0,0.02128,1.0,0.6,0.50505
NGAL_ELTSELK,0.76534,1.0,0.02128,1.0,0.6,0.50505
ANXA2_GVDEVTIVNILTNR,0.7638,1.0,0.08511,1.0,0.61607,0.51515
GTR1_TFDEIASGFR,0.75686,0,0,0,0,0.5
GSTP1_TLGLYGK,0.75624,0.98551,0.06383,0.75,0.60714,0.50505
MUC1_QGGFLGLSNIK,0.75547,1.0,0.02128,1.0,0.6,0.50505
OSTP_AIPVAQDLNAPSDWDSR,0.75501,0,0,0,0,0.5
NGAL_VPLQQNFQDNQFQGK,0.75409,0,0,0,0,0.5
STMN1_SHEAEVLK,0.74776,0.97101,0.08511,0.66667,0.60909,0.51515
PPIA_VSFELFADK,0.74499,0.98551,0.02128,0.5,0.59649,0.51515
STMN1_AIEENNNFSK,0.74406,1.0,0.02128,1.0,0.6,0.50505
OSTP_ANDESNEHSDVIDSQELSK,0.74298,0,0,0,0,0.5
PRDX6_DFTPVCTTELGR,0.74129,1.0,0.06383,1.0,0.61062,0.54545
PRDX6_LSILYPATTGR,0.73451,1.0,0.02128,1.0,0.6,0.54545
MUC1_EGTINVHDVETQFNQYK,0.72988,0,0,0,0,0.5
PPIA_FEDENFILK,0.72926,1.0,0.02128,1.0,0.6,0.50505
ANXA2_QDIAFAYQR,0.72109,0,0,0,0,0.5
KPYM_APIIAVTR,0.72063,0.98551,0.02128,0.5,0.59649,0.50505
HSPB1_LATQSNEITIPVTFESR,0.71385,0.98551,0.04255,0.66667,0.60177,0.51515
ROA2_TLETVPLER,0.70352,0.98551,0.06383,0.75,0.60714,0.51515
CATD_VSTLPAITLK,0.69673,1.0,0.04255,1.0,0.60526,0.51515
LEG3_IALDFQR,0.69226,1.0,0.02128,1.0,0.6,0.51515
HSPB1_LFDQAFGLPR,0.68363,0.98551,0.02128,0.5,0.59649,0.50505
LEG3_GNDVAFHFNPR,0.6807,1.0,0.02128,1.0,0.6,0.51515
PEBP1_LYEQLSGK,0.64539,1.0,0.02128,1.0,0.6,0.51515
CAYP1_EAVIAAAFAK,0.64508,0.95652,0.04255,0.4,0.59459,0.50505
CAYP1_SGDGVVTVDDLR,0.64447,0,0,0,0,0.5
PEBP1_VLTPTQVK,0.64447,1.0,0.02128,1.0,0.6,0.51515
CSF1_TFYETPLQLLEK,0.63861,0,0,0,0,0.5
