Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9541798288382616,0.05,1.0,0.4864864864864865,1.0
0.9186227468734197,0.1,1.0,0.5,1.0
0.899177296963275,0.1,0.9444444444444444,0.4857142857142857,0.6666666666666666
0.7576580889907404,0.55,0.9444444444444444,0.6538461538461539,0.9166666666666666
0.7138874569424113,0.55,0.8888888888888888,0.64,0.8461538461538461
0.6445118522244799,0.85,0.8888888888888888,0.8421052631578947,0.8947368421052632
0.6189187942047214,0.85,0.8333333333333334,0.8333333333333334,0.85
0.6152469462227538,0.9,0.8333333333333334,0.8823529411764706,0.8571428571428571
0.5677383663777852,0.9,0.5555555555555556,0.8333333333333334,0.6923076923076923
0.555232687893239,0.95,0.5555555555555556,0.9090909090909091,0.7037037037037037
0.5471584421621113,0.95,0.4444444444444444,0.8888888888888888,0.6551724137931034
0.5297446142737401,1.0,0.4444444444444444,1.0,0.6666666666666666
0.5004701224727202,1.0,0.0,0,0.5263157894736842
