Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9833815696169786,0.05,1.0,0.4864864864864865,1.0
0.9580056803119585,0.2,1.0,0.5294117647058824,1.0
0.9569423897320609,0.2,0.9444444444444444,0.5151515151515151,0.8
0.8802772800605957,0.5,0.9444444444444444,0.6296296296296297,0.9090909090909091
0.865790255610573,0.5,0.8888888888888888,0.6153846153846154,0.8333333333333334
0.5288014964425549,0.8,0.8888888888888888,0.8,0.8888888888888888
0.4376472211124894,0.8,0.7777777777777778,0.7777777777777778,0.8
0.4190733641212845,0.85,0.7777777777777778,0.8235294117647058,0.8095238095238095
0.35985377060565277,0.85,0.6666666666666666,0.8,0.7391304347826086
0.35560051718599034,0.9,0.6666666666666666,0.8571428571428571,0.75
0.3319139953682754,0.9,0.6111111111111112,0.8461538461538461,0.72
0.3260588532204314,0.95,0.6111111111111112,0.9166666666666666,0.7307692307692307
0.2885278651088961,0.95,0.3888888888888889,0.875,0.6333333333333333
0.28601785875813573,1.0,0.3888888888888889,1.0,0.6451612903225806
0.08170924036933147,1.0,0.0,0,0.5263157894736842
