Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9995372216179325,0.05,1.0,0.4864864864864865,1.0
0.9340133294789764,0.35,1.0,0.5806451612903226,1.0
0.9288498054346336,0.35,0.9444444444444444,0.5666666666666667,0.875
0.8905181486227961,0.4,0.9444444444444444,0.5862068965517241,0.8888888888888888
0.8831574734395055,0.4,0.8888888888888888,0.5714285714285714,0.8
0.6378447656971451,0.8,0.8888888888888888,0.8,0.8888888888888888
0.5919758215095507,0.8,0.8333333333333334,0.7894736842105263,0.8421052631578947
0.5550580387767893,0.9,0.8333333333333334,0.8823529411764706,0.8571428571428571
0.3764464242268888,0.9,0.6111111111111112,0.8461538461538461,0.72
0.3412957207274952,0.95,0.6111111111111112,0.9166666666666666,0.7307692307692307
0.14081564871723737,0.95,0.16666666666666666,0.75,0.5588235294117647
0.1378903362471654,1.0,0.16666666666666666,1.0,0.5714285714285714
0.10654315944483904,1.0,0.0,0,0.5263157894736842
