Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_PIGR,TIMP2_PERM,CLIC1_PERM,0.90496,1.0,0.29545,1.0,0.58667,0.0101
PIGR_MMP9,TIMP2_PERM,CLIC1_PERM,0.90379,1.0,0.22222,1.0,0.5942,0.0101
PERM_PIGR,TIMP2_PERM,CLIC1_PERM,0.90354,1.0,0.28889,1.0,0.57895,0.0101
AGRIN_CLIC1,PERM_MMP9,TIMP2_CLIC1,0.90281,1.0,0.17391,1.0,0.57303,0.0101
PIGR_PERM,TIMP2_PERM,CLIC1_PERM,0.90202,1.0,0.28889,1.0,0.57895,0.0101
PIGR_TIMP2,TIMP2_PERM,CLIC1_PERM,0.90202,1.0,0.26667,1.0,0.57143,0.0101
PIGR_CLIC1,TIMP2_PERM,CLIC1_PERM,0.90202,1.0,0.26667,1.0,0.57143,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,TIMP2_HSPB1,0.902,1.0,0.05769,1.0,0.51485,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,TIMP2_PERM,0.90115,1.0,0.15385,1.0,0.53191,0.0101
AGRIN_TIMP2,HSPB1_PERM,TIMP2_CLIC1,0.90038,1.0,0.15385,1.0,0.53191,0.0101
