Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_MMP9,AGRIN_MMP9,0.90074,1.0,0.29167,1.0,0.6,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,0.88276,1.0,0.125,1.0,0.54839,0.0101
MMP9_TIMP-2,TIMP-2_AGRIN,0.87459,1.0,0.08333,1.0,0.53684,0.0101
TIMP-2_KPYM,AGRIN_KPYM,0.86213,1.0,0.10638,1.0,0.54348,0.0101
TIMP-2_AGRIN,,0.85725,1.0,0.04,1.0,0.51515,0.0101
AGRIN_TIMP-2,,0.85725,1.0,0.02,1.0,0.51,0.51515
TIMP-2_AGRIN,AGRIN_TIMP-2,0.85725,1.0,0.08,1.0,0.52577,0.0101
TIMP-2_MMP9,KPYM_MMP9,0.84844,1.0,0.22222,1.0,0.58824,0.0101
TIMP-2_AGRIN,KPYM_TIMP-2,0.84809,1.0,0.06383,1.0,0.53191,0.0101
MMP9_AGRIN,TIMP-2_AGRIN,0.84395,1.0,0.08333,1.0,0.53684,0.0101
MMP9_KPYM,TIMP-2_AGRIN,0.84178,1.0,0.06667,1.0,0.54348,0.0101
MMP9_KPYM,TIMP-2_KPYM,0.83956,1.0,0.06667,1.0,0.54348,0.0101
TIMP-2_MMP9,KPYM_TIMP-2,0.83911,1.0,0.13333,1.0,0.5618,0.0101
TIMP-2_KPYM,AGRIN_TIMP-2,0.83489,1.0,0.06383,1.0,0.53191,0.0101
MMP9_TIMP-2,AGRIN_TIMP-2,0.81944,1.0,0.04167,1.0,0.52577,0.51515
MMP9_TIMP-2,TIMP-2_KPYM,0.81111,1.0,0.06667,1.0,0.54348,0.0101
TIMP-2_AGRIN,AGRIN_KPYM,0.80638,1.0,0.06383,1.0,0.53191,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,0.80553,1.0,0.06383,1.0,0.53191,0.0101
MMP9_TIMP-2,,0.79493,1.0,0.02083,1.0,0.52041,0.50505
TIMP-2_MMP9,,0.79493,1.0,0.02083,1.0,0.52041,0.0101
MMP9_TIMP-2,TIMP-2_MMP9,0.79493,1.0,0.0625,1.0,0.53125,0.0101
TIMP-2_AGRIN,KPYM_MMP9,0.78933,1.0,0.04444,1.0,0.53763,0.0101
AGRIN_TIMP-2,KPYM_MMP9,0.78489,1.0,0.02222,1.0,0.53191,0.0303
TIMP-2_AGRIN,AGRIN_MMP9,0.78431,1.0,0.0625,1.0,0.53125,0.0101
TIMP-2_MMP9,AGRIN_KPYM,0.78089,1.0,0.06667,1.0,0.54348,0.0101
