Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_MMP9,TIMP2_PERM,CLIC1_TIMP2,0.91773,1.0,0.17391,1.0,0.57303,0.0101
HSPB1_MMP9,TIMP2_PERM,CLIC1_TIMP2,0.91442,1.0,0.2,1.0,0.56627,0.0101
AGRIN_PERM,TIMP2_PERM,CLIC1_MMP9,0.9139,1.0,0.23913,1.0,0.59302,0.0101
AGRIN_TIMP2,PIGR_PERM,TIMP2_CLIC1,0.91374,1.0,0.18182,1.0,0.55,0.0101
KPYM_AGRIN,TIMP2_PERM,CLIC1_TIMP2,0.91221,1.0,0.17391,1.0,0.57778,0.0101
PIGR_PERM,TIMP2_PERM,CLIC1_TIMP2,0.91212,1.0,0.22222,1.0,0.55696,0.0101
AGRIN_PERM,TIMP2_PERM,CLIC1_TIMP2,0.91178,1.0,0.27273,1.0,0.57447,0.0101
HSPB1_AGRIN,TIMP2_PERM,CLIC1_TIMP2,0.90885,1.0,0.17308,1.0,0.53763,0.0101
AGRIN_TIMP2,TIMP2_PERM,CLIC1_PERM,0.90875,1.0,0.30909,1.0,0.58696,0.0101
AGRIN_TIMP2,PIGR_CLIC1,TIMP2_PERM,0.90857,1.0,0.15909,1.0,0.54321,0.0101
MMP9_PERM,TIMP2_PERM,CLIC1_TIMP2,0.9078,1.0,0.17021,1.0,0.56667,0.0101
KPYM_TIMP2,TIMP2_PERM,CLIC1_TIMP2,0.90719,1.0,0.23913,1.0,0.5977,0.0101
AGRIN_MMP9,TIMP2_PERM,CLIC1_PERM,0.90708,1.0,0.19565,1.0,0.57955,0.0101
AGRIN_PERM,TIMP2_PERM,CLIC1_AGRIN,0.9064,1.0,0.29091,1.0,0.58065,0.0101
KPYM_MMP9,TIMP2_PERM,CLIC1_TIMP2,0.90581,1.0,0.15385,1.0,0.59756,0.0101
MMP9_CLIC1,TIMP2_PERM,CLIC1_TIMP2,0.9053,1.0,0.17021,1.0,0.56667,0.0101
PIGR_CLIC1,TIMP2_PERM,CLIC1_TIMP2,0.90505,1.0,0.17778,1.0,0.54321,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,TIMP2_HSPB1,0.90496,0.98077,0.03846,0.66667,0.50495,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,CLIC1_PERM,0.90423,0.98,0.03846,0.66667,0.49495,0.0101
PIGR_AGRIN,TIMP2_PERM,CLIC1_TIMP2,0.90341,1.0,0.20455,1.0,0.55696,0.0101
MMP9_AGRIN,TIMP2_PERM,CLIC1_TIMP2,0.90281,1.0,0.15217,1.0,0.56667,0.0101
AGRIN_TIMP2,TIMP2_PERM,CLIC1_MMP9,0.90281,1.0,0.15217,1.0,0.56667,0.0101
KPYM_PERM,PIGR_PERM,CLIC1_TIMP2,0.90278,1.0,0.19444,1.0,0.59155,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,PERM_HSPB1,0.90269,0.98,0.03846,0.66667,0.49495,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,TIMP2_PERM,0.90269,1.0,0.15385,1.0,0.53191,0.0101
MMP9_HSPB1,TIMP2_PERM,CLIC1_TIMP2,0.9026,1.0,0.17778,1.0,0.55952,0.0101
PIGR_PERM,TIMP2_CLIC1,CLIC1_TIMP2,0.90253,1.0,0.2,1.0,0.55,0.0101
MMP9_TIMP2,TIMP2_PERM,CLIC1_TIMP2,0.90238,1.0,0.14894,1.0,0.56044,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,CLIC1_AGRIN,0.90126,0.98077,0.03846,0.66667,0.50495,0.0101
PERM_CLIC1,TIMP2_PERM,CLIC1_PERM,0.90079,1.0,0.23214,1.0,0.5567,0.0101
KPYM_PERM,AGRIN_MMP9,CLIC1_TIMP2,0.90058,1.0,0.05128,1.0,0.56977,0.0101
AGRIN_PERM,TIMP2_PERM,CLIC1_HSPB1,0.9,1.0,0.25,1.0,0.5618,0.0101
