Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
ADIPOQ_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,KPYM_PERM,0.89164,1.0,0.17021,1.0,0.52439,0.0101
HSPB1_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.89153,1.0,0.23404,1.0,0.58621,0.0101
MMP9_ADIPOQ,HSPB1_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,0.89116,0.98077,0.19149,0.9,0.57303,0.0101
HSPB1_AGRIN,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,0.89091,1.0,0.26667,1.0,0.57143,0.0101
MMP9_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,KPYM_HSPB1,0.89082,0.98039,0.13636,0.85714,0.56818,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_HSPB1,0.8907,0.98039,0.19149,0.9,0.56818,0.0101
HSPB1_PERM,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,0.8904,1.0,0.28889,1.0,0.57895,0.0101
HSPB1_AGRIN,ADIPOQ_KPYM,TIMP-2_PERM,AGRIN_PERM,0.89021,1.0,0.30233,1.0,0.58904,0.0101
HSPB1_ADIPOQ,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_HSPB1,0.8899,1.0,0.24444,1.0,0.5641,0.0101
HSPB1_ADIPOQ,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,0.88939,1.0,0.26667,1.0,0.57143,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88927,1.0,0.23529,1.0,0.56667,0.0101
MMP9_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.88912,0.98077,0.17021,0.88889,0.56667,0.0101
MMP9_ADIPOQ,HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88904,1.0,0.15909,1.0,0.57955,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88903,0.98039,0.23404,0.91667,0.5814,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_TIMP-2,KPYM_MMP9,0.88903,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_ADIPOQ,PERM_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88883,0.97674,0.17073,0.875,0.55263,0.0101
MMP9_TIMP-2,HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_MMP9,0.88871,0.98077,0.19149,0.9,0.57303,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88861,0.98039,0.19149,0.9,0.56818,0.0101
MMP9_ADIPOQ,HSPB1_PERM,TIMP-2_PERM,AGRIN_PERM,0.88848,1.0,0.27907,1.0,0.58667,0.0101
HSPB1_ADIPOQ,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.8883,0.98077,0.23404,0.91667,0.58621,0.0101
MMP9_AGRIN,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.88819,1.0,0.21277,1.0,0.57955,0.0101
MMP9_KPYM,HSPB1_KPYM,TIMP-2_KPYM,AGRIN_ADIPOQ,0.88815,1.0,0.11364,1.0,0.56667,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_HSPB1,KPYM_MMP9,0.88778,1.0,0.23404,1.0,0.58621,0.0101
MMP9_AGRIN,HSPB1_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88775,0.98182,0.15217,0.875,0.58065,0.0101
HSPB1_AGRIN,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.8877,0.98039,0.22727,0.90909,0.59524,0.0101
HSPB1_ADIPOQ,ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.88748,0.98077,0.23404,0.91667,0.58621,0.0101
PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_TIMP-2,0.8871,1.0,0.28571,1.0,0.57317,0.0101
HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,KPYM_AGRIN,0.887,1.0,0.26667,1.0,0.5875,0.0101
HSPB1_ADIPOQ,PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88697,1.0,0.30233,1.0,0.58904,0.0101
MMP9_HSPB1,HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.88694,1.0,0.21277,1.0,0.57955,0.0101
