Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
ADIPOQ_KPYM,TIMP-2_MMP9,KPYM_MMP9,0.98611,1.0,0.66667,1.0,0.75,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.98221,1.0,0.6087,1.0,0.70968,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_MMP9,0.97833,1.0,0.6,1.0,0.70588,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_TIMP-2,0.97826,1.0,0.6087,1.0,0.72727,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_PERM,0.97475,1.0,0.54545,1.0,0.64286,0.0101
HSPB1_MMP9,TIMP-2_MMP9,KPYM_ADIPOQ,0.97431,1.0,0.56522,1.0,0.6875,0.0101
HSPB1_AGRIN,TIMP-2_MMP9,AGRIN_ADIPOQ,0.97353,1.0,0.47826,1.0,0.65714,0.0101
MMP9_ADIPOQ,TIMP-2_MMP9,KPYM_MMP9,0.97273,1.0,0.52,1.0,0.64706,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_PERM,0.97273,1.0,0.59091,1.0,0.68966,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.97273,1.0,0.52,1.0,0.64706,0.0101
ADIPOQ_KPYM,TIMP-2_PERM,KPYM_PERM,0.972,1.0,0.6,1.0,0.66667,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,KPYM_ADIPOQ,0.97091,1.0,0.44,1.0,0.61111,0.0101
ADIPOQ_TIMP-2,TIMP-2_MMP9,KPYM_PERM,0.97083,1.0,0.45833,1.0,0.60606,0.0101
HSPB1_TIMP-2,TIMP-2_MMP9,KPYM_ADIPOQ,0.97036,1.0,0.47826,1.0,0.64706,0.0101
TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_PERM,0.96991,1.0,0.41667,1.0,0.5625,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_MMP9,0.9692,1.0,0.52174,1.0,0.68571,0.0101
MMP9_HSPB1,TIMP-2_MMP9,KPYM_ADIPOQ,0.96838,1.0,0.43478,1.0,0.62857,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_HSPB1,0.96838,1.0,0.47826,1.0,0.64706,0.0101
HSPB1_AGRIN,TIMP-2_MMP9,KPYM_ADIPOQ,0.96838,1.0,0.52174,1.0,0.66667,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,KPYM_MMP9,0.96833,1.0,0.64,1.0,0.72727,0.0101
PERM_ADIPOQ,TIMP-2_MMP9,KPYM_TIMP-2,0.96759,1.0,0.5,1.0,0.6,0.0101
HSPB1_KPYM,TIMP-2_MMP9,KPYM_ADIPOQ,0.96694,1.0,0.5,1.0,0.66667,0.0101
ADIPOQ_PERM,TIMP-2_MMP9,KPYM_MMP9,0.96667,1.0,0.54167,1.0,0.64516,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,KPYM_TIMP-2,0.9664,1.0,0.56522,1.0,0.6875,0.0101
ADIPOQ_HSPB1,TIMP-2_MMP9,KPYM_ADIPOQ,0.9664,1.0,0.47826,1.0,0.64706,0.0101
ADIPOQ_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,0.9664,1.0,0.52,1.0,0.67568,0.0101
TIMP-2_MMP9,AGRIN_HSPB1,KPYM_ADIPOQ,0.9664,1.0,0.47826,1.0,0.64706,0.0101
PERM_ADIPOQ,TIMP-2_MMP9,KPYM_PERM,0.96528,1.0,0.45833,1.0,0.58065,0.0101
HSPB1_PERM,TIMP-2_MMP9,KPYM_ADIPOQ,0.96465,1.0,0.54545,1.0,0.64286,0.0101
