preferredName_A	preferredName_B	score
CD44	RDX	0.999
CD44	ERBB2	0.999
CD44	CD74	0.999
CD44	FN1	0.999
CD44	SPP1	0.999
CD44	MMP9	0.998
CD44	EGFR	0.998
CD44	SELL	0.998
CD44	SELE	0.997
CD44	VCAN	0.996
CD44	EZR	0.996
CD44	MSN	0.996
CD44	HMMR	0.995
CD44	MET	0.995
CD44	ICAM1	0.995
CD44	VCAM1	0.994
CD44	CXCR4	0.994
CD44	SLC7A11	0.994
CD44	FGF2	0.993
CD44	SELP	0.993
CD44	NID1	0.991
CD44	HBEGF	0.99
CD44	TIAM1	0.989
CD44	LGALS9	0.989
CD44	IQGAP1	0.988
CD44	COL1A2	0.988
CD44	CDC42	0.987
CD44	NANOG	0.987
CD44	COL1A1	0.987
CD44	ARHGEF12	0.985
CD44	BSG	0.985
CD44	CD9	0.985
CD44	TLR4	0.983
CD44	CXCR2	0.983
CD44	ANK2	0.98
CD44	ANK3	0.98
CD44	NF2	0.979
CD44	ARHGEF1	0.978
CD44	MMP7	0.973
CD44	SRC	0.972
CD44	MMP2	0.971
CD44	EPCAM	0.971
CD44	ANK1	0.971
CD44	SRGN	0.966
CD44	PKM	0.965
CD44	LY96	0.965
CD44	HGF	0.964
CD44	VAV2	0.964
CD44	CXCL12	0.961
CD44	TWIST1	0.959
