Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_MMK,PERM_MMK,,0.89864,0.76316,0.81481,0.70968,0.85294,0.64646
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.89289,0.78378,0.81481,0.73333,0.85294,0.63636
KPYM_MMK,PERM_MMK,,0.86987,0.83784,0.85185,0.7931,0.88571,0.63636
PERM_MMK,,,0.8577,0.86842,0.74074,0.8,0.825,0.63636
AGRIN_MMK,KPYM_MMK,,0.82146,0.61538,0.88889,0.61538,0.88889,0.65657
MMP9_MMK,AGRIN_MMK,,0.82037,0.7,0.85185,0.65714,0.875,0.65657
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.81956,0.66667,0.88889,0.64865,0.89655,0.65657
AGRIN_MMK,,,0.81667,0.7,0.81481,0.64706,0.84848,0.65657
MMP9_MMK,KPYM_MMK,,0.81576,0.69231,0.88889,0.66667,0.9,0.65657
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.79825,0.73684,0.85185,0.69697,0.875,0.64646
MMP9_MMK,,,0.79444,0.65,0.88889,0.63158,0.89655,0.66667
MMP9_MMK,PERM_MMK,,0.7885,0.65789,0.88889,0.64865,0.89286,0.65657
MMP9_MMK,KPYM_MMK,PERM_MMK,0.78278,0.72973,0.85185,0.69697,0.87097,0.64646
KPYM_MMK,,,0.77113,0.87179,0.51852,0.73684,0.7234,0.62626
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.76413,0.65789,0.88889,0.64865,0.89286,0.65657
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.75833,0.875,0.62963,0.77273,0.77778,0.52525
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.75404,0.71795,0.74074,0.64516,0.8,0.62626
HSPB1_MMK,AGRIN_MMK,,0.75093,0.6,0.85185,0.58974,0.85714,0.66667
HSPB1_MMK,PERM_MMK,,0.74854,0.86842,0.62963,0.77273,0.76744,0.59596
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.74374,0.78378,0.66667,0.69231,0.76316,0.60606
HSPB1_MMK,,,0.74352,0.625,0.7037,0.55882,0.75758,0.63636
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.72934,0.84615,0.55556,0.71429,0.73333,0.57576
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.7232,0.81579,0.62963,0.70833,0.7561,0.59596
MMP9_MMK,HSPB1_MMK,,0.69444,0.775,0.66667,0.66667,0.775,0.62626
HSPB1_MMK,KPYM_MMK,,0.68471,0.61538,0.7037,0.55882,0.75,0.65657
