preferredName_A	preferredName_B	score
ULBP1	KLRK1	0.999
ULBP1	MICB	0.973
ULBP1	ULBP3	0.965
ULBP1	HCST	0.928
ULBP1	ULBP2	0.911
ULBP1	CD226	0.91
ULBP1	NCR1	0.903
