Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN,TIMP2,CLIC1,0.87825,1.0,0.05455,1.0,0.51852,0.0101
AGRIN,PERM,TIMP2,0.87698,1.0,0.05357,1.0,0.50467,0.0101
MMP9,AGRIN,CLIC1,0.87098,1.0,0.02083,1.0,0.54808,0.50505
PERM,TIMP2,CLIC1,0.86839,1.0,0.05357,1.0,0.50467,0.0101
AGRIN,TIMP2,,0.86416,1.0,0.05357,1.0,0.51376,0.0101
AGRIN,CLIC1,,0.86345,1.0,0.05263,1.0,0.52632,0.51515
MMP9,TIMP2,CLIC1,0.8599,1.0,0.06383,1.0,0.54639,0.0101
KPYM,TIMP2,CLIC1,0.8591,1.0,0.04348,1.0,0.55102,0.0202
AGRIN,HSPB1,TIMP2,0.85725,1.0,0.03846,1.0,0.5098,0.0101
TIMP2,CLIC1,,0.85714,1.0,0.05357,1.0,0.51376,0.0101
KPYM,AGRIN,TIMP2,0.85709,1.0,0.02174,1.0,0.54545,0.0101
AGRIN,HSPB1,CLIC1,0.85384,0.96429,0.01852,0.33333,0.50467,0.36364
MMP9,PIGR,CLIC1,0.85297,0.97826,0.02632,0.5,0.54878,0.43434
AGRIN,PIGR,TIMP2,0.85169,1.0,0.02222,1.0,0.51111,0.0101
HSPB1,TIMP2,CLIC1,0.85123,1.0,0.03774,1.0,0.50485,0.0101
MMP9,AGRIN,TIMP2,0.85106,1.0,0.06383,1.0,0.54639,0.0101
AGRIN,PIGR,CLIC1,0.84605,1.0,0.02174,1.0,0.52128,0.39394
KPYM,AGRIN,CLIC1,0.84267,1.0,0.02083,1.0,0.55238,0.12121
CLIC1,,,0.83879,1.0,0.06897,1.0,0.52632,0.50505
AGRIN,PERM,CLIC1,0.83636,1.0,0.01754,1.0,0.50877,0.24242
PIGR,TIMP2,CLIC1,0.83382,1.0,0.04444,1.0,0.51685,0.0101
MMP9,KPYM,CLIC1,0.83282,1.0,0.02439,1.0,0.57895,0.11111
MMP9,CLIC1,,0.82814,1.0,0.02041,1.0,0.54286,0.45455
KPYM,PIGR,CLIC1,0.82587,1.0,0.02632,1.0,0.55952,0.09091
KPYM,CLIC1,,0.82579,1.0,0.02083,1.0,0.55238,0.13131
PIGR,CLIC1,,0.82414,0.97959,0.02128,0.5,0.51064,0.40404
HSPB1,PIGR,CLIC1,0.81818,0.95652,0.02273,0.33333,0.50575,0.31313
MMP9,AGRIN,PIGR,0.81808,1.0,0.02632,1.0,0.55422,0.18182
KPYM,HSPB1,CLIC1,0.81643,1.0,0.02174,1.0,0.54545,0.12121
PERM,PIGR,CLIC1,0.81575,0.97872,0.02128,0.5,0.5,0.29293
KPYM,PERM,CLIC1,0.81473,1.0,0.02083,1.0,0.54369,0.15152
MMP9,HSPB1,CLIC1,0.81373,0,0,0,0,0.5
AGRIN,PIGR,,0.80981,0.97959,0.02128,0.5,0.51064,0.24242
MMP9,KPYM,AGRIN,0.80931,1.0,0.02439,1.0,0.57895,0.51515
KPYM,AGRIN,,0.80855,1.0,0.02083,1.0,0.55238,0.50505
AGRIN,PERM,PIGR,0.8067,1.0,0.02128,1.0,0.50538,0.13131
MMP9,PERM,CLIC1,0.80371,0.98182,0.02041,0.5,0.52941,0.31313
AGRIN,,,0.80316,1.0,0.01724,1.0,0.51282,0.50505
KPYM,AGRIN,HSPB1,0.80314,1.0,0.02174,1.0,0.54545,0.52525
HSPB1,CLIC1,,0.80227,0.96429,0.01818,0.33333,0.5,0.33333
PERM,CLIC1,,0.79905,1.0,0.01724,1.0,0.50435,0.28283
MMP9,AGRIN,,0.79341,0.98246,0.02041,0.5,0.53846,0.52525
