Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
CLIC1,,,0.83722,1.0,0.03333,1.0,0.50847,0.51515
MMP9,TIMP2,CLIC1,0.83625,1.0,0.0339,1.0,0.50862,0.0101
HSPB1,TIMP2,CLIC1,0.81902,1.0,0.0339,1.0,0.50862,0.0101
MMP9,AGRIN,TIMP2,0.81787,1.0,0.01695,1.0,0.50427,0.0202
AGRIN,HSPB1,TIMP2,0.81528,1.0,0.01695,1.0,0.50427,0.0303
PERM,TIMP2,CLIC1,0.81415,1.0,0.0339,1.0,0.5,0.0101
AGRIN,PERM,TIMP2,0.81296,1.0,0.01695,1.0,0.49565,0.0202
AGRIN,TIMP2,CLIC1,0.81241,1.0,0.01695,1.0,0.50427,0.0101
AGRIN,CLIC1,,0.81194,1.0,0.01667,1.0,0.5042,0.52525
AGRIN,PIGR,TIMP2,0.81097,1.0,0.01695,1.0,0.50427,0.0303
MMP9,KPYM,TIMP2,0.80596,1.0,0.01724,1.0,0.50862,0.0202
MMP9,HSPB1,TIMP2,0.80149,1.0,0.01695,1.0,0.50427,0.0303
AGRIN,TIMP2,,0.79805,1.0,0.01695,1.0,0.50427,0.0303
KPYM,AGRIN,TIMP2,0.79661,1.0,0.01724,1.0,0.50862,0.0303
PIGR,TIMP2,CLIC1,0.79517,1.0,0.0339,1.0,0.50862,0.0101
AGRIN,HSPB1,CLIC1,0.79472,1.0,0.01667,1.0,0.5042,0.0303
MMP9,PERM,TIMP2,0.79245,1.0,0.01695,1.0,0.49565,0.0404
AGRIN,,,0.79,1.0,0.01667,1.0,0.5042,0.51515
TIMP2,CLIC1,,0.78541,1.0,0.0339,1.0,0.50862,0.0101
KPYM,TIMP2,CLIC1,0.782,1.0,0.03448,1.0,0.51304,0.0101
KPYM,PERM,TIMP2,0.78191,1.0,0.01724,1.0,0.5,0.0404
MMP9,TIMP2,,0.77966,1.0,0.01695,1.0,0.50427,0.05051
HSPB1,PERM,TIMP2,0.77609,1.0,0.01695,1.0,0.49565,0.0404
MMP9,PIGR,TIMP2,0.77564,1.0,0.01695,1.0,0.50427,0.05051
MMP9,HSPB1,CLIC1,0.77194,1.0,0.01667,1.0,0.5042,0.0303
PERM,PIGR,TIMP2,0.77193,1.0,0.01695,1.0,0.49565,0.07071
PERM,TIMP2,,0.76777,1.0,0.01695,1.0,0.49565,0.06061
AGRIN,HSPB1,PIGR,0.76083,0.98333,0.01667,0.5,0.5,0.18182
HSPB1,PIGR,CLIC1,0.75833,1.0,0.01667,1.0,0.5042,0.0202
KPYM,HSPB1,CLIC1,0.75508,1.0,0.0339,1.0,0.51282,0.05051
HSPB1,CLIC1,,0.74944,1.0,0.01667,1.0,0.5042,0.0303
HSPB1,PERM,CLIC1,0.74511,1.0,0.01667,1.0,0.49573,0.0404
MMP9,AGRIN,HSPB1,0.74306,0.98333,0.01667,0.5,0.5,0.28283
KPYM,AGRIN,HSPB1,0.73672,0.98333,0.01695,0.5,0.50427,0.28283
MMP9,AGRIN,PIGR,0.73417,1.0,0.01667,1.0,0.5042,0.15152
MMP9,PIGR,CLIC1,0.73333,1.0,0.01667,1.0,0.5042,0.11111
KPYM,HSPB1,TIMP2,0.7332,1.0,0.01724,1.0,0.50862,0.08081
KPYM,PIGR,TIMP2,0.72969,1.0,0.01724,1.0,0.50862,0.09091
AGRIN,HSPB1,,0.72694,0.98333,0.01667,0.5,0.5,0.32323
KPYM,TIMP2,,0.72618,1.0,0.01724,1.0,0.50862,0.09091
AGRIN,HSPB1,PERM,0.71897,0.94828,0.03333,0.4,0.48673,0.33333
MMP9,KPYM,PIGR,0.7161,1.0,0.0339,1.0,0.51282,0.16162
AGRIN,PERM,PIGR,0.71351,1.0,0.01667,1.0,0.49573,0.18182
AGRIN,PIGR,CLIC1,0.71333,1.0,0.01667,1.0,0.5042,0.16162
MMP9,,,0.71306,1.0,0.1,1.0,0.52632,0.51515
AGRIN,PIGR,,0.71222,1.0,0.01667,1.0,0.5042,0.23232
KPYM,AGRIN,PIGR,0.70791,1.0,0.01695,1.0,0.50847,0.16162
MMP9,PIGR,,0.70444,1.0,0.01667,1.0,0.5042,0.18182
HSPB1,PIGR,TIMP2,0.7044,1.0,0.01695,1.0,0.50427,0.10101
PERM,PIGR,CLIC1,0.70374,1.0,0.01667,1.0,0.49573,0.13131
MMP9,PERM,PIGR,0.70345,1.0,0.01667,1.0,0.49573,0.17172
HSPB1,TIMP2,,0.70238,1.0,0.01695,1.0,0.50427,0.11111
MMP9,HSPB1,PIGR,0.70111,1.0,0.01667,1.0,0.5042,0.16162
MMP9,KPYM,HSPB1,0.7,1.0,0.01695,1.0,0.50847,0.29293
PIGR,CLIC1,,0.69833,1.0,0.01667,1.0,0.5042,0.13131
KPYM,,,0.69802,1.0,0.01695,1.0,0.50847,0.51515
KPYM,PIGR,CLIC1,0.69463,1.0,0.01695,1.0,0.50847,0.06061
MMP9,CLIC1,,0.68833,1.0,0.03333,1.0,0.50847,0.49495
PERM,,,0.68822,1.0,0.08333,1.0,0.51327,0.51515
HSPB1,,,0.68667,0.98333,0.05,0.75,0.50862,0.51515
MMP9,AGRIN,,0.68556,1.0,0.01667,1.0,0.5042,0.48485
MMP9,AGRIN,CLIC1,0.68528,1.0,0.01667,1.0,0.5042,0.48485
MMP9,HSPB1,,0.67222,1.0,0.01667,1.0,0.5042,0.34343
KPYM,PERM,PIGR,0.66686,1.0,0.01695,1.0,0.5,0.17172
HSPB1,PERM,PIGR,0.66034,1.0,0.01667,1.0,0.49573,0.17172
TIMP2,,,0.66016,1.0,0.0339,1.0,0.50862,0.43434
MMP9,HSPB1,PERM,0.65862,1.0,0.01667,1.0,0.49573,0.30303
MMP9,AGRIN,PERM,0.65747,1.0,0.01667,1.0,0.49573,0.24242
PERM,PIGR,,0.65575,1.0,0.01667,1.0,0.49573,0.18182
MMP9,PERM,CLIC1,0.65517,1.0,0.01667,1.0,0.49573,0.23232
KPYM,HSPB1,PERM,0.64962,1.0,0.01695,1.0,0.5,0.33333
MMP9,KPYM,PERM,0.64524,0.98276,0.01695,0.5,0.49565,0.29293
MMP9,KPYM,CLIC1,0.64237,1.0,0.01695,1.0,0.50847,0.17172
MMP9,KPYM,,0.64181,1.0,0.01695,1.0,0.50847,0.35354
MMP9,KPYM,AGRIN,0.6404,1.0,0.01695,1.0,0.50847,0.25253
