Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_CLIC1,TIMP2_CLIC1,0.9343,1.0,0.32143,1.0,0.58242,0.0101
PERM_TIMP2,TIMP2_AGRIN,0.92892,1.0,0.28571,1.0,0.56044,0.0101
TIMP2_AGRIN,CLIC1_HSPB1,0.92823,1.0,0.21429,1.0,0.54639,0.0101
TIMP2_AGRIN,CLIC1_TIMP2,0.9279,1.0,0.23214,1.0,0.55208,0.0101
TIMP2_AGRIN,CLIC1_AGRIN,0.92284,1.0,0.25,1.0,0.55789,0.0101
KPYM_CLIC1,TIMP2_AGRIN,0.92281,1.0,0.03636,1.0,0.5,0.0101
AGRIN_TIMP2,PERM_PIGR,0.92017,1.0,0.03571,1.0,0.48571,0.51515
AGRIN_KPYM,TIMP2_KPYM,0.91904,1.0,0.16364,1.0,0.53535,0.0101
AGRIN_HSPB1,TIMP2_CLIC1,0.91712,1.0,0.23214,1.0,0.55208,0.0101
TIMP2_MMP9,CLIC1_MMP9,0.91442,0.98113,0.125,0.875,0.51485,0.0101
MMP9_TIMP2,TIMP2_CLIC1,0.91341,0.98113,0.25,0.93333,0.55319,0.0101
AGRIN_PERM,TIMP2_PERM,0.91106,1.0,0.28571,1.0,0.56044,0.0101
AGRIN_TIMP2,,0.90937,1.0,0.03571,1.0,0.49533,0.51515
TIMP2_AGRIN,,0.90937,1.0,0.05357,1.0,0.5,0.0101
AGRIN_TIMP2,TIMP2_AGRIN,0.90937,1.0,0.125,1.0,0.51961,0.0101
AGRIN_TIMP2,TIMP2_CLIC1,0.90903,0.98113,0.19643,0.91667,0.53608,0.0101
HSPB1_AGRIN,CLIC1_TIMP2,0.90836,1.0,0.03571,1.0,0.49533,0.0101
AGRIN_MMP9,TIMP2_MMP9,0.90768,0.98113,0.10714,0.85714,0.5098,0.0101
PERM_TIMP2,TIMP2_CLIC1,0.90686,0.98039,0.23214,0.92857,0.53763,0.0101
TIMP2_AGRIN,CLIC1_KPYM,0.90566,1.0,0.16364,1.0,0.53535,0.0101
MMP9_PIGR,AGRIN_TIMP2,0.90431,1.0,0.03571,1.0,0.49533,0.51515
MMP9_TIMP2,TIMP2_AGRIN,0.90296,1.0,0.14286,1.0,0.52475,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,0.90229,1.0,0.07143,1.0,0.50476,0.0101
HSPB1_TIMP2,TIMP2_AGRIN,0.90195,1.0,0.14286,1.0,0.52475,0.0101
AGRIN_HSPB1,TIMP2_HSPB1,0.90128,1.0,0.14286,1.0,0.52475,0.0101
TIMP2_PERM,CLIC1_PERM,0.90056,1.0,0.28571,1.0,0.56044,0.0101
MMP9_CLIC1,TIMP2_CLIC1,0.89993,1.0,0.14286,1.0,0.52475,0.0101
AGRIN_HSPB1,TIMP2_AGRIN,0.8996,1.0,0.05357,1.0,0.5,0.0101
PIGR_CLIC1,TIMP2_AGRIN,0.89724,1.0,0.05357,1.0,0.5,0.0101
TIMP2_AGRIN,CLIC1_PIGR,0.8969,1.0,0.125,1.0,0.51961,0.0101
PERM_CLIC1,TIMP2_AGRIN,0.89671,1.0,0.07143,1.0,0.49515,0.0101
MMP9_HSPB1,TIMP2_AGRIN,0.89656,1.0,0.05357,1.0,0.5,0.0101
MMP9_KPYM,TIMP2_AGRIN,0.8964,1.0,0.07273,1.0,0.50962,0.0101
PERM_PIGR,TIMP2_AGRIN,0.89566,1.0,0.10714,1.0,0.50495,0.0101
PERM_HSPB1,TIMP2_AGRIN,0.89531,1.0,0.07143,1.0,0.49515,0.0101
MMP9_PIGR,CLIC1_TIMP2,0.89319,1.0,0.01786,1.0,0.49074,0.50505
KPYM_TIMP2,TIMP2_AGRIN,0.89262,1.0,0.16364,1.0,0.53535,0.0101
PERM_AGRIN,TIMP2_AGRIN,0.89111,1.0,0.16071,1.0,0.52041,0.0101
MMP9_KPYM,TIMP2_CLIC1,0.89091,1.0,0.21818,1.0,0.55208,0.0101
