Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_TIMP2,0.90937,1.0,0.03571,1.0,0.49533,0.51515
TIMP2_AGRIN,0.90937,1.0,0.05357,1.0,0.5,0.0101
TIMP2_CLIC1,0.88848,1.0,0.08929,1.0,0.50962,0.0101
CLIC1_TIMP2,0.88848,1.0,0.01786,1.0,0.49074,0.50505
MMP9_TIMP2,0.77493,1.0,0.01786,1.0,0.49074,0.50505
TIMP2_MMP9,0.77493,1.0,0.03571,1.0,0.49533,0.0303
KPYM_TIMP2,0.77256,1.0,0.03636,1.0,0.5,0.51515
TIMP2_KPYM,0.77256,1.0,0.03636,1.0,0.5,0.0101
PERM_TIMP2,0.76716,1.0,0.07143,1.0,0.49515,0.51515
TIMP2_PERM,0.76716,1.0,0.05357,1.0,0.49038,0.0101
HSPB1_TIMP2,0.74764,0.98113,0.08929,0.83333,0.50485,0.51515
TIMP2_HSPB1,0.74764,1.0,0.01786,1.0,0.49074,0.0101
PIGR_CLIC1,0.73002,1.0,0.01754,1.0,0.49091,0.09091
CLIC1_PIGR,0.73002,0.96296,0.15789,0.81818,0.52,0.50505
AGRIN_PIGR,0.70858,0,0,0,0,0.5
PIGR_AGRIN,0.70858,0.98148,0.01754,0.5,0.48624,0.27273
HSPB1_CLIC1,0.70793,1.0,0.01754,1.0,0.49091,0.27273
CLIC1_HSPB1,0.70793,1.0,0.07018,1.0,0.50467,0.50505
MMP9_PIGR,0.68681,0,0,0,0,0.5
PIGR_MMP9,0.68681,1.0,0.01754,1.0,0.49091,0.32323
PERM_PIGR,0.68084,0,0,0,0,0.5
PIGR_PERM,0.68084,1.0,0.01754,1.0,0.48148,0.19192
KPYM_CLIC1,0.67229,1.0,0.01786,1.0,0.49541,0.0101
CLIC1_KPYM,0.67229,1.0,0.05357,1.0,0.50467,0.50505
AGRIN_HSPB1,0.64912,0,0,0,0,0.5
HSPB1_AGRIN,0.64912,0,0,0,0,0.5
HSPB1_PIGR,0.6332,0.96296,0.07018,0.66667,0.49524,0.50505
PIGR_HSPB1,0.6332,0.98148,0.01754,0.5,0.48624,0.25253
KPYM_PIGR,0.62169,0,0,0,0,0.5
PIGR_KPYM,0.62169,0.98148,0.03571,0.66667,0.49533,0.35354
AGRIN_CLIC1,0.60331,1.0,0.01754,1.0,0.49091,0.17172
CLIC1_AGRIN,0.60331,0,0,0,0,0.5
MMP9_HSPB1,0.5809,0,0,0,0,0.5
HSPB1_MMP9,0.5809,0,0,0,0,0.5
MMP9_CLIC1,0.5783,1.0,0.01754,1.0,0.49091,0.13131
CLIC1_MMP9,0.5783,0,0,0,0,0.5
PERM_CLIC1,0.57625,1.0,0.01754,1.0,0.48148,0.15152
CLIC1_PERM,0.57625,0,0,0,0,0.5
KPYM_AGRIN,0.57474,1.0,0.01786,1.0,0.49541,0.31313
AGRIN_KPYM,0.57474,0,0,0,0,0.5
HSPB1_PERM,0.56883,1.0,0.01754,1.0,0.48148,0.42424
PERM_HSPB1,0.56883,0,0,0,0,0.5
MMP9_KPYM,0.5463,0,0,0,0,0.5
KPYM_MMP9,0.5463,0.98148,0.01786,0.5,0.49074,0.42424
KPYM_HSPB1,0.54067,0,0,0,0,0.5
HSPB1_KPYM,0.54067,0.96296,0.10714,0.75,0.5098,0.47475
