preferredName_A	preferredName_B	score
ESR2	NCOA1	0.999
ESR2	ESR1	0.998
ESR2	NCOA3	0.997
ESR2	SRC	0.995
ESR2	NCOA2	0.993
ESR2	SP1	0.988
ESR2	MED1	0.988
ESR2	CAV1	0.971
ESR2	NCOR1	0.97
ESR2	JUN	0.967
ESR2	FOS	0.961
ESR2	MAPK3	0.955
ESR2	MAPK1	0.948
ESR2	PRKACA	0.943
ESR2	PRKACG	0.943
ESR2	GPER1	0.943
ESR2	PRKACB	0.943
ESR2	RPS6KB1	0.928
ESR2	CYP19A1	0.925
ESR2	NCOA5	0.924
ESR2	MAPK8	0.923
ESR2	CACNA1G	0.922
ESR2	CARM1	0.922
ESR2	MAPK14	0.921
ESR2	MAPK9	0.915
ESR2	CACNA1H	0.914
ESR2	MAPK11	0.912
ESR2	CACNA1I	0.911
ESR2	RPS6KB2	0.91
ESR2	NCOR2	0.908
ESR2	MAPK13	0.908
ESR2	MAPK12	0.907
ESR2	STRN	0.903
