Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_SLGPALLLLQK,0.8934,0.85507,0.81579,0.7561,0.89394,0.64646
MMP9_AFALWSAVTPLTFTR,0.89321,0.86957,0.81579,0.775,0.89552,0.61616
LDHA_VTLTSEEEAR,0.88787,0.82609,0.78947,0.71429,0.87692,0.71717
LDHA_LVIITAGAR,0.88406,0.75362,0.86842,0.66,0.91228,0.75758
KPYM_NTGIICTIGPASR,0.87948,0.68116,0.97368,0.62712,0.97917,0.74747
CADH1_NLVQIK,0.87147,0.71014,0.94737,0.64286,0.96078,0.73737
SPIT1_SFVYGGCLGNK,0.87109,0.82609,0.86842,0.73333,0.91935,0.70707
SPIT1_WYYDPTEQICK,0.8627,0.85507,0.84211,0.7619,0.90769,0.68687
PERM_IANVFTNAFR,0.86194,0.92754,0.73684,0.84848,0.86486,0.55556
PERM_VVLEGGIDPILR,0.86041,0.78261,0.84211,0.68085,0.9,0.63636
NAMPT_YDGHLPIEIK,0.8566,0.63768,0.94737,0.59016,0.95652,0.77778
CADH1_VFYSITGQGADTPPVGVFIIER,0.84897,0.76812,0.86842,0.67347,0.91379,0.71717
ENOA_YISPDQLADLYK,0.84783,0.71014,0.89474,0.62963,0.92453,0.71717
ENOA_TIAPALVSK,0.84592,0.69565,0.92105,0.625,0.94118,0.72727
CH10_VLLPEYGGTK,0.84268,0.69565,0.84211,0.60377,0.88889,0.71717
NAMPT_YLLETSGNLDGLEYK,0.84096,0.65217,0.92105,0.59322,0.9375,0.75758
CH10_FLPLFDR,0.83352,0.81159,0.73684,0.68293,0.84848,0.68687
CAPG_YQEGGVESAFHK,0.82857,0.63768,0.92105,0.58333,0.93617,0.73737
K2C8_LSELEAALQR,0.82437,0.76812,0.76316,0.64444,0.85484,0.69697
CTNB1_LVQLLVR,0.82399,0.72464,0.84211,0.62745,0.89286,0.71717
CD44_TEAADLCK,0.81693,0.81159,0.68421,0.66667,0.82353,0.65657
CAPG_EGNPEEDLTADK,0.81693,0.5942,0.94737,0.5625,0.95349,0.76768
PRDX1_LVQAFQFTDK,0.81617,0.76812,0.81579,0.65957,0.88333,0.69697
K2C8_WSLLQQQK,0.81426,0.76812,0.76316,0.64444,0.85484,0.67677
PRDX1_ADEGISFR,0.81198,0.78261,0.81579,0.67391,0.88525,0.69697
PDIA1_ALAPEYAK,0.81198,0.5942,0.89474,0.54839,0.91111,0.72727
CLIC1_LAALNPESNTAGLDIFAK,0.81159,0.75362,0.76316,0.63043,0.85246,0.70707
CLIC1_NSNPALNDNLEK,0.81045,0.73913,0.76316,0.61702,0.85,0.70707
FABP5_LVVECVMNNVTCTR,0.80473,0.82609,0.68421,0.68421,0.82609,0.67677
MIF_LLCGLLAER,0.80168,0.68116,0.81579,0.58491,0.87037,0.69697
XPO2_ANIVHLMLSSPEQIQK,0.79615,0.68116,0.81579,0.58491,0.87037,0.71717
FABP5_ELGVGIALR,0.78719,0.76812,0.71053,0.62791,0.82812,0.65657
PDIA1_ILEFFGLK,0.78585,0.56522,0.89474,0.53125,0.90698,0.72727
TPIS_SNVSDAVAQSTR,0.78299,0.73913,0.71053,0.6,0.82258,0.68687
TPIS_VVLAYEPVWAIGTGK,0.77803,0.72464,0.76316,0.60417,0.84746,0.69697
CASP3_SGTDVDAANLR,0.77746,0.56522,0.94737,0.54545,0.95122,0.74747
CTNB1_LLNDEDQVVVNK,0.76716,0.66667,0.84211,0.58182,0.88462,0.70707
ANXA1_DITSDTSGDFR,0.76163,0.55072,0.84211,0.50794,0.86364,0.72727
GTR1_TFDEIASGFR,0.75877,0.62319,0.89474,0.56667,0.91489,0.71717
GSTP1_ASCLYGQLPK,0.75667,0.46377,1.0,0.50667,1.0,0.72727
OSTP_AIPVAQDLNAPSDWDSR,0.74847,0.81159,0.68421,0.66667,0.82353,0.53535
ANXA1_GGPGSAVSPYPTFNPSSDVAALHK,0.74752,0.55072,0.81579,0.5,0.84444,0.72727
ANXA2_GVDEVTIVNILTNR,0.74066,0.72464,0.71053,0.58696,0.81967,0.67677
NGAL_ELTSELK,0.73532,0.62319,0.73684,0.51852,0.81132,0.68687
MUC1_QGGFLGLSNIK,0.73036,0.72464,0.63158,0.55814,0.78125,0.64646
NGAL_VPLQQNFQDNQFQGK,0.73017,0.66667,0.76316,0.55769,0.83636,0.67677
