Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
PERM_RUO,AGRIN_MMK,,0.86329,0.96154,0.38182,0.91304,0.59524,0.54545
PERM_RUO,AGRIN_MMK,KPYM_MMK,0.85633,1.0,0.21818,1.0,0.54255,0.53535
PERM_RUO,KPYM_MMK,,0.84848,1.0,0.23636,1.0,0.54839,0.53535
AGRIN_MMK,,,0.83556,0.98333,0.18333,0.91667,0.5463,0.54545
MMP9_RUO,KPYM_MMK,,0.83497,0.98305,0.26316,0.9375,0.58,0.55556
MMP9_RUO,PERM_RUO,KPYM_MMK,0.83352,0.96078,0.35849,0.90476,0.59036,0.54545
PERM_RUO,,,0.83322,1.0,0.23636,1.0,0.55319,0.53535
MMP9_RUO,PERM_RUO,AGRIN_MMK,0.8291,0.98077,0.28302,0.9375,0.57303,0.54545
MMP9_MMK,,,0.82611,0.96667,0.45,0.93103,0.63736,0.56566
PERM_MMK,,,0.81925,0.98276,0.16667,0.90909,0.53271,0.53535
MMP9_RUO,PERM_RUO,,0.81713,0.98077,0.30189,0.94118,0.57955,0.54545
MMP9_RUO,,,0.81404,0.96667,0.26316,0.88235,0.58,0.55556
AGRIN_MMK,KPYM_MMK,,0.80311,0.9661,0.26667,0.88889,0.56436,0.54545
MMP9_RUO,AGRIN_MMK,,0.79064,0.96667,0.33333,0.90476,0.60417,0.55556
KPYM_MMK,,,0.78588,1.0,0.1,1.0,0.52212,0.53535
MMP9_RUO,AGRIN_MMK,KPYM_MMK,0.76955,0.9661,0.12281,0.77778,0.53271,0.53535
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.76667,0.96667,0.37288,0.91667,0.61053,0.37374
HSPB1_MMK,,,0.76384,0.98333,0.18644,0.91667,0.5514,0.53535
PERM_RUO,HSPB1_MMK,AGRIN_MMK,0.75036,0.96154,0.24074,0.86667,0.54945,0.36364
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.74927,0.96552,0.18644,0.84615,0.53846,0.35354
HSPB1_MMK,AGRIN_MMK,,0.74633,0.98333,0.16949,0.90909,0.5463,0.34343
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.74174,0.9661,0.28814,0.89474,0.57576,0.36364
MMP9_RUO,HSPB1_MMK,AGRIN_MMK,0.74167,0.96667,0.25,0.875,0.58,0.39394
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.72795,0.9661,0.38983,0.92,0.6129,0.41414
HSPB1_RUO,MMP9_MMK,PERM_MMK,0.71254,0.98276,0.21818,0.92308,0.57,0.39394
HSPB1_RUO,MMP9_MMK,,0.70485,0.96667,0.18182,0.83333,0.56311,0.42424
PERM_RUO,MMP9_MMK,HSPB1_MMK,0.70264,0.96154,0.2963,0.88889,0.56818,0.38384
MMP9_MMK,HSPB1_MMK,,0.70198,0.96667,0.27119,0.88889,0.57426,0.39394
HSPB1_RUO,MMP9_MMK,AGRIN_MMK,0.69909,1.0,0.18182,1.0,0.57143,0.39394
HSPB1_RUO,MMP9_MMK,KPYM_MMK,0.69861,0.9661,0.23636,0.86667,0.57576,0.42424
MMP9_RUO,HSPB1_MMK,KPYM_MMK,0.69794,0.9661,0.32143,0.9,0.6,0.42424
MMP9_RUO,HSPB1_RUO,PERM_MMK,0.69761,0.98276,0.23077,0.92308,0.58763,0.42424
PERM_RUO,HSPB1_MMK,KPYM_MMK,0.69463,0.96078,0.35185,0.90476,0.58333,0.42424
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.6917,0.96552,0.23729,0.875,0.55446,0.38384
PERM_RUO,HSPB1_MMK,,0.68661,0.96154,0.2963,0.88889,0.56818,0.42424
MMP9_RUO,PERM_RUO,HSPB1_MMK,0.68602,0.96154,0.25,0.86667,0.5618,0.43434
HSPB1_RUO,PERM_RUO,MMP9_MMK,0.685,0.96154,0.2,0.83333,0.55556,0.42424
AGRIN_MMK,PERM_MMK,,0.6842,0.98276,0.11667,0.875,0.51818,0.51515
MMP9_MMK,AGRIN_MMK,,0.68417,0.96667,0.18333,0.84615,0.54206,0.47475
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.68276,0.96552,0.16667,0.83333,0.5283,0.41414
HSPB1_RUO,,,0.68242,0.96667,0.10909,0.75,0.54206,0.53535
MMP9_RUO,HSPB1_MMK,,0.68125,0.98333,0.21429,0.92308,0.57282,0.43434
MMP9_RUO,HSPB1_RUO,KPYM_MMK,0.6809,0.9661,0.19231,0.83333,0.57576,0.47475
MMP9_RUO,HSPB1_RUO,,0.68045,0.98333,0.11538,0.85714,0.5619,0.46465
MMP9_MMK,KPYM_MMK,PERM_MMK,0.67836,0.96491,0.25,0.88235,0.55,0.43434
MMP9_RUO,HSPB1_RUO,AGRIN_MMK,0.67724,0.98333,0.13462,0.875,0.56731,0.46465
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.67655,0.9661,0.15,0.81818,0.52778,0.46465
MMP9_MMK,PERM_MMK,,0.67557,0.98276,0.16667,0.90909,0.53271,0.40404
MMP9_RUO,AGRIN_MMK,PERM_MMK,0.67393,0.98276,0.08772,0.83333,0.52294,0.43434
MMP9_RUO,HSPB1_MMK,PERM_MMK,0.67272,0.98276,0.17857,0.90909,0.5534,0.41414
MMP9_MMK,KPYM_MMK,,0.67232,0.98305,0.16667,0.90909,0.53704,0.48485
MMP9_RUO,PERM_MMK,,0.66878,0.96552,0.12281,0.77778,0.5283,0.44444
HSPB1_MMK,PERM_MMK,,0.66394,0.96552,0.18644,0.84615,0.53846,0.44444
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.6631,0.96491,0.33898,0.90909,0.58511,0.40404
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.66228,1.0,0.15,1.0,0.52778,0.50505
HSPB1_RUO,PERM_RUO,,0.65885,1.0,0.06,1.0,0.52525,0.45455
MMP9_RUO,HSPB1_RUO,PERM_RUO,0.65785,0.98077,0.10417,0.83333,0.54255,0.45455
HSPB1_RUO,PERM_RUO,AGRIN_MMK,0.65769,0.98077,0.1,0.83333,0.53125,0.46465
HSPB1_RUO,AGRIN_MMK,,0.65576,0.96667,0.01818,0.33333,0.51786,0.49495
HSPB1_RUO,PERM_MMK,,0.65078,1.0,0.01818,1.0,0.51786,0.47475
MMP9_RUO,KPYM_MMK,PERM_MMK,0.64943,1.0,0.21053,1.0,0.55882,0.45455
