Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4418604651162791,0
0.992718237952083,0.041666666666666664,1.0,0.4523809523809524,1.0
0.9351186368515146,0.4166666666666667,1.0,0.5757575757575758,1.0
0.9126282507085856,0.4166666666666667,0.9473684210526315,0.5625,0.9090909090909091
0.662748349195935,0.875,0.9473684210526315,0.8571428571428571,0.9545454545454546
0.6139915371990764,0.875,0.8421052631578947,0.8421052631578947,0.875
0.5841512905923383,0.9166666666666666,0.8421052631578947,0.8888888888888888,0.88
0.4602367410315923,0.9166666666666666,0.7368421052631579,0.875,0.8148148148148148
0.4321881472024737,0.9583333333333334,0.7368421052631579,0.9333333333333333,0.8214285714285714
0.12117090999551756,0.9583333333333334,0.47368421052631576,0.9,0.696969696969697
0.051615167717747004,1.0,0.47368421052631576,1.0,0.7058823529411765
1.12992327102624e-16,1.0,0.0,0,0.5581395348837209
