Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4318181818181818,0
0.9955693769195941,0.04,1.0,0.4418604651162791,1.0
0.8330499053809722,0.2,1.0,0.48717948717948717,1.0
0.8283200086087699,0.2,0.9473684210526315,0.47368421052631576,0.8333333333333334
0.7467897869670149,0.32,0.9473684210526315,0.5142857142857142,0.8888888888888888
0.7439431731146423,0.32,0.8947368421052632,0.5,0.8
0.6285237238517867,0.68,0.8947368421052632,0.68,0.8947368421052632
0.6121789639697804,0.68,0.8421052631578947,0.6666666666666666,0.85
0.5976793489644423,0.76,0.8421052631578947,0.7272727272727273,0.8636363636363636
0.5876256148754578,0.76,0.6842105263157895,0.6842105263157895,0.76
0.5864223904309426,0.8,0.6842105263157895,0.7222222222222222,0.7692307692307693
0.5744872803277841,0.8,0.5263157894736842,0.6666666666666666,0.6896551724137931
0.5720125532182041,0.84,0.5263157894736842,0.7142857142857143,0.7
0.5706554373853256,0.84,0.47368421052631576,0.6923076923076923,0.6774193548387096
0.5639067133208511,0.88,0.47368421052631576,0.75,0.6875
0.555074980112054,0.88,0.2631578947368421,0.625,0.6111111111111112
0.5431658258883587,0.92,0.2631578947368421,0.7142857142857143,0.6216216216216216
0.5406171388957876,0.92,0.15789473684210525,0.6,0.5897435897435898
0.5373753851357247,1.0,0.15789473684210525,1.0,0.6097560975609756
0.5220497680707352,1.0,0.0,0,0.5681818181818182
