Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4117647058823529,0
0.7961077117884281,0.02,1.0,0.4166666666666667,1.0
0.78225668003858,0.02,0.9714285714285714,0.40963855421686746,0.5
0.7107328482384,0.22,0.9714285714285714,0.4657534246575342,0.9166666666666666
0.7075314799989401,0.22,0.9428571428571428,0.4583333333333333,0.8461538461538461
0.6953581312282897,0.32,0.9428571428571428,0.4925373134328358,0.8888888888888888
0.6934319243706247,0.32,0.9142857142857143,0.48484848484848486,0.8421052631578947
0.6892047337516092,0.34,0.9142857142857143,0.49230769230769234,0.85
0.6844663603137863,0.34,0.8857142857142857,0.484375,0.8095238095238095
0.6812401153000373,0.38,0.8857142857142857,0.5,0.8260869565217391
0.6724992009094087,0.38,0.8571428571428571,0.4918032786885246,0.7916666666666666
0.6717792345351483,0.4,0.8571428571428571,0.5,0.8
0.6672282355960821,0.4,0.8285714285714286,0.4915254237288136,0.7692307692307693
0.6657477703797233,0.42,0.8285714285714286,0.5,0.7777777777777778
0.665500858802328,0.42,0.8,0.49122807017543857,0.75
0.6413492726080463,0.54,0.8,0.5490196078431373,0.7941176470588235
0.6389933241482744,0.54,0.7142857142857143,0.5208333333333334,0.7297297297297297
0.630031564227822,0.56,0.7142857142857143,0.5319148936170213,0.7368421052631579
0.6288347128788592,0.56,0.6285714285714286,0.5,0.6829268292682927
0.6275480557236903,0.58,0.6285714285714286,0.5116279069767442,0.6904761904761905
0.6248864129415593,0.58,0.6,0.5,0.6744186046511628
0.6189636557801048,0.62,0.6,0.525,0.6888888888888889
0.6168991851372616,0.62,0.5714285714285714,0.5128205128205128,0.6739130434782609
0.6135960082115491,0.64,0.5714285714285714,0.5263157894736842,0.6808510638297872
0.6119619577050817,0.64,0.5428571428571428,0.5135135135135135,0.6666666666666666
0.6102569082752878,0.66,0.5428571428571428,0.5277777777777778,0.673469387755102
0.6087518937504431,0.66,0.5142857142857142,0.5142857142857142,0.66
0.5985594525300337,0.7,0.5142857142857142,0.5454545454545454,0.6730769230769231
0.5910583139610325,0.7,0.45714285714285713,0.5161290322580645,0.6481481481481481
0.5849289502703183,0.74,0.45714285714285713,0.5517241379310345,0.6607142857142857
0.5847921646890016,0.74,0.42857142857142855,0.5357142857142857,0.6491228070175439
0.5751617705005474,0.8,0.42857142857142855,0.6,0.6666666666666666
0.571112827506101,0.8,0.37142857142857144,0.5652173913043478,0.6451612903225806
0.5658458251194308,0.82,0.37142857142857144,0.5909090909090909,0.6507936507936508
0.5640141368433859,0.82,0.3142857142857143,0.55,0.6307692307692307
0.5542993414383206,0.86,0.3142857142857143,0.6111111111111112,0.6417910447761194
0.5531746938775477,0.86,0.2857142857142857,0.5882352941176471,0.6323529411764706
0.5514711472300283,0.88,0.2857142857142857,0.625,0.6376811594202898
0.5378998680860292,0.88,0.2571428571428571,0.6,0.6285714285714286
0.5374850638103869,0.9,0.2571428571428571,0.6428571428571429,0.6338028169014085
0.5312112370695203,0.9,0.17142857142857143,0.5454545454545454,0.6081081081081081
0.4992893070163521,0.94,0.17142857142857143,0.6666666666666666,0.618421052631579
0.4990289754533876,0.94,0.14285714285714285,0.625,0.6103896103896104
0.45803479520300494,0.98,0.14285714285714285,0.8333333333333334,0.620253164556962
0.3421619080756214,0.98,0.0,0.0,0.5833333333333334
0.22014405947569138,1.0,0.0,0,0.5882352941176471
