Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.5145631067961165,0
0.9778344788356115,0.02,1.0,0.5196078431372549,1.0
0.9357857240916119,0.08,1.0,0.5353535353535354,1.0
0.925918186877395,0.08,0.9811320754716981,0.5306122448979592,0.8
0.9178697757764998,0.1,0.9811320754716981,0.5360824742268041,0.8333333333333334
0.8956822411440022,0.1,0.9622641509433962,0.53125,0.7142857142857143
0.8631590384420141,0.22,0.9622641509433962,0.5666666666666667,0.8461538461538461
0.8615410991925129,0.22,0.9433962264150944,0.5617977528089888,0.7857142857142857
0.8447911253537314,0.28,0.9433962264150944,0.5813953488372093,0.8235294117647058
0.8353110638057448,0.28,0.9245283018867925,0.5764705882352941,0.7777777777777778
0.7845077427369197,0.44,0.9245283018867925,0.6363636363636364,0.8461538461538461
0.7744701899605038,0.44,0.9056603773584906,0.631578947368421,0.8148148148148148
0.7296045175080931,0.58,0.9056603773584906,0.6956521739130435,0.8529411764705882
0.700330648160328,0.58,0.8867924528301887,0.6911764705882353,0.8285714285714286
0.6488441986979102,0.68,0.8867924528301887,0.746031746031746,0.85
0.6409426710644891,0.68,0.8301886792452831,0.7333333333333333,0.7906976744186046
0.6226660718313706,0.72,0.8301886792452831,0.7586206896551724,0.8
0.6151207618001421,0.72,0.7924528301886793,0.75,0.7659574468085106
0.6018526462817311,0.74,0.7924528301886793,0.7636363636363637,0.7708333333333334
0.5715709397116228,0.74,0.7358490566037735,0.75,0.7254901960784313
0.531810735832566,0.78,0.7358490566037735,0.78,0.7358490566037735
0.5027982546500405,0.78,0.660377358490566,0.7608695652173914,0.6842105263157895
0.4863039263091858,0.82,0.660377358490566,0.7954545454545454,0.6949152542372882
0.43710397452498695,0.82,0.5471698113207547,0.7631578947368421,0.6307692307692307
0.38199289065270486,0.88,0.5471698113207547,0.8285714285714286,0.6470588235294118
0.35759650713508184,0.88,0.4716981132075472,0.8064516129032258,0.6111111111111112
0.35403392435404735,0.92,0.4716981132075472,0.8620689655172413,0.6216216216216216
0.3322138345322238,0.92,0.4339622641509434,0.8518518518518519,0.6052631578947368
0.32488118342972244,0.94,0.4339622641509434,0.8846153846153846,0.6103896103896104
0.32400990634669957,0.94,0.41509433962264153,0.88,0.6025641025641025
0.3103073162927479,0.96,0.41509433962264153,0.9166666666666666,0.6075949367088608
0.23135580049380608,0.96,0.3018867924528302,0.8888888888888888,0.5647058823529412
0.229695283026095,0.98,0.3018867924528302,0.9411764705882353,0.5697674418604651
0.1883776953862751,0.98,0.18867924528301888,0.9090909090909091,0.532608695652174
0.18794724995165954,1.0,0.18867924528301888,1.0,0.5376344086021505
0.039003101711375374,1.0,0.0,0,0.4854368932038835
