Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
LDHA_0,NAMPT_1,DCN_1,0.89792,0.95023,0.28369,0.78431,0.67524,0.60606
NAMPT_1,LDHA_0,DCN_1,0.89792,0.95023,0.28369,0.78431,0.67524,0.60606
UGDH_2,S100A12,DCN_1,0.89454,0.96154,0.33673,0.825,0.72917,0.53535
S100A12,UGDH_2,DCN_1,0.89454,0.96154,0.33673,0.825,0.72917,0.53535
TARS1_2,VPS35_0,DCN_1,0.8943,0.95735,0.4186,0.85714,0.72924,0.51515
VPS35_0,TARS1_2,DCN_1,0.8943,0.95735,0.4186,0.85714,0.72924,0.51515
TARS1_2,PSMD2,DCN_1,0.89392,0.95755,0.40157,0.85,0.7276,0.52525
PSMD2,TARS1_2,DCN_1,0.89392,0.95755,0.40157,0.85,0.7276,0.52525
ENO1_0,DCN_1,UGDH_2,0.89283,0.95045,0.33846,0.8,0.71044,0.21212
DCN_1,ENO1_0,UGDH_2,0.89283,0.95045,0.33846,0.8,0.71044,0.21212
LDHA_0,DCN_1,MPO_0,0.89224,0.95111,0.41497,0.84722,0.71333,0.21212
DCN_1,LDHA_0,MPO_0,0.89224,0.95111,0.41497,0.84722,0.71333,0.21212
LDHA_1,NAMPT_1,DCN_1,0.89208,0.95475,0.23571,0.76744,0.66352,0.59596
NAMPT_1,LDHA_1,DCN_1,0.89208,0.95475,0.23571,0.76744,0.66352,0.59596
LDHA_0,DCN_1,MMP9_0,0.89198,0.95111,0.34752,0.81667,0.69935,0.19192
DCN_1,LDHA_0,MMP9_0,0.89198,0.95111,0.34752,0.81667,0.69935,0.19192
TARS1_2,UGDH_1,DCN_1,0.89089,0.96396,0.27338,0.82609,0.67937,0.51515
UGDH_1,TARS1_2,DCN_1,0.89089,0.96396,0.27338,0.82609,0.67937,0.51515
MPO_1,UGDH_2,DCN_1,0.88979,0.97297,0.24427,0.84211,0.68571,0.52525
UGDH_2,MPO_1,DCN_1,0.88979,0.97297,0.24427,0.84211,0.68571,0.52525
LDHA_0,DCN_1,UGDH_2,0.88947,0.95045,0.28462,0.77083,0.69408,0.19192
DCN_1,LDHA_0,UGDH_2,0.88947,0.95045,0.28462,0.77083,0.69408,0.19192
LDHA_0,DCN_1,MMP9_1,0.88938,0.95556,0.39041,0.85075,0.70724,0.21212
DCN_1,LDHA_0,MMP9_1,0.88938,0.95556,0.39041,0.85075,0.70724,0.21212
