Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_MMK,0.81726,0.97436,0.44565,0.93182,0.69091,0.59596
PERM_MMK,0.79467,0.96639,0.33696,0.88571,0.65341,0.59596
KPYM_MMK,0.77835,0.97297,0.16304,0.83333,0.58378,0.56566
AGRIN_MMK,0.74132,0.97479,0.08696,0.72727,0.58,0.56566
HSPB1_MMK,0.63363,1.0,0.03297,1.0,0.56,0.54545
