Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.5294117647058824,0
0.6174840437783087,0.0,0.9444444444444444,0.5151515151515151,0.0
0.5978947942517342,0.125,0.9444444444444444,0.5483870967741935,0.6666666666666666
0.5947505235618186,0.125,0.8888888888888888,0.5333333333333333,0.5
0.5878105795172939,0.25,0.8888888888888888,0.5714285714285714,0.6666666666666666
0.5733357509727128,0.25,0.6666666666666666,0.5,0.4
0.5682151914045112,0.375,0.6666666666666666,0.5454545454545454,0.5
0.5657540399742512,0.375,0.6111111111111112,0.5238095238095238,0.46153846153846156
0.5398775925420402,0.75,0.6111111111111112,0.7333333333333333,0.631578947368421
0.5185355299314539,0.75,0.5555555555555556,0.7142857142857143,0.6
0.5081420938693929,0.875,0.5555555555555556,0.8333333333333334,0.6363636363636364
0.49849220254139137,0.875,0.1111111111111111,0.5,0.4666666666666667
0.4945001555611434,0.9375,0.1111111111111111,0.6666666666666666,0.4838709677419355
0.49287179856365937,0.9375,0.05555555555555555,0.5,0.46875
0.4849285377298962,1.0,0.05555555555555555,1.0,0.48484848484848486
0.47729716739876393,1.0,0.0,0,0.47058823529411764
