Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.46987951807228917,0
0.8301452322640962,0.022727272727272728,1.0,0.47560975609756095,1.0
0.7765657564243597,0.13636363636363635,1.0,0.5064935064935064,1.0
0.7689753943038121,0.13636363636363635,0.9743589743589743,0.5,0.8571428571428571
0.7237721138504924,0.3409090909090909,0.9743589743589743,0.5671641791044776,0.9375
0.7205833381062237,0.3409090909090909,0.9487179487179487,0.5606060606060606,0.8823529411764706
0.7117878258948792,0.36363636363636365,0.9487179487179487,0.5692307692307692,0.8888888888888888
0.6910267401320623,0.36363636363636365,0.9230769230769231,0.5625,0.8421052631578947
0.6844600379294623,0.38636363636363635,0.9230769230769231,0.5714285714285714,0.85
0.6818594037825696,0.38636363636363635,0.8974358974358975,0.5645161290322581,0.8095238095238095
0.6770537632683201,0.45454545454545453,0.8974358974358975,0.5932203389830508,0.8333333333333334
0.6767590026596857,0.45454545454545453,0.8717948717948718,0.5862068965517241,0.8
0.6648772629213366,0.5,0.8717948717948718,0.6071428571428571,0.8148148148148148
0.6645152170651866,0.5,0.8461538461538461,0.6,0.7857142857142857
0.6530395674414017,0.5909090909090909,0.8461538461538461,0.6470588235294118,0.8125
0.638324527144213,0.5909090909090909,0.7692307692307693,0.625,0.7428571428571429
0.6301947690463056,0.7045454545454546,0.7692307692307693,0.6976744186046512,0.775
0.6274858667084899,0.7045454545454546,0.7435897435897436,0.6904761904761905,0.7560975609756098
0.6252524699972266,0.7272727272727273,0.7435897435897436,0.7073170731707317,0.7619047619047619
0.6215617748744132,0.7272727272727273,0.717948717948718,0.7,0.7441860465116279
0.620922933940352,0.75,0.717948717948718,0.717948717948718,0.75
0.6104860212618678,0.75,0.6410256410256411,0.6944444444444444,0.7021276595744681
0.5998726728486926,0.8181818181818182,0.6410256410256411,0.7575757575757576,0.72
0.5986262403309027,0.8181818181818182,0.5897435897435898,0.7419354838709677,0.6923076923076923
0.5969200316797466,0.8409090909090909,0.5897435897435898,0.7666666666666667,0.6981132075471698
0.5807851998058609,0.8409090909090909,0.48717948717948717,0.7307692307692307,0.6491228070175439
0.5744574103424548,0.8636363636363636,0.48717948717948717,0.76,0.6551724137931034
0.5734951094931118,0.8636363636363636,0.46153846153846156,0.75,0.6440677966101694
0.5677849804653908,0.8863636363636364,0.46153846153846156,0.782608695652174,0.65
0.5665989310172096,0.8863636363636364,0.4358974358974359,0.7727272727272727,0.639344262295082
0.5612930506010573,0.9090909090909091,0.4358974358974359,0.8095238095238095,0.6451612903225806
0.5091528717678299,0.9090909090909091,0.05128205128205128,0.3333333333333333,0.5194805194805194
0.4590458840207727,0.9772727272727273,0.05128205128205128,0.6666666666666666,0.5375
0.37953988527709637,0.9772727272727273,0.02564102564102564,0.5,0.5308641975308642
0.3781842873787006,1.0,0.02564102564102564,1.0,0.5365853658536586
0.23964175352629175,1.0,0.0,0,0.5301204819277109
